year,des_DET oeufs_NOUN,des_DET jeux_NOUN
1800,6.75995366794524e-07,2.7385672183299903e-06
1801,7.643596244832906e-07,3.419378209912338e-06
1802,7.272980724337685e-07,3.7260038254771644e-06
1803,2.5042354536708444e-06,3.442348710080978e-06
1804,7.020056649320594e-07,3.6187898153627884e-06
1805,6.368045848414994e-07,2.8997352163884216e-06
1806,1.930718314113733e-07,3.656838128307527e-06
1807,2.4483813554354583e-07,2.741617706192301e-06
1808,1.8808413937421165e-07,3.8228667662565385e-06
1809,2.2816208944398397e-07,2.9186674304071403e-06
1810,2.854954681552613e-07,3.4961493398100174e-06
1811,1.4791753022436183e-07,3.565063138921687e-06
1812,1.3069320115022265e-07,2.60586234190896e-06
1813,3.0770436332261397e-07,2.6916942275079236e-06
1814,1.0195234145804477e-06,2.3348344697637913e-06
1815,1.75319526007911e-07,2.368162189014811e-06
1816,1.5064425440414198e-07,2.0325385410302488e-06
1817,2.55327228915192e-07,2.7494385008708377e-06
1818,2.8730037815449805e-07,2.886116980960196e-06
1819,2.2461777915427916e-07,3.0732267219946152e-06
1820,8.781196214613374e-08,2.723357336975596e-06
1821,1.0650407566981102e-07,3.314446303193108e-06
1822,1.1830226753772877e-07,2.609667745900879e-06
1823,9.685033042217128e-08,2.5013079962832308e-06
1824,1.389483594849139e-07,2.4968598673069664e-06
1825,1.3384273800376434e-07,2.594963966373598e-06
1826,1.4268934023231594e-07,2.5005868025118616e-06
1827,3.235262795442395e-07,2.366995738967148e-06
1828,1.48591282056465e-07,2.0573470553841844e-06
1829,1.4488668137468963e-07,2.3584808470644703e-06
1830,1.5863989943909473e-07,2.2585313308454147e-06
1831,1.65266789364793e-07,2.065834789455323e-06
1832,1.4341767085035428e-07,2.6437559323966298e-06
1833,1.3437008417049867e-07,2.5761989981276656e-06
1834,1.3068343962530093e-07,2.378438590966425e-06
1835,1.376482003934143e-07,2.690190434861961e-06
1836,1.3508707175091672e-07,1.9792609489144297e-06
1837,1.3498307982473534e-07,2.107545158835933e-06
1838,1.899960706541748e-07,2.45984951874334e-06
1839,1.22350813480665e-07,2.0240321152442675e-06
1840,8.216898089719038e-08,1.9758774634226484e-06
1841,8.218302083307094e-08,1.9916541340592175e-06
1842,1.2276124916610343e-07,1.953446744806797e-06
1843,9.687334251440305e-08,2.0313867512555817e-06
1844,1.2459034215428488e-07,2.076871671974345e-06
1845,1.0323421739677485e-07,2.493245943924194e-06
1846,8.840296894518929e-08,1.986432337730548e-06
1847,1.5047094237274905e-07,1.8914034782824274e-06
1848,1.0619692353275312e-07,1.8399422474502103e-06
1849,1.4245005330870697e-07,1.9197239709001224e-06
1850,8.7578046148451e-08,1.9891758524792635e-06
1851,1.1866967120077732e-07,1.98771711268364e-06
1852,8.789236183304183e-08,1.8795944676242016e-06
1853,8.599581535762013e-08,1.9862644524692996e-06
1854,6.234797461646124e-08,1.9431784963330756e-06
1855,1.2948926197964283e-07,2.1291430876146933e-06
1856,7.248064709530766e-08,1.883461473894954e-06
1857,8.103304849349513e-08,1.949186545502357e-06
1858,5.62772732859429e-08,1.990258036599357e-06
1859,7.129042822739962e-08,2.200837220911467e-06
1860,2.0643099157835465e-07,1.8322467383313779e-06
1861,8.630213615967719e-08,1.8727091593007117e-06
1862,7.138418592345097e-08,2.0525212303112994e-06
1863,6.642845851168033e-08,1.9004532774147265e-06
1864,5.609831521535824e-08,1.6613731812498145e-06
1865,5.6011446758486017e-08,1.8436709599001233e-06
1866,5.4494866008614196e-08,1.7404297025791493e-06
1867,5.192508290008391e-08,1.8261129817176425e-06
1868,6.71822905085051e-08,1.5590242430363332e-06
1869,5.762552635069085e-08,1.755136768366583e-06
1870,7.11022067889644e-08,1.7270955368076102e-06
1871,8.2845185600533e-08,1.716382277194839e-06
1872,7.256807366129436e-08,1.5940786948220875e-06
1873,6.764184790064576e-08,1.5862911908470778e-06
1874,8.961914049754327e-08,1.51695323680201e-06
1875,1.069925540941874e-07,1.6329238263779189e-06
1876,5.441413342133217e-08,1.6596311063210578e-06
1877,9.091679553652199e-08,1.6055782445789646e-06
1878,9.783323362544394e-08,1.556877084141206e-06
1879,6.292605003732632e-08,1.5969776718804951e-06
1880,7.637237398050445e-08,1.564670956355485e-06
1881,7.809208546483148e-08,1.4098410776597348e-06
1882,1.0515508397368478e-07,1.7037785688955864e-06
1883,1.0553296309057103e-07,1.745401423391968e-06
1884,7.2618664859192e-08,1.5362148779729523e-06
1885,6.123353768483497e-08,1.649438118533908e-06
1886,5.4209097932744754e-08,1.6920981735779606e-06
1887,9.336362533085563e-08,1.6851154001074065e-06
1888,7.608737284670042e-08,1.6105161364521337e-06
1889,1.2342319644087496e-07,1.6251764378694133e-06
1890,6.161123400350021e-08,1.7152828970523615e-06
1891,1.0581205045490094e-07,1.5482980693093396e-06
1892,1.1346007089407806e-07,1.6599021002150494e-06
1893,1.98301009834978e-07,1.4903367908658538e-06
1894,5.797416324782034e-08,1.6308383266050441e-06
1895,7.162151538508965e-08,1.513079656234595e-06
1896,5.661147717272996e-08,1.5237922390554104e-06
1897,7.225125120413622e-08,1.3733563353213185e-06
1898,9.958704505486082e-08,1.443446304705276e-06
1899,7.904436927219649e-08,1.4703358992562698e-06
1900,7.111742805765431e-08,1.7078565051065198e-06
1901,7.265360607577875e-08,1.4731916024857128e-06
1902,8.93671647794747e-08,1.5457574029653642e-06
1903,1.0206416622970949e-07,1.4710200435530396e-06
1904,1.0265534200470938e-07,1.557028893373058e-06
1905,1.2282606465241486e-07,1.5626778537836117e-06
1906,9.310974258269766e-08,1.3889298102753855e-06
1907,1.2239967145388775e-07,1.4754817474482707e-06
1908,1.051037288313239e-07,1.5799938921645662e-06
1909,1.4907665457641883e-07,1.6414934904673828e-06
1910,1.239842983835615e-07,1.5909537030012189e-06
1911,1.4684232008121967e-07,1.5540813169678813e-06
1912,1.406543785331671e-07,1.590436255582972e-06
1913,1.3416564526025354e-07,1.878318979464666e-06
1914,1.6072185371474035e-07,1.492034495953476e-06
1915,1.5314990431392062e-07,1.380705315412456e-06
1916,1.1866459281861808e-07,1.3932102049807327e-06
1917,1.2721051811936945e-07,1.4366016394262715e-06
1918,1.1601240057501627e-07,1.3381628143349644e-06
1919,1.0312789866517846e-07,1.6067695440824536e-06
1920,1.5901686989394648e-07,1.7613011209505203e-06
1921,1.325230757909246e-07,1.7515764696440783e-06
1922,1.3722959768536214e-07,1.6106033591256619e-06
1923,2.0170301073818564e-07,1.8429286399168632e-06
1924,1.5469948821955626e-07,1.867996338944522e-06
1925,2.2546265077139083e-07,1.7762057673564868e-06
1926,1.9728665245910548e-07,1.8402274726270207e-06
1927,2.2855911030461584e-07,1.663464303192086e-06
1928,2.1937998884169474e-07,1.5722233008830244e-06
1929,3.4758069178408846e-07,1.6977979448995484e-06
1930,2.436835986330266e-07,1.6301592253853414e-06
1931,2.1328017130173293e-07,1.7450195741730568e-06
1932,2.597410153626356e-07,1.4050125471953834e-06
1933,2.420309617168215e-07,1.639157652277845e-06
1934,3.534566275220641e-07,1.6462690943797043e-06
1935,2.800578497996753e-07,1.6671819551561384e-06
