year,leurs_DET oies_NOUN,leurs_DET joies_NOUN
1800,6.288328968651058e-09,2.829747991484055e-08
1801,0.0,3.0955374485941434e-08
1802,2.2378401354217203e-09,8.280008501060365e-08
1803,2.3404069793286908e-08,6.826187615160961e-08
1804,4.943701892301533e-09,6.673997354766925e-08
1805,5.685755422035754e-09,5.685755510853596e-08
1806,0.0,6.051504897186533e-08
1807,2.8469551160981155e-09,3.4163463169534225e-08
1808,2.2660739951163578e-09,3.3991110370834576e-08
1809,3.6144488291256494e-08,6.777091243748146e-08
1810,1.1700633351097167e-08,1.3572735468869723e-07
1811,0.0,5.515568801683912e-08
1812,5.3344164641089264e-09,4.5342538612658245e-08
1813,8.627225156487839e-09,2.0130190847567064e-08
1814,0.0,1.5733386149463513e-08
1815,0.0,5.3944472000466703e-08
1816,0.0,8.343373991692715e-08
1817,1.556873407970727e-09,9.652614996191744e-08
1818,2.384235386898581e-08,2.384235386898581e-08
1819,0.0,4.450951340828624e-08
1820,3.322614716694261e-08,6.526564710895855e-08
1821,1.2819934447350079e-08,6.705812127805189e-08
1822,2.0051231786055723e-09,9.524335098376469e-08
1823,8.894418535021487e-09,8.004976503883654e-08
1824,1.431589158329416e-08,9.93691262607399e-08
1825,7.924898959288385e-09,9.245715482109063e-08
1826,3.5231937367541377e-09,9.07222411639097e-08
1827,1.3825909306319772e-08,7.834682236307344e-08
1828,1.4675682002973645e-08,9.264024214417077e-08
1829,3.3435387791769244e-08,1.0030615982259405e-07
1830,2.0873671680021744e-09,1.3254781094929058e-07
1831,1.5591206103948707e-09,1.387617345471881e-07
1832,5.411987746839486e-09,1.7859559253707857e-07
1833,3.4750886612755494e-09,2.4441456858426136e-07
1834,5.600718555598405e-09,2.1936147742707135e-07
1835,0.0,1.9437135279076756e-07
1836,3.36037508930076e-09,1.915413747610728e-07
1837,5.5663127440652715e-09,1.7673042762567093e-07
1838,1.3886756633496589e-08,1.6537864855337148e-07
1839,9.788065469251706e-09,1.719902886776481e-07
1840,0.0,1.7325553036684482e-07
1841,3.852329122366882e-09,2.0032110992218577e-07
1842,0.0,2.4351002103628616e-07
1843,1.7720733769266417e-09,1.9138392121087477e-07
1844,5.488561272137815e-10,2.228355877598176e-07
1845,6.138250796539069e-09,2.4664607245483694e-07
1846,5.269050973311096e-09,2.1954379736399687e-07
1847,8.089835468183537e-09,1.6880790543183366e-07
1848,2.172209789819135e-08,1.7377679339958263e-07
1849,0.0,1.952403749783116e-07
1850,6.788996032014438e-10,1.7855060097105024e-07
1851,7.739326512989919e-09,1.9735282341670768e-07
1852,2.278690836021724e-08,1.9857164268444194e-07
1853,1.0749477752369785e-08,2.173783117953576e-07
1854,6.754363734984281e-09,2.545875665838082e-07
1855,4.2455496895854594e-09,2.536715975054449e-07
1856,3.6240324075009767e-09,2.7180242145874445e-07
1857,3.905207268672939e-09,2.470043549696044e-07
1858,7.34051397444091e-09,2.79428891525324e-07
1859,2.036869339860914e-09,2.3118467007421373e-07
1860,1.373155145145688e-09,2.5403371273213793e-07
1861,1.8863854922557266e-09,2.2400828325608302e-07
1862,1.0391368654438793e-08,1.9562880781975878e-07
1863,2.9967726078439227e-09,2.841939359399248e-07
1864,9.589456340108882e-09,2.536411125575455e-07
1865,1.2237795665726026e-08,2.1651484427565038e-07
1866,5.838735717134114e-09,2.1797945715107403e-07
1867,9.7056229719783e-10,2.2322933368457143e-07
1868,2.9639244392143382e-09,2.010528756812846e-07
1869,4.883519366671862e-09,2.402691383629474e-07
1870,4.587239033071455e-09,2.0183851923150087e-07
1871,4.248470908407853e-09,1.7100095806021898e-07
1872,7.256807155187062e-09,1.9593380029547802e-07
1873,3.591602570907071e-09,2.5141219284208205e-07
1874,5.974609140757536e-10,2.126960856330129e-07
1875,1.0298748520654044e-08,2.019699065769487e-07
1876,1.209202959984168e-09,1.6142859049494973e-07
1877,3.0924081073635534e-09,2.0038803372202096e-07
1878,7.2469061862534545e-09,1.5339284686888277e-07
1879,3.665595160740054e-09,1.9549841212551655e-07
1880,6.417846254436199e-10,1.5467009184533254e-07
1881,1.6036766581351003e-08,2.3706525520417188e-07
1882,9.983077475794744e-09,2.1363786251171746e-07
1883,5.687405213450347e-09,2.0601044559143133e-07
1884,9.902545450302114e-09,2.0861362948210171e-07
1885,3.86738152613475e-09,1.9207994328418465e-07
1886,5.808117542471791e-09,2.5426646965698296e-07
1887,5.876032105334161e-09,2.3112393576774082e-07
1888,3.804368819970705e-09,2.3206650068274826e-07
1889,6.265136853755848e-09,2.493524506874678e-07
1890,3.9326319978272295e-09,2.202273803320054e-07
1891,7.0116419337296065e-09,1.7975299826389346e-07
1892,6.268512375839919e-09,2.6014325560375084e-07
1893,6.158416554491453e-10,2.6542775821702946e-07
1894,4.411077725308132e-09,2.741169606856886e-07
1895,3.611168697403855e-09,2.341240972203451e-07
1896,3.5382172747233653e-09,2.7775005495556115e-07
1897,8.740070001067579e-09,2.2141511735185304e-07
1898,8.487532454637403e-09,2.4783595331534514e-07
1899,8.291367592505594e-09,2.387913813350906e-07
1900,7.26747462209687e-09,2.6837744737662206e-07
1901,1.0059729937950124e-08,2.224318160770622e-07
1902,9.820567692386817e-10,2.3569362150865913e-07
1903,7.020286574288548e-09,2.5597045372194316e-07
1904,3.7622376325430196e-09,2.8485513947629215e-07
1905,1.5482277682110634e-09,2.843578110756084e-07
1906,7.716276506641861e-09,2.685264203772242e-07
1907,1.1828539925318182e-08,2.874849485134945e-07
1908,2.4556945366072114e-09,2.2788845788213052e-07
1909,4.950885035270858e-09,2.700982815184716e-07
1910,1.6032452032632705e-09,2.9980684335129126e-07
1911,4.788336838146279e-09,2.2558386136850572e-07
1912,5.730363294986773e-09,2.6255483831505444e-07
1913,9.545381374209683e-09,2.7257368473421195e-07
1914,7.366418142140674e-09,2.4510081964024266e-07
1915,8.246533234057551e-09,2.5328639052801805e-07
1916,3.2962386153911893e-09,2.867727570965428e-07
1917,2.1932848870420685e-09,2.215217733692043e-07
1918,1.1486376294556067e-09,2.4121389596842846e-07
1919,1.3811772170413406e-08,2.2006758260140202e-07
1920,3.028892692213958e-09,2.2868139426535095e-07
1921,3.0290989716519334e-09,2.4459974445889543e-07
1922,3.6889677978990676e-09,2.626545159145621e-07
1923,1.3800733000834953e-08,2.6858348523006725e-07
1924,3.867487219366694e-09,2.2560342194388738e-07
1925,9.898360353588487e-09,2.9695080883129776e-07
1926,3.343841648018042e-09,2.418711915197491e-07
1927,7.804457524684949e-09,2.2521434595024203e-07
1928,2.2852082448565625e-09,2.536581182877029e-07
1929,4.4561625500705304e-09,2.2280812839170494e-07
1930,7.352522590764465e-09,2.0692099500507766e-07
1931,3.4216069977333063e-09,1.8932891610035085e-07
1932,4.383814644626227e-09,1.8959998993040017e-07
1933,2.2941324395731044e-09,2.076189791200278e-07
1934,3.5944740517379614e-09,2.2765002327673756e-07
1935,9.574627313213568e-09,2.3697203133110634e-07
1936,0.0,1.9884531887726098e-07
1937,5.0364472592434595e-09,1.5864808267096464e-07
1938,2.5930428915188486e-09,1.8151300906765755e-07
1939,7.647025235257843e-09,2.2482254546929425e-07
1940,2.5357829169792012e-09,1.6989746143281081e-07
1941,8.854508237732261e-09,1.9775066739669e-07
1942,6.068423541449874e-09,1.881211300069907e-07
1943,8.709705845433291e-09,2.9612999741246426e-07
1944,0.0,1.9600435052780085e-07
1945,2.178504043826024e-09,2.1131489802428405e-07
1946,1.2528993842408909e-08,2.4640353490923417e-07
1947,7.152522574216391e-09,2.598749755389207e-07
1948,3.2615663503321457e-09,2.2504807373202595e-07
1949,1.9634016634739737e-09,2.0812057188734912e-07
1950,5.317680518146517e-09,2.1802490479672088e-07
1951,4.264560704569931e-09,1.8550839719910783e-07
1952,1.0544804140977249e-08,1.7188030088099993e-07
