year,fausses_ADJ joies_NOUN
1800,6.917161954334006e-08
1801,4.286128785224719e-08
1802,5.147032311469957e-08
1803,6.046051481689574e-08
1804,5.6852570651244605e-08
1805,4.8328921309348516e-08
1806,5.76333825108577e-09
1807,4.839823830593559e-08
1808,3.3991110370834576e-08
1809,3.840352036377226e-08
1810,1.0296557917399696e-07
1811,4.763445815569867e-08
1812,7.468182872116813e-08
1813,2.8757416004054903e-08
1814,2.5173417128598885e-08
1815,4.315557688983063e-08
1816,1.3905622608945123e-07
1817,9.652615062805125e-08
1818,2.6226590676969863e-08
1819,5.072014630513877e-08
1820,3.085285271708926e-08
1821,9.2697987952306e-08
1822,7.619468078701175e-08
1823,6.127265805844218e-08
1824,6.82110155025839e-08
1825,7.308517524506897e-08
1826,4.580151724553616e-08
1827,6.359918103271411e-08
1828,5.228211819030548e-08
1829,5.1439055681612444e-08
1830,6.679574937606958e-08
1831,7.483778574624012e-08
1832,7.712082350508354e-08
1833,7.18184978154568e-08
1834,1.0921401383257034e-07
1835,8.848812882433776e-08
1836,6.98957975941994e-08
1837,7.792837664055696e-08
1838,5.3653376852480505e-08
1839,4.6842885126352485e-08
1840,8.535382534091696e-08
1841,6.035315891494974e-08
1842,5.836190553054621e-08
1843,6.97015494210973e-08
1844,8.013299179765454e-08
1845,9.03996948409258e-08
1846,4.4494210982293225e-08
1847,3.55952778363644e-08
1848,3.057184372323718e-08
1849,3.351765798242923e-08
1850,4.5486274302675156e-08
1851,2.902247508984601e-08
1852,6.836072685700856e-08
1853,7.226037723739864e-08
1854,1.0703068653583614e-07
1855,6.845948519185185e-08
1856,1.0457922172690814e-07
1857,5.4672902649599564e-08
1858,5.1872966366772744e-08
1859,5.703234151610559e-08
1860,6.499600857523546e-08
1861,2.6880993431177558e-08
1862,5.557123117228002e-08
1863,4.9446747141246306e-08
1864,4.6029388300894425e-08
1865,4.471502279557171e-08
1866,6.714545719432863e-08
1867,4.4160586298858107e-08
1868,2.3711395513714706e-08
1869,4.688178378842167e-08
1870,5.963410387721524e-08
1871,3.717412155879174e-08
1872,4.4145576083565174e-08
1873,3.8909028887701425e-08
1874,3.0470506118263074e-08
1875,6.980263123068653e-08
1876,2.1765654167893445e-08
1877,3.834585982076533e-08
1878,2.717589886458427e-08
1879,1.8327975581655664e-08
1880,2.888030792291829e-08
1881,1.5339516323820135e-08
1882,1.7969540522244642e-08
1883,2.5277355319985872e-08
1884,2.2445769687351458e-08
1885,1.9981470700258797e-08
1886,2.5813855941692054e-08
1887,1.697520346510828e-08
1888,3.804368731152863e-08
1889,2.192797943223468e-08
1890,2.8839300725280737e-08
1891,2.932141285327816e-08
1892,3.63573704476039e-08
1893,1.4780200174868696e-08
1894,1.1342770278588432e-08
1895,3.49079627426363e-08
1896,3.184395680477792e-08
1897,1.2236098356765979e-08
1898,2.4330926606808134e-08
1899,3.0954439012020885e-08
1900,2.8550791952852705e-08
1901,2.2913829056392387e-08
1902,1.7677022512430085e-08
1903,1.7280704867062013e-08
1904,7.524475265086039e-09
1905,1.5482276793932215e-08
1906,1.594697174311932e-08
1907,1.131425531042396e-08
1908,1.620758460774141e-08
1909,1.925344328412848e-08
1910,1.870452770447173e-08
1911,2.7665945978583295e-08
1912,3.125652625612929e-08
1913,2.704524781904638e-08
1914,2.678697441638178e-08
1915,2.8273827723523937e-08
1916,9.888715624128963e-09
1917,8.773139548168274e-09
1918,1.033773866510046e-08
1919,1.1049418269237776e-08
1920,1.3630017114962811e-08
1921,3.634918854800162e-08
1922,1.1066902949607993e-08
1923,1.3800733000834953e-08
1924,1.675911143195208e-08
1925,2.1996356736053713e-08
1926,1.2260752413340015e-08
1927,1.3379070296082318e-08
1928,1.2568645679778001e-08
1929,1.7824650200282122e-08
1930,1.2604324695075775e-08
1931,1.4826963656844327e-08
1932,1.9727165678773417e-08
1933,1.261772819560747e-08
1934,2.2765002327673756e-08
1935,5.98414207075848e-09
1936,1.33371855781661e-08
1937,2.5182236296217297e-09
1938,7.779128452511941e-09
1939,1.8352860564618823e-08
1940,2.2822046474857416e-08
1941,2.6563522936839945e-08
1942,2.1239483061208375e-08
1943,2.9032352077962287e-09
1944,3.213186161588055e-08
1945,1.089252066321933e-08
1946,2.3665876369705074e-08
1947,2.26496545963073e-08
1948,1.4133454406817236e-08
1949,2.846932467548413e-08
1950,2.4461330738745346e-08
1951,2.2388944032059044e-08
1952,2.6362009464264702e-08
1953,1.0773827163745864e-08
1954,1.172704333640695e-08
1955,2.3464020060259827e-08
1956,1.3953826538681824e-08
1957,1.0602045463770082e-08
1958,1.8198935691771112e-08
1959,1.705164542897819e-08
1960,2.2146666722733244e-08
1961,1.528595028332802e-08
1962,8.8787386332001e-09
1963,1.0992290633282664e-08
1964,2.8594651979574337e-08
1965,1.0396882466068291e-08
1966,1.5509408868297214e-08
1967,1.5777073869571723e-08
1968,2.0660513300185812e-08
1969,1.544197658631674e-08
1970,9.657322941336588e-09
1971,1.3873672877195986e-08
1972,2.0007572487656944e-08
1973,1.0475087464101307e-08
1974,1.0688586016271984e-08
1975,1.028066431985053e-08
1976,9.141642998145016e-09
1977,8.815172591880582e-09
1978,6.534650598410963e-09
1979,2.1067103617156135e-08
1980,9.664756106531058e-09
1981,1.4548763971333756e-08
1982,1.3656505259973528e-08
1983,1.5788289786655696e-08
1984,1.275781880138993e-08
1985,1.142956040922627e-08
1986,1.019062523255343e-08
1987,9.777306964053878e-09
1988,6.596209356501959e-09
1989,1.0427432250992297e-08
1990,1.5801088437683575e-08
1991,7.033758464558559e-09
1992,8.815910668147353e-09
1993,8.862731881720265e-09
1994,6.329911705904578e-09
1995,1.6809597269684673e-08
1996,9.60856638698715e-09
1997,7.671831170341648e-09
1998,7.629006759657386e-09
1999,9.597422412355172e-09
2000,1.2370488633450805e-08
2001,7.0099388516098315e-09
2002,8.762443215459825e-09
2003,1.3334153337041244e-08
2004,8.369103632333008e-09
2005,1.4411998705554652e-08
2006,1.2353670086895363e-08
2007,1.078509459517818e-08
2008,1.5326783397995314e-08
2009,1.5258216023994464e-08
2010,2.172944846279279e-08
2011,1.9884653923440965e-08
2012,2.246806829475645e-08
2013,2.7054513296320692e-08
2014,2.14379074492399e-08
2015,3.457857644661999e-08
2016,3.645558521725434e-08
2017,3.1696703928218994e-08
2018,2.1942467398616827e-08
2019,3.061185438468783e-08
