year,leurs_DET oeufs_NOUN,leurs_DET jeux_NOUN
1800,6.697070347172485e-07,1.1193225901706683e-06
1801,1.050101520405633e-06,1.2525020665066222e-06
1802,9.60033418095918e-07,1.349417573237588e-06
1803,4.40191568773507e-06,1.228713692569272e-06
1804,1.1741291841005363e-06,1.5894001919036782e-06
1805,3.7810272224270136e-07,1.304880896668692e-06
1806,1.3832012424330742e-07,1.3428578036212002e-06
1807,3.046241943138739e-07,1.0562203982544816e-06
1808,1.3596443526608937e-07,1.4956088563167214e-06
1809,9.713831361501946e-08,1.0459311425847773e-06
1810,2.1529165650235882e-07,1.1841041027693677e-06
1811,4.512738271955641e-08,1.3588356324589768e-06
1812,6.13457871168066e-08,1.026875132481564e-06
1813,7.476928232108548e-08,1.3458471030958208e-06
1814,1.541871768040437e-07,9.030963354916821e-07
1815,9.170560133497929e-08,9.305421375671585e-07
1816,2.410307988753857e-07,7.509036379360623e-07
1817,3.3005717270384594e-07,8.843041117145845e-07
1818,2.873003861481038e-07,8.857435034315131e-07
1819,3.1363681074481065e-07,8.053116680173389e-07
1820,4.2719332071783356e-08,9.421985822655188e-07
1821,3.944595405869222e-08,1.0196778692517228e-06
1822,3.709477880420309e-08,9.163412926227466e-07
1823,9.882686669016039e-08,9.240312337510659e-07
1824,6.315834522041541e-08,1.060218131954116e-06
1825,1.2415675021415495e-07,1.009103737459327e-06
1826,5.901349608983253e-08,8.816792238519611e-07
1827,1.0415518819639757e-07,7.834682129725934e-07
1828,9.997808075867809e-08,9.053061322816802e-07
1829,5.915491319008481e-08,8.401712694450225e-07
1830,8.453836830568662e-08,9.059173535774789e-07
1831,6.704218602493484e-08,8.481615889621708e-07
1832,4.329590330698352e-08,9.89040774612704e-07
1833,5.096796640291501e-08,1.1745799550766378e-06
1834,6.627516802026889e-08,1.094006979229789e-06
1835,1.096647750387092e-07,9.105957659016894e-07
1836,8.736975087852983e-08,8.636163784103701e-07
1837,8.140732621342295e-08,8.105942868041893e-07
1838,8.07956750392691e-08,8.830714524066252e-07
1839,6.571986876924285e-08,9.032985683887773e-07
1840,2.802663096046487e-08,8.146831902422491e-07
1841,5.393260860131477e-08,7.762443070546965e-07
1842,1.4154439176294886e-07,6.594224366551771e-07
1843,3.780423196708682e-08,7.182804004912668e-07
1844,7.080243868973213e-08,7.89255095945407e-07
1845,7.868121487675239e-08,6.316818037532812e-07
1846,6.732676283149885e-08,7.136637094617981e-07
1847,9.114547694366593e-08,6.126702034592313e-07
1848,6.597081636527946e-08,7.385513676183564e-07
1849,1.1144621780978525e-07,5.463378514036776e-07
1850,2.9192682049483665e-08,6.361289273115744e-07
1851,3.5471913850670944e-08,5.43042721901088e-07
1852,6.445440137170522e-08,6.725393246753697e-07
1853,5.912212475145395e-08,6.652732018608276e-07
1854,3.1693552504652445e-08,7.034929918603439e-07
1855,3.02495415382964e-08,6.580601912276052e-07
1856,2.1744195222161977e-08,7.165229938266293e-07
1857,3.1241656484048974e-08,6.272739057067156e-07
1858,2.4468380044329052e-08,7.30625810518859e-07
1859,3.208069188076479e-08,7.449849852569912e-07
1860,1.4463901010230984e-07,8.087884086904751e-07
1861,3.159695793897299e-08,6.809851740285922e-07
1862,1.8975542942500923e-08,7.016432528317296e-07
1863,1.1487628293060936e-08,6.842630586589848e-07
1864,2.685047595374357e-08,6.59754581633365e-07
1865,1.3649848362717876e-08,6.340119549363976e-07
1866,2.5301186923343266e-08,5.610051552196182e-07
1867,1.9896527092555516e-08,5.619555913938257e-07
1868,2.2723421366777075e-08,5.295544736050317e-07
1869,1.465055732285947e-08,6.412060535865294e-07
1870,2.9243647947652107e-08,5.911804432656709e-07
1871,2.6552942955504477e-08,4.248470997225695e-07
1872,2.4794092001734214e-08,5.950581840608038e-07
1873,2.7535620006347017e-08,5.387404042878075e-07
1874,4.421210775262807e-08,4.869306615695734e-07
1875,2.1741803024610817e-08,5.584210356346375e-07
1876,1.753344314181504e-08,5.272124674604584e-07
1877,3.030559980743419e-08,6.512611232523113e-07
1878,8.273551443949145e-08,5.924346133667768e-07
1879,1.649517855639715e-08,5.144051833383401e-07
1880,2.4387814878679137e-08,6.693813840996654e-07
1881,1.6734017838082593e-08,4.392679684439571e-07
1882,3.926677294430192e-08,5.437449495104829e-07
1883,1.8326083761621703e-08,5.333521784223194e-07
1884,2.1125430293977843e-08,5.393586590685118e-07
1885,1.418039830003437e-08,6.046006131299464e-07
1886,2.774989382725579e-08,3.9624269532190226e-07
1887,4.8314041434238675e-08,4.831404236682602e-07
1888,2.2192152115962926e-08,5.440247665688958e-07
1889,1.7542383545787743e-08,5.312835993365184e-07
1890,1.2453334363726754e-08,4.4766460760570226e-07
1891,1.72103943318902e-08,5.029259835254152e-07
1892,4.2625885043889866e-08,4.933319264210922e-07
1893,2.5249507429325746e-08,5.388614585655205e-07
1894,2.142523314319078e-08,4.85848683062784e-07
1895,1.3240951446391591e-08,4.983412642545204e-07
1896,1.7101383420481397e-08,4.3048312647897546e-07
1897,2.505486840220783e-08,4.632237384782911e-07
1898,1.0750873968845553e-08,4.617217550517694e-07
1899,3.2612712530522003e-08,4.792410521758939e-07
1900,2.4397948994447916e-08,4.962646551476269e-07
1901,1.7325090695408107e-08,4.912501418985471e-07
1902,2.4551420119145462e-08,4.929924823926513e-07
1903,1.3500550899436803e-08,5.119408976739237e-07
1904,2.9022976022474722e-08,5.079020750642371e-07
1905,2.631987072732045e-08,4.871756487112577e-07
1906,1.388929860013377e-08,4.609189208082398e-07
1907,2.6228502036929058e-08,5.111986345340824e-07
1908,2.2592390180875555e-08,5.574426689136658e-07
1909,2.7504917177179067e-08,5.363458814855449e-07
1910,2.9927242906069296e-08,5.536540301775972e-07
1911,2.6601869929088195e-08,4.724492113084011e-07
1912,2.344239469209697e-08,5.93353081335124e-07
1913,3.2878535449754054e-08,5.70601692118089e-07
1914,3.080502253283157e-08,5.611871358723874e-07
1915,3.2986132825207903e-08,3.8405285174292203e-07
1916,2.0876177231343718e-08,4.394984882694075e-07
1917,2.3029491202919417e-08,5.483212106582869e-07
1918,2.412139110674616e-08,5.203328186098588e-07
1919,2.3940405213807026e-08,5.257681405801407e-07
1920,3.028892603396116e-08,5.399001334893683e-07
1921,3.862101355389669e-08,5.77043373084507e-07
1922,3.0987327981346624e-08,6.020395080241769e-07
1923,2.229349105320466e-08,6.284641571596694e-07
1924,3.480738541838946e-08,6.046171767692954e-07
1925,2.1996356291964503e-08,5.763045454187932e-07
1926,4.2355324580967135e-08,5.651092438441196e-07
1927,1.0034302122541305e-07,5.886790468423442e-07
1928,3.5420729460611255e-08,5.72444648128112e-07
1929,1.8493074360748096e-07,4.924059480160281e-07
1930,7.457558237611295e-08,5.314823141588931e-07
1931,7.413481739604322e-08,4.881492587927028e-07
1932,4.7126007984843454e-08,5.468808499387023e-07
1933,6.76769036367375e-08,4.920913974082453e-07
1934,6.350237491403732e-08,4.996319038497177e-07
1935,5.146362180852293e-08,6.067919908758768e-07
1936,5.698615979099486e-08,5.916860592591888e-07
1937,4.1550688223424004e-08,5.124585245042113e-07
1938,4.148868626430158e-08,5.471320339012209e-07
1939,5.352917753498332e-08,5.964679630210412e-07
1940,4.3108308034334186e-08,4.234757557952662e-07
1941,7.673907065353092e-08,5.784945180664636e-07
1942,6.978687139280737e-08,5.036791375090388e-07
1943,5.516146828199453e-08,6.125826121916589e-07
1944,1.6065930807940276e-08,5.301757255438133e-07
1945,6.535512397931598e-08,6.274091504110402e-07
1946,3.480275978517966e-08,6.76565646173799e-07
1947,3.933887415819015e-08,5.769701481028733e-07
1948,1.3698578360532565e-07,5.72948488652969e-07
1949,6.97007607186606e-08,5.026308187439099e-07
1950,3.5096692885261405e-08,5.891990095818755e-07
1951,7.249753508631329e-08,4.904244850223449e-07
1952,8.752187419247548e-08,4.6608032366890484e-07
1953,6.141081698718409e-08,4.934412736190552e-07
1954,5.863521579385633e-08,5.208761626462888e-07
1955,5.5375087182341076e-08,4.730346381265349e-07
1956,5.058262297907845e-08,5.302454084699093e-07
1957,5.919475187798895e-08,4.7002400016538104e-07
1958,5.542403158642628e-08,5.26114668275568e-07
1959,4.030388878195623e-08,4.689202519614355e-07
1960,4.983000123637282e-08,5.529746056609497e-07
1961,2.91822690456911e-08,5.878142683712895e-07
1962,5.517501905361044e-08,5.44774042765539e-07
1963,4.396916120086303e-08,6.071623950276717e-07
1964,3.285343014303166e-08,5.092281680774136e-07
1965,2.9001830270658502e-08,5.061640289127922e-07
1966,2.8249282024717104e-08,5.084870666749453e-07
1967,5.127549090877537e-08,5.285319968351132e-07
1968,3.8177032979369585e-08,5.48401898115003e-07
1969,3.1338128952951294e-08,4.369171060503163e-07
1970,4.138852394142134e-08,4.6493108740719435e-07
1971,5.138397440873632e-08,5.14353596159367e-07
1972,4.3093233870195036e-08,5.30457165304199e-07
1973,3.914374602231874e-08,4.3168385399638964e-07
1974,6.131872798409432e-08,4.455452842222485e-07
1975,4.512069251561002e-08,4.911872935053907e-07
1976,4.8564979537868425e-08,4.445123975571619e-07
