year,quelques_DET oies_NOUN,quelques_DET joies_NOUN
1800,5.0306631749208464e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,2.9091921760482364e-08,1.5664880947952042e-08
1803,4.4857802805609026e-08,0.0
1804,2.4718509905596875e-08,4.943701892301533e-09
1805,5.4014676953428875e-08,8.528632911009026e-09
1806,5.76333825108577e-09,2.881669125542885e-09
1807,5.693910232196231e-09,5.693910232196231e-09
1808,3.852325747288887e-08,0.0
1809,3.162642769893864e-08,6.7770917766551975e-09
1810,1.2870697219113936e-07,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,4.315557688983063e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,1.2454987263765815e-08,0.0
1818,3.695565098382758e-08,0.0
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,9.861488514673056e-09,0.0
1822,1.804610860745015e-08,0.0
1823,8.894418535021487e-09,3.9530747564242574e-09
1824,1.431589158329416e-08,0.0
1825,3.522177216552791e-09,6.163809906922779e-09
1826,1.8496766784892316e-08,1.4973572604048968e-08
1827,1.013900030599757e-08,2.7651818612639545e-09
1828,1.0089530988466322e-08,4.586150570418113e-09
1829,9.430493552731178e-09,2.571952872898464e-09
1830,9.39315203396518e-09,4.174734336004349e-09
1831,3.1182412207897414e-09,1.870944643656003e-08
1832,1.0823975493678972e-08,1.7588959622116818e-08
1833,2.0850531967653296e-08,8.108539617524002e-09
1834,1.8669061851994684e-08,5.600718555598405e-09
1835,7.563087933704082e-09,1.739510224751939e-08
1836,1.949017514046858e-08,8.736974699274924e-09
1837,1.7394727436226276e-08,1.0436836284100082e-08
1838,3.787297142565649e-09,5.049729523420865e-09
1839,4.894032734625853e-09,7.690622361167243e-09
1840,4.458782232319436e-09,1.2102408852854296e-08
1841,4.494383976094696e-09,1.219904177673925e-08
1842,6.708265054555795e-10,8.049918065466954e-09
1843,1.594865972620596e-08,2.8353174030826267e-08
1844,4.9397050894128824e-09,2.5796237201891614e-08
1845,1.562463802784464e-08,1.785672942844485e-08
1846,8.196302303531411e-09,1.2879903366069811e-08
1847,1.0786447290911383e-08,1.240441438454809e-08
1848,1.6090443422100975e-09,6.43617736884039e-09
1849,4.189707469848258e-09,4.1059134758825167e-08
1850,1.8330290174617403e-08,7.467895635215882e-09
1851,9.029214709244116e-09,5.159551008659946e-09
1852,1.9531636308300904e-09,1.8229528109259263e-08
1853,2.388772735173461e-09,1.1346670270029335e-08
1854,8.832629572186335e-09,2.5458755992247006e-08
1855,2.1227748447927297e-09,1.8043586180738203e-08
1856,3.1063135952358323e-09,1.7084724746041502e-08
1857,0.0,8.78671624349181e-09
1858,8.80861672492017e-09,1.468102794888182e-08
1859,3.055304009791371e-09,1.4258085379026397e-08
1860,1.327383358784573e-08,1.7393299578394306e-08
1861,1.8863854922557266e-09,2.5466203368296192e-08
1862,4.066187636597718e-09,2.846331437211802e-08
1863,6.493007298491449e-09,2.996772563435002e-08
1864,1.102787461348953e-08,1.582260189536555e-08
1865,0.0,1.976874625109204e-08
1866,8.758103242634263e-09,1.6056523222118813e-08
1867,5.338092634588065e-09,1.844068364675877e-08
1868,2.3711396401893126e-08,1.2349684830326169e-08
1869,9.767038400276817e-09,9.767038733343725e-09
1870,3.4404292748035914e-09,2.121598008386627e-08
1871,8.496941816815706e-09,3.18635318130589e-09
1872,5.442605477412599e-09,2.0560953717385644e-08
1873,5.986004469882289e-10,1.4965010730616513e-08
1874,6.572069888299836e-09,1.9716210886144836e-08
1875,5.721527251978387e-09,1.0870901512305409e-08
1876,3.02300739996042e-09,1.3301232115736639e-08
1877,6.80329748092845e-09,7.421779191219002e-09
1878,9.058632954861423e-09,3.442280638310535e-08
1879,7.94212295929242e-09,2.01607734950926e-08
1880,6.417846032391594e-09,1.1552122813895949e-08
1881,1.3945015142624584e-09,1.5339516323820135e-08
1882,5.989846396659004e-09,1.1979693459451823e-08
1883,6.319338829996468e-09,8.847074461915128e-09
1884,7.2618666635548834e-09,1.4523733327109767e-08
1885,6.445635636342928e-09,2.0626034213933053e-08
1886,1.0325542088018835e-08,2.0651083898481915e-08
1887,1.0446279397058333e-08,1.566941953967671e-08
1888,1.141310668195672e-08,1.3315290869897467e-08
1889,3.7590820456401275e-09,3.195219677731842e-08
1890,7.209825181320184e-09,3.2771932723107966e-08
1891,1.0836173736095134e-08,1.1473595740163489e-08
1892,8.149066088591894e-09,2.4447197821686473e-08
1893,3.0792082772457263e-09,1.662772503019383e-08
1894,6.301539290376468e-09,2.898708117982096e-08
1895,3.0093072478365457e-09,1.6852119699706236e-08
1896,6.486731818355906e-09,2.6536629671447542e-08
1897,8.157398867503218e-09,7.574727622916555e-09
1898,7.355861253444118e-09,1.867257104493092e-08
1899,6.080336234504102e-09,3.758753308602536e-08
1900,4.6719478286050276e-09,1.86877908703309e-08
1901,7.265360535413379e-09,1.8442838423116115e-08
1902,3.928227076954727e-09,1.3257766440233354e-08
1903,3.2401321625741275e-09,1.2420506179111612e-08
1904,1.0211787859759625e-08,2.20359632763234e-08
1905,5.160758931310738e-09,2.8384174843854026e-08
1906,7.716276506641861e-09,3.1379523868224624e-08
1907,1.131425531042396e-08,2.5714216533856415e-08
1908,5.893666887857307e-09,1.6698722404839828e-08
1909,8.251475669407426e-09,2.8055015810490858e-08
1910,1.0688301688155377e-08,2.7255168677520203e-08
1911,3.7242618988742038e-09,2.074945903984826e-08
1912,6.772247651554153e-09,2.396333742549217e-08
1913,1.1136278676993072e-08,1.8030165804816534e-08
1914,2.678697486047099e-09,2.209925398233281e-08
1915,2.3561523843085297e-09,2.709575319670421e-08
1916,0.0,9.888715624128963e-09
1917,2.1932848870420685e-09,2.1932848426331475e-08
1918,3.44591288836682e-09,4.020231614276781e-08
1919,7.366278753639932e-09,3.038589824200244e-08
1920,5.300562211374427e-09,1.741613253614105e-08
1921,1.5145494858259667e-09,2.574734203619755e-08
1922,1.180469710870824e-08,1.3280284150152255e-08
1923,3.1847844361720945e-09,1.8047111360885992e-08
1924,2.578324886925998e-09,1.8048273764392775e-08
1925,3.299453377181294e-09,1.2097995494286806e-08
1926,7.802297030679028e-09,2.7865346696742677e-08
1927,1.3379070296082318e-08,2.1183528042811872e-08
1928,0.0,1.82816659588525e-08
1929,4.4561625500705304e-09,3.676334259239411e-08
1930,3.1510810627466412e-09,3.466189113510154e-08
1931,4.5621426636444085e-09,2.2810713318222042e-08
1932,8.767629400274757e-09,3.178265672865166e-08
1933,1.3764794637438627e-08,2.5235456169170334e-08
1934,1.0783422155213884e-08,2.6359476379411717e-08
1935,1.196828414151696e-08,2.2739740757060645e-08
1936,2.424942913137329e-09,1.4549657034734764e-08
1937,5.0364472592434595e-09,2.0145788925951535e-08
1938,6.482607117774819e-09,1.6854778683850213e-08
1939,3.058810094103137e-09,1.2235240376412548e-08
1940,1.5214697501875207e-08,5.0715658339584024e-09
1941,1.1806010391524069e-08,1.4757512545315876e-08
1942,1.2136847082899749e-08,2.4273694165799498e-08
1943,1.4516176261025748e-08,1.7419411690866582e-08
1944,1.6065930807940276e-08,2.5705489292704442e-08
1945,8.714016175304096e-09,2.178504132643866e-08
1946,2.7842208538686464e-09,2.0881657292193267e-08
1947,5.960435700558264e-09,3.457052599742383e-08
1948,4.348755133776194e-09,1.7395020535104777e-08
1949,1.0798709482173763e-08,2.2579119796084512e-08
1950,2.1270722960764488e-09,1.4889506516624351e-08
1951,6.396841278899501e-09,2.0256663901818683e-08
1952,6.326882129314981e-09,2.4253049346611988e-08
1953,9.696444758233724e-09,1.7238124039309355e-08
1954,5.863521668203475e-09,1.172704333640695e-08
1955,4.6928039232341234e-09,2.2525458831523792e-08
1956,4.36057079333807e-09,1.6570168570595456e-08
1957,2.6505113659425206e-09,2.5621609056614147e-08
1958,6.617794590102477e-09,1.2408364835625463e-08
1959,1.3176271185244559e-08,8.525822714489095e-09
1960,6.920833239831836e-09,1.314958364417862e-08
1961,9.032606829162404e-09,3.335116360858592e-08
1962,2.5367825617905737e-09,2.1562651775219877e-08
