year,beaux_ADJ oeufs_NOUN,beaux_ADJ jeux_NOUN
1800,0.0,2.5153315874604232e-08
1801,0.0,5.2386017301842e-08
1802,0.0,2.9091921760482364e-08
1803,0.0,2.145373123596528e-08
1804,0.0,2.4718509905596875e-08
1805,2.842877711017877e-09,3.980028751016107e-08
1806,0.0,1.152667650217154e-08
1807,0.0,2.562259560079383e-08
1808,0.0,1.5862518409903714e-08
1809,0.0,2.0331274441787173e-08
1810,0.0,4.212228077449254e-08
1811,0.0,1.2535384286138651e-08
1812,0.0,2.400487453257938e-08
1813,0.0,4.3136125782439194e-08
1814,0.0,3.4613449440001887e-08
1815,0.0,4.04583526680824e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,1.8682481339737933e-08
1818,0.0,3.337929754820834e-08
1819,0.0,1.7596784473994376e-08
1820,0.0,7.119888678630559e-09
1821,0.0,1.3806083387635226e-08
1822,0.0,2.606660132187244e-08
1823,0.0,4.5460360809101985e-08
1824,0.0,1.6842225392110777e-08
1825,0.0,7.308517946391646e-08
1826,0.0,3.2589543508265706e-08
1827,0.0,1.3825909306319772e-08
1828,0.0,8.255071126672675e-09
1829,0.0,3.7721972934168235e-08
1830,0.0,2.1917355486067436e-08
1831,0.0,2.0268567268999504e-08
1832,0.0,1.0823975493678972e-08
1833,0.0,3.359252431778259e-08
1834,0.0,1.6802156110884425e-08
1835,7.563087933704082e-10,6.806779140333674e-09
1836,0.0,4.704525213838906e-09
1837,0.0,2.2961039292113128e-08
1838,0.0,2.4617431648721322e-08
1839,0.0,2.027527834513876e-08
1840,0.0,8.917564464638872e-09
1841,1.2841097074556274e-09,2.6966304300657384e-08
1842,0.0,1.2074877098200432e-08
1843,0.0,8.860366662588604e-09
1844,0.0,5.488561161115513e-09
1845,0.0,1.0044410636567136e-08
1846,0.0,1.1123552745573306e-08
1847,0.0,1.4022381478184798e-08
1848,0.0,2.091757700384278e-08
1849,0.0,1.3407063903514427e-08
1850,0.0,1.0183494048021657e-08
1851,0.0,5.159551008659946e-09
1852,0.0,1.4323200403509873e-08
1853,5.971931837933653e-10,1.5527023000672102e-08
1854,5.195664454227256e-10,2.0263090760863633e-08
1855,0.0,1.4328730202350926e-08
1856,0.0,2.2261912924204097e-08
1857,4.881509085841174e-10,1.2203773103180993e-08
1858,4.893676019968041e-10,2.397901255335455e-08
1859,5.092173349652285e-10,2.34239969643113e-08
1860,0.0,2.0597327482496652e-08
1861,4.715963730639317e-10,2.5466203368296192e-08
1862,0.0,3.252950264709398e-08
1863,9.989241656072068e-10,2.9468262774390297e-08
