year,véritables_ADJ gens_NOUN
1800,1.3519907327008696e-07
1801,7.619784270218588e-08
1802,3.8043282302169246e-08
1803,4.095712213825209e-08
1804,1.0628959046243835e-07
1805,3.0703080255989335e-07
1806,8.645007198992971e-08
1807,3.701041606518629e-08
1808,9.064295625194063e-08
1809,7.90660692473466e-08
1810,4.914266327205041e-08
1811,2.63243066456198e-07
1812,1.440292436427626e-07
1813,1.00650957790549e-07
1814,6.922689976818219e-08
1815,7.821948599939788e-08
1816,1.0892738089296472e-07
1817,1.7592670076282957e-07
1818,9.06009489654025e-08
1819,1.35598753558952e-07
1820,1.1629151686065597e-07
1821,3.234568168863916e-07
1822,1.7244059336007922e-07
1823,6.621399961659336e-08
1824,8.42111234078402e-08
1825,9.333769668273817e-08
1826,9.600702810530493e-08
1827,7.005127855563842e-08
1828,1.0823315221841767e-07
1829,1.0202079181453882e-07
1830,6.157733167810875e-08
1831,1.4187997976478073e-07
1832,2.2730348803179368e-07
1833,9.498575082034222e-08
1834,4.1071935186209885e-08
1835,4.386591001548368e-08
1836,3.5619976301859424e-08
1837,4.244313345225237e-08
1838,6.375283589932224e-08
1839,2.7266752411492234e-08
1840,2.0383003729307347e-08
1841,2.5040138851295524e-08
1842,2.3478927246856074e-08
1843,3.485077471054865e-08
1844,6.586273748609983e-09
1845,4.408380149811819e-08
1846,4.156695965207291e-08
1847,2.0494249852731627e-08
1848,1.126331028444838e-08
1849,3.351765798242923e-08
1850,2.1045888587423178e-08
1851,3.353708066811123e-08
1852,2.3437962681782665e-08
1853,7.285756709052293e-08
1854,3.4291385730966795e-08
1855,3.874064091746732e-08
1856,2.174419400091665e-08
1857,4.1980978693345605e-08
1858,1.565976326389773e-08
1859,5.244938705573077e-08
1860,1.9681891672007623e-08
1861,2.9238975685075275e-08
1862,2.710791768834042e-08
1863,4.744889636754124e-08
1864,1.1507347075223606e-08
1865,1.3179164426446732e-08
1866,6.811858188626729e-09
1867,2.0867089389753346e-08
1868,2.1241458370013788e-08
1869,2.8324411260882698e-08
1870,2.752343419842873e-08
1871,1.0621176826930423e-08
1872,8.4662747923403e-09
1873,1.496501056408306e-08
1874,2.1508592240593316e-08
1875,3.661777370211894e-08
1876,1.9951848173604958e-08
1877,7.669171964153065e-08
1878,9.722932503564152e-08
1879,5.070739916845923e-08
1880,3.2089232604448625e-08
1881,4.9504802035471585e-08
1882,5.523969548448804e-08
1883,3.6020232130340446e-08
1884,1.2543224237049344e-08
1885,2.1915161241281567e-08
1886,1.2261581083805595e-08
1887,6.528924512139156e-09
1888,2.028996703984376e-08
1889,1.1277245803853475e-08
1890,3.9326319978272295e-09
1891,1.0198752065093686e-08
1892,1.1283322720601063e-08
1893,4.0645549148621285e-08
1894,2.2055386850183822e-08
1895,4.273216447359118e-08
1896,7.66613794667137e-09
1897,9.322741689743452e-09
1898,1.867257104493092e-08
1899,1.2713430308508578e-08
1900,7.26747462209687e-09
1901,3.912117296778206e-09
1902,4.910283735171106e-09
1903,7.020286574288548e-09
1904,6.449550227216605e-09
1905,1.857873321853276e-08
1906,1.594697174311932e-08
1907,1.0285686968813934e-08
1908,8.840499887696751e-09
1909,1.1552065082298668e-08
1910,8.01622590529405e-09
1911,1.4897047151407605e-08
1912,1.2502610502451716e-08
1913,1.590896836489719e-08
1914,6.696743604095445e-09
1915,1.0602685840410686e-08
1916,7.69122365795738e-09
1917,1.4256351654751143e-08
1918,2.067547733020092e-08
1919,5.524709134618888e-09
1920,1.3630017114962811e-08
1921,6.058197943303867e-09
1922,1.4755870969551665e-09
1923,1.8047112249064412e-08
1924,1.0313299547703991e-08
1925,1.0998178368026856e-08
1926,1.3375366592072169e-08
1927,6.689535148041159e-09
1928,1.0283437212876834e-08
1929,1.6710609784809094e-08
1930,2.10072066408884e-08
1931,1.0264820993199919e-08
1932,5.4797681947604815e-09
1933,1.605892663292252e-08
1934,1.4377896206951846e-08
1935,9.574627313213568e-09
1936,9.699771652549316e-09
1937,1.0072894518486919e-08
1938,1.0372171566075394e-08
1939,0.0
1940,0.0
1941,2.9515025978810172e-09
1942,1.8205270180260413e-08
1943,1.4516175816936538e-08
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,1.9489545977080525e-08
1947,7.152522574216391e-09
1948,4.348755133776194e-09
1949,1.1780409536754632e-08
1950,4.2541445921528975e-09
1951,4.264560704569931e-09
1952,7.381362632230548e-09
1953,1.508335856215126e-08
1954,4.886268278880834e-09
1955,1.3139850985055546e-08
1956,5.232684952005684e-09
1957,6.184526224473075e-09
1958,1.1581140491045971e-08
1959,1.8601795659378695e-08
1960,1.591791587429725e-08
1961,1.111705483225478e-08
1962,3.170978146727066e-08
1963,1.939815952312074e-08
1964,2.981144575642247e-08
1965,9.849678406226303e-09
1966,9.416426749453422e-09
1967,1.873527466500491e-08
1968,1.6169096284102125e-08
1969,1.544197658631674e-08
1970,1.241655755990223e-08
1971,2.3122789016838396e-08
1972,1.539044092169206e-08
1973,2.205281468548037e-08
