year,divers_DET jeux_NOUN
1800,7.860410988769218e-08
1801,3.095537337571841e-08
1802,8.503792514602537e-08
1803,1.755305234496518e-08
1804,1.2853624364872474e-07
1805,2.2743021244053807e-08
1806,1.152667650217154e-08
1807,7.971474014212276e-08
1808,1.178358477460506e-07
1809,7.68070356205186e-08
1810,1.3338722260058944e-07
1811,1.0279014617253779e-07
1812,1.0668832928217853e-08
1813,1.3803560250380542e-07
1814,5.349351184236184e-08
1815,1.2137506644194218e-07
1816,3.7081662185300956e-08
1817,6.227493543065066e-08
1818,2.8610825708597076e-08
1819,7.03871378959775e-08
1820,6.40789963313182e-08
1821,3.944595405869222e-08
1822,5.1130641054442094e-08
1823,6.324919610278812e-08
1824,7.747424035642325e-08
1825,7.396572243578703e-08
1826,1.0745741008122422e-07
1827,4.33211836958769e-08
1828,8.621963348831585e-08
1829,7.115736233576087e-08
1830,7.097048504434156e-08
1831,4.5214498811674275e-08
1832,5.411987658021644e-08
1833,6.950177322551099e-08
1834,6.440826361142626e-08
1835,1.0361430469174593e-07
1836,6.586334988512021e-08
1837,5.287997240088771e-08
1838,9.72072911054056e-08
1839,3.9851407729329935e-08
1840,4.9046602779156956e-08
1841,3.659712799475301e-08
1842,6.775347705101353e-08
1843,8.860366307317236e-08
1844,5.049476403673481e-08
1845,5.4128212856330293e-08
1846,8.137756668524787e-08
1847,2.8044762956369595e-08
1848,5.953464210506354e-08
1849,3.603148357456121e-08
1850,4.0055077477063605e-08
1851,4.708090317606661e-08
1852,7.487127362537649e-08
1853,6.5094056367343e-08
1854,7.689583370051878e-08
1855,5.094659627502551e-08
1856,4.2970670577346937e-08
1857,4.4421732958710436e-08
1858,8.36818578875409e-08
1859,6.670747132453414e-08
1860,4.3940965616107164e-08
1861,4.998921659948863e-08
1862,4.246907195359917e-08
1863,4.7948361725502764e-08
1864,4.74678079065427e-08
1865,3.43599622643076e-08
1866,2.6274308950746672e-08
1867,5.192508112372707e-08
1868,6.224241455576873e-08
1869,4.102156148100278e-08
1870,4.3578770370089615e-08
1871,2.442870794538976e-08
1872,3.3865100612651133e-08
1873,3.771182865985878e-08
1874,3.7042575229406793e-08
1875,6.122034168498658e-08
