year,trois_DET iles_NOUN
1800,9.432493897065797e-09
1801,1.6668277424969347e-08
1802,1.1189200677108602e-08
1803,1.950339223455444e-09
1804,4.202146608456303e-08
1805,2.842877711017877e-09
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,9.036122294858728e-09
1810,2.3401267590372754e-08
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,0.0
1816,2.3176038865813098e-09
1817,6.227493631882908e-09
1818,5.9605886892910576e-09
1819,0.0
1820,1.1866481131050932e-09
1821,5.9168927535324656e-09
1822,2.0051231786055723e-09
1823,1.9765373782121287e-09
1824,5.894778887238772e-09
1825,1.3208164340028361e-08
1826,1.4973572604048968e-08
1827,7.373818444733615e-09
1828,1.4675681669906737e-08
1829,1.8860987549551567e-08
1830,1.1480519646056564e-08
1831,1.5591206103948707e-09
1832,6.764984572527055e-09
1833,5.3284690437749305e-08
1834,1.5868702352150876e-08
1835,1.0588323107185715e-08
1836,8.064900303139666e-09
1837,1.8090515530033713e-08
1838,1.641162095111781e-08
1839,1.1885508133246958e-08
1840,1.910906610724794e-08
1841,8.988767952189392e-09
1842,7.379091560011375e-09
1843,1.6539350833344457e-08
1844,1.4819115490283252e-08
1845,2.1204865530144446e-08
1846,8.196301859442201e-09
1847,1.4561703842730367e-08
1848,8.849743549088629e-09
1849,1.005529792763582e-08
1850,1.0862393651223101e-08
1851,1.096404567135778e-08
1852,1.3672145415810633e-08
1853,1.3735443005202796e-08
1854,1.0391328797432209e-08
1855,1.539011762474729e-08
1856,9.31894050815174e-09
1857,9.763017949637742e-09
1858,6.8511465389775594e-09
1859,1.1711999148289465e-08
1860,7.781212424395889e-09
1861,9.903523834342565e-09
1862,6.776979477596257e-09
1863,5.993545049154392e-09
1864,4.315255153208852e-09
1865,7.530951029455224e-09
1866,1.897589108068587e-08
1867,1.261730986357179e-08
1868,3.4579119567723637e-09
1869,7.813630742425914e-09
1870,6.880858549607183e-09
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,2.9930022904522957e-09
1874,1.792382742227261e-09
1875,5.7215269744226305e-09
1876,4.836811839936672e-09
1877,5.566334282391949e-09
1878,4.227361960484899e-09
1879,8.553055264037823e-09
1880,8.984984534166074e-09
1881,6.972507682334594e-09
1882,1.3310770263785798e-09
1883,7.583206729222525e-09
1884,9.242375753615306e-09
1885,6.445635580831777e-09
1886,1.548831352060631e-08
1887,7.834709492282599e-09
1888,3.1703073499755874e-09
1889,6.265136576200092e-09
1890,1.1797895382859025e-08
1891,9.561329838980726e-09
1892,5.01480967862733e-09
1893,9.237624942759481e-09
1894,4.411077725308132e-09
1895,3.611168697403855e-09
1896,1.1794058063507862e-08
1897,6.409384800676321e-09
1898,5.092519295146758e-09
1899,5.527578395003729e-09
1900,1.0901211378033793e-08
1901,7.2653604799022276e-09
1902,7.856454264931756e-09
