year,grandes_ADJ oies_NOUN,grandes_ADJ joies_NOUN
1800,3.144164484325529e-09,3.144164395507687e-08
1801,2.3811825844433088e-09,3.5717739876872656e-08
1802,4.475680270843441e-09,2.9091921760482364e-08
1803,0.0,1.5602713787643552e-08
1804,2.4718509461507665e-09,2.4718509905596875e-08
1805,0.0,1.7057265822018053e-08
1806,0.0,9.509508203109363e-08
1807,0.0,8.540865792383556e-09
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,4.969867006821005e-08
1810,0.0,4.212228077449254e-08
1811,0.0,2.0056614147279106e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,2.6972236000233352e-08
1816,0.0,5.5622493277951435e-08
1817,1.556873407970727e-09,2.490997452753163e-08
1818,4.768470951432846e-09,7.033494853203592e-08
1819,0.0,1.9666995143552413e-08
1820,0.0,4.746592452420373e-08
1821,0.0,1.1833785507064931e-08
1822,1.0025615893027862e-09,3.909990198280866e-08
1823,0.0,3.9530746676064155e-08
1824,6.736890156844311e-09,1.0189546628680546e-07
1825,8.805443041381977e-10,1.1887347994843367e-07
1826,0.0,3.8755132436563144e-08
1827,0.0,4.7008093417844066e-08
1828,5.503380862137419e-09,4.3109814384934e-08
1829,0.0,2.914879893012312e-08
1830,3.1310507520032616e-09,1.461157062010443e-08
1831,1.5591206548037917e-08,7.483778574624012e-08
1832,0.0,5.141388470519814e-08
1833,1.2741991461950875e-08,4.749287541017111e-08
1834,1.8669061851994684e-09,1.2694961526449333e-07
1835,2.2689263801112247e-09,8.395027606411531e-08
1836,6.720750067579218e-10,9.812295331812493e-08
1837,6.957890930081589e-10,1.1689256496083544e-07
1838,1.2624323808552163e-09,1.0288823659720947e-07
1839,6.9914751765765e-10,7.480878139176639e-08
1840,0.0,7.643626531717018e-08
1841,0.0,5.714288064950779e-08
1842,1.341653010911159e-09,8.989075439558292e-08
1843,4.7255288571079745e-09,8.033399012674636e-08
1844,5.488561272137815e-10,1.125155080217155e-07
1845,0.0,1.233230335628832e-07
1846,0.0,8.137757134818457e-08
1847,5.3932236454556914e-09,7.5505127483666e-08
1848,0.0,8.608387247477367e-08
1849,0.0,1.2569122986860748e-07
1850,6.788996032014438e-10,1.1201843364005981e-07
1851,6.449438760824933e-10,8.384270699934859e-08
1852,6.510545436100301e-10,9.049658444837405e-08
1853,1.3735443005202796e-08,1.0809196737682214e-07
1854,7.27393034694046e-09,1.0183502041627435e-07
1855,2.1227748447927297e-09,1.3108135021866474e-07
1856,1.0354378465748937e-09,1.0768553693196736e-07
1857,4.881509085841174e-10,1.342415032468125e-07
1858,4.893676019968041e-10,1.2283126693546365e-07
1859,6.619825576592575e-09,1.5480206627671578e-07
1860,2.288591982591015e-09,1.9727661992874346e-07
1861,4.715963730639317e-10,1.565699960792699e-07
1862,4.517986262886353e-10,1.292144133913098e-07
1863,0.0,1.3285691125020094e-07
1864,4.794727948009836e-10,1.1219663065276109e-07
1865,4.706844358715045e-10,1.619154517129573e-07
1866,9.731225825149181e-10,1.7954111797280348e-07
1867,2.91168689159349e-09,1.4606962395191658e-07
1868,2.4699371437009177e-09,1.5758197946524888e-07
1869,1.953407657850903e-09,1.3918030106196966e-07
1870,2.2936195165357276e-09,9.575861525945584e-08
1871,1.0621177271019633e-09,6.266494523288202e-08
1872,6.047339295989218e-10,1.015952975080836e-07
1873,5.986004469882289e-10,1.2989629283310933e-07
1874,2.3898436563030145e-09,1.2247949143784354e-07
1875,1.716458086775674e-09,1.1271408340007838e-07
1876,1.209202959984168e-09,1.305939179019333e-07
1877,0.0,1.4163228456709476e-07
1878,0.0,8.817069385713694e-08
1879,1.832797580370027e-09,1.1118972054191545e-07
1880,6.417846254436199e-10,1.3413298916020722e-07
1881,4.183504653809678e-09,1.0807386985334233e-07
1882,2.6621540527571597e-09,1.024929332515967e-07
1883,6.319338941018771e-10,1.238590385810312e-07
1884,1.3203393933736152e-09,1.4457715735716192e-07
1885,3.86738152613475e-09,1.2955727868302347e-07
1886,0.0,1.516563941095228e-07
1887,1.9586774424595887e-09,1.279669277209905e-07
1888,8.242799331981132e-09,2.0416779022980336e-07
1889,3.759081934617825e-09,1.1026640578393199e-07
1890,0.0,1.514063256990994e-07
1891,1.0198752065093686e-08,1.153733819592162e-07
1892,3.1342561879199593e-09,1.542054093306433e-07
1893,0.0,1.6874061259386508e-07
1894,1.8904617871129403e-09,1.3044186175648065e-07
1895,1.8055843487019274e-09,2.2208686800695432e-07
1896,2.358811590497112e-09,1.8929462441974465e-07
1897,0.0,1.6780934686266846e-07
1898,1.13167097914868e-09,1.5786810081408476e-07
1899,4.9748205555033564e-09,1.8351559560869646e-07
1900,1.038210628578895e-09,1.8480149321931094e-07
1901,1.676621730339889e-09,1.88340507634166e-07
1902,1.4730852093691738e-09,1.7087788251046732e-07
1903,5.400220270956879e-09,1.6902689026210282e-07
1904,1.0749250378694342e-09,1.8649949140581157e-07
1905,5.160759042333041e-10,1.6307998862430395e-07
1906,4.115347618238729e-09,1.6152739590324927e-07
1907,2.057137349353866e-09,1.517138770168458e-07
1908,2.4556945366072114e-09,1.6649609335672721e-07
1909,0.0,2.2389002651834744e-07
1910,1.6032452032632705e-09,2.1002512085033231e-07
1911,1.0640748282497725e-09,2.442051822981739e-07
1912,2.0837684910901544e-09,2.4953126853688445e-07
1913,1.060597942803554e-09,2.0204390693834284e-07
1914,3.3483718020477227e-09,2.0625971330900938e-07
1915,2.3561523843085297e-09,2.1558794571774342e-07
1916,3.2962386153911893e-09,1.7579938571543607e-07
1917,2.1932848870420685e-09,2.588076029041986e-07
1918,0.0,1.8837657478343317e-07
1919,9.207848372660976e-10,1.906024635900394e-07
1920,7.572231730534895e-10,1.5144463816341158e-07
1921,3.0290989716519334e-09,1.961341524747695e-07
1922,1.4755870969551665e-09,2.6339230885241705e-07
1923,0.0,1.7410154384833731e-07
1924,1.289162443462999e-09,2.2431426316416037e-07
1925,0.0,2.3866044784881524e-07
1926,1.1146138456652466e-09,2.1066202293695824e-07
1927,1.0034302722061739e-08,2.5197249442499015e-07
1928,6.8556245125250825e-09,2.2509301800255344e-07
1929,0.0,2.484310641648335e-07
1930,1.0503603542488804e-09,2.247771107022345e-07
1931,1.1405356659111021e-09,1.927505337562252e-07
1932,1.0959536611565568e-09,1.7425662690584431e-07
1933,2.2941324395731044e-09,1.6403046743107552e-07
1934,0.0,2.3004633931122953e-07
1935,0.0,2.034608286294315e-07
1936,1.2124714565686645e-09,2.267321690396784e-07
1937,1.2591118148108649e-09,1.8131210310912138e-07
1938,0.0,1.9707125886725407e-07
