year,aux_ADP iles_NOUN,aux_ADP gilles_NOUN
1800,4.496155243671751e-07,0.0
1801,7.000676796042882e-07,0.0
1802,5.326059522303694e-07,0.0
1803,3.4521004543819345e-07,1.950339223455444e-09
1804,4.301020488650664e-07,0.0
1805,1.9900143732876074e-07,0.0
1806,2.766402280585112e-07,0.0
1807,3.4448157260058565e-07,0.0
1808,3.965629673530202e-07,1.1330369531492579e-08
1809,4.111435498721505e-07,0.0
1810,4.610049728626109e-07,0.0
1811,3.6352613763668273e-07,0.0
1812,2.987273219900999e-07,0.0
1813,3.5946771603789784e-07,0.0
1814,5.034683385751748e-07,0.0
1815,4.2616133177908466e-07,0.0
1816,4.4497993201275676e-07,0.0
1817,3.580808964898097e-07,4.670620334934483e-09
1818,3.0875849166278613e-07,1.1921177378582115e-09
1819,2.69127307106487e-07,1.035105001712111e-09
1820,3.809140345367723e-07,3.5599443393152796e-09
1821,2.682324885538989e-07,1.1833785507064931e-08
1822,4.3009892181089526e-07,1.0025615893027862e-09
1823,4.802986026675171e-07,5.929612356680991e-09
1824,3.326339594877936e-07,2.5263338088166165e-09
1825,4.693300967861802e-07,2.641632912414593e-09
1826,4.835583506945795e-07,0.0
1827,5.134020985009258e-07,1.8434546111834038e-09
1828,4.815458063411882e-07,3.668920500743411e-09
1829,4.415185808070987e-07,8.57317605795771e-10
1830,5.228854744743217e-07,1.0436835840010872e-09
1831,2.0580392656732727e-07,4.677361609140007e-09
1832,3.6260318314607076e-07,1.7588959622116818e-08
1833,8.386547283301127e-07,0.0
1834,4.816617957814628e-07,0.0
1835,4.6815515020171006e-07,7.563087933704082e-10
1836,4.583551405090702e-07,6.720750067579218e-10
1837,5.621975959213543e-07,7.653679912067446e-09
1838,4.33014290424083e-07,6.312161904276081e-10
1839,5.383435839334538e-07,1.3982950353153e-09
1840,4.649872768491825e-07,1.2739377330817092e-09
1841,4.500804391405211e-07,6.420548537278137e-10
1842,5.004365610794537e-07,9.391571076378114e-09
1843,4.5187870800766916e-07,3.5441467538532834e-09
1844,5.340370253792415e-07,1.6465684371524958e-09
1845,4.374898772141478e-07,0.0
1846,4.437712106675207e-07,4.0981511517657054e-09
1847,5.301538710256182e-07,5.393223645455691e-10
1848,4.167424765277872e-07,0.0
1849,3.9718425659529544e-07,0.0
