year,anciens_ADJ jeux_NOUN
1800,1.2576657937302116e-08
1801,2.3811825400343878e-08
1802,4.2518962573012686e-08
1803,4.4857802805609026e-08
1804,3.954961580454608e-08
1805,0.0
1806,0.0
1807,1.281129762276123e-07
1808,6.798221985349073e-09
1809,2.2590304959990704e-08
1810,7.020380055067221e-08
1811,1.0028307073639553e-08
1812,1.3336041604361526e-08
1813,5.7514832008109806e-08
1814,9.440031423224582e-09
1815,1.2946673066949188e-07
1816,1.8540831092650478e-08
1817,2.6466847935502358e-08
1818,0.0
1819,8.79839276990424e-08
1820,3.678609061807947e-08
1821,2.465372084259343e-08
1822,2.7069162911175226e-08
1823,7.609668983832307e-08
1824,3.621078548121659e-08
1825,4.6668846565012245e-08
1826,2.290075862276808e-08
1827,2.0278000334439383e-08
1828,2.2013522837927013e-08
1829,2.4004893739437705e-08
1830,5.5315228397745386e-08
1831,4.365537620287796e-08
1832,6.223786208625626e-08
1833,2.7800709290204395e-08
1834,3.827157613045529e-08
1835,2.4201881387853064e-08
1836,2.755507466645213e-08
1837,1.2524203896191466e-08
1838,1.1361891227856802e-07
1839,3.8453112694014635e-08
1840,3.439631934831766e-08
1841,4.6227949912491795e-08
1842,2.884553929050071e-08
1843,3.307870244384503e-08
1844,1.9209963619815085e-08
1845,1.7856729261911397e-08
1846,3.629790712444958e-08
1847,1.7258315665458213e-08
1848,3.298540907081815e-08
1849,3.9383248662261394e-08
1850,2.1045888587423178e-08
1851,1.99932606026465e-08
1852,3.385483537954315e-08
1853,2.6873692604567623e-08
1854,1.558699302961486e-08
1855,2.7596072982305486e-08
1856,2.174419400091665e-08
1857,2.391939490919981e-08
1858,5.1383599486420906e-08
1859,2.800695320104296e-08
1860,3.158256944857385e-08
1861,1.2733101906192701e-08
1862,4.1113676130244414e-08
1863,3.096664968893492e-08
1864,1.6302074690166535e-08
1865,2.0710114512212385e-08
1866,1.556996132023869e-08
1867,2.7661025470138156e-08
1868,3.507310708528166e-08
1869,6.006728570095987e-08
1870,1.3761717099214366e-08
1871,2.124235387590545e-08
1872,3.265563108811875e-08
1873,1.97538145840781e-08
1874,2.3898437007119355e-08
1875,1.830888685105947e-08
1876,1.874264654588842e-08
1877,4.638611983409646e-08
1878,2.2344628314296955e-08
1879,1.221865097988939e-08
1880,2.5029599726167362e-08
1881,2.370652651961791e-08
1882,1.7969540522244642e-08
1883,1.8958016489989404e-08
1884,2.0465259709112615e-08
1885,3.158361577826341e-08
1886,1.936039240035825e-08
1887,1.697520390919749e-08
1888,3.233713385952797e-08
1889,1.7542383545787743e-08
1890,2.4906668727453507e-08
1891,2.7409146952095398e-08
1892,2.7581455119829457e-08
1893,3.4487132261062925e-08
1894,2.70966185045296e-08
1895,2.4676319876348884e-08
1896,1.887049333459956e-08
1897,1.806281169081103e-08
1898,2.3199254295391825e-08
1899,1.2160672469008205e-08
1900,5.191053276121238e-08
1901,5.812288339512861e-08
1902,7.85645443146521e-09
1903,1.4580594509538969e-08
1904,3.7622377213608615e-08
1905,2.3223415912543288e-08
1906,2.0576737425059832e-08
1907,2.5199931696917588e-08
1908,1.7681000885616527e-08
1909,8.251475669407426e-09
1910,1.1222716089775986e-08
1911,2.3941684190731394e-08
1912,1.7712032174266312e-08
1913,1.8560464054573345e-08
1914,2.276892807628883e-08
1915,1.295883844676382e-08
1916,1.0987461607214755e-08
1917,1.4256351876795748e-08
1918,1.2635013924011673e-08
1919,2.7623545006960626e-08
1920,1.8930579326337238e-08
1921,1.741731875393171e-08
1922,2.87739485571592e-08
1923,4.458698343867695e-08
1924,3.480738630656788e-08
1925,1.6497267552040284e-08
1926,3.343841470382358e-08
1927,2.1183527820767267e-08
1928,2.0566874425753667e-08
1929,2.2280812972397257e-08
1930,8.402882833991043e-09
1931,9.124285327288817e-09
1932,2.6302887534690456e-08
1933,1.9500126180460597e-08
1934,3.235026646564165e-08
1935,1.6755597798123745e-08
1936,2.3036958562983045e-08
1937,1.7627565185307503e-08
1938,6.4826072287971215e-09
1939,2.5999884911698246e-08
1940,1.5214697057785997e-08
1941,5.312704587367989e-08
1942,1.517105907566929e-08
1943,2.032264689866281e-08
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,1.2528993842408909e-08
1947,2.1457568166738383e-08
1948,2.71797189199674e-08
1949,1.3743811422273211e-08
1950,1.2762433776458693e-08
1951,1.3859822178829972e-08
1952,8.435843024123812e-09
1953,8.619061908632375e-09
1954,1.3681550559141442e-08
1955,2.5341141629553476e-08
1956,1.8314396443841474e-08
1957,8.835037590415595e-09
1958,1.8198935691771112e-08
1959,1.7826720211111535e-08
1960,2.4914999396941084e-08
1961,2.501337403870707e-08
1962,1.52206956482992e-08
1963,1.9398159301076134e-08
1964,2.0685492374550307e-08
1965,3.392666764190366e-08
1966,2.7695374105185522e-08
1967,1.8242241217603095e-08
1968,2.2906221641694202e-08
1969,1.9075382357014448e-08
1970,2.2533752641606952e-08
1971,3.288574423887525e-08
1972,2.2572646307672528e-08
1973,1.2680368366435602e-08
1974,1.856438669456395e-08
1975,1.8276736568623164e-08
