year,autres_ADJ iles_NOUN
1800,7.54599476238127e-08
1801,9.048493798680113e-08
1802,5.147032311469957e-08
1803,1.1702035251914822e-07
1804,1.1617699291477379e-07
1805,3.4114532976303735e-08
1806,3.45800286183362e-08
1807,6.832692100999793e-08
1808,9.51751069067086e-08
1809,6.325285539787728e-08
1810,3.978215445954447e-08
1811,1.42903374467096e-07
1812,7.201462359773814e-08
1813,5.176334849643638e-08
1814,1.8880063290538374e-08
1815,1.8880565111345504e-08
1816,2.5493642752394408e-08
1817,7.78436682891126e-08
1818,3.9339885127276375e-08
1819,2.587762526484738e-08
1820,3.44127952800477e-08
1821,4.7335143804616564e-08
1822,4.3110148340019805e-08
1823,4.941343512143703e-08
1824,5.052667439997549e-08
1825,3.25801385869795e-08
1826,6.077509029367434e-08
1827,9.770309250534126e-08
1828,6.420610765278667e-08
1829,1.0459274896179593e-07
1830,4.905312778191728e-08
1831,4.5214498811674275e-08
1832,8.929779504729396e-08
1833,2.4904800355329826e-07
1834,7.280933922437782e-08
1835,8.848812882433776e-08
1836,7.056787687531596e-08
1837,1.0019362850499647e-07
1838,9.846972859328673e-08
1839,1.090670168624186e-07
1840,8.344292251605268e-08
1841,9.374000908835001e-08
1842,7.043678396101427e-08
1843,9.923610377882142e-08
1844,7.629100068351491e-08
1845,6.082448272826113e-08
1846,9.367201991850038e-08
1847,8.952751251456448e-08
1848,6.275273001232762e-08
1849,9.720121418865801e-08
1850,9.640374543096186e-08
1851,7.029888338117019e-08
1852,7.096494414327026e-08
1853,8.300984966069791e-08
1854,6.546537323348645e-08
1855,8.915654348129465e-08
1856,6.83388988731437e-08
1857,5.320844853606843e-08
1858,4.159624533706108e-08
1859,4.2265037469846334e-08
1860,3.570203510605552e-08
1861,4.621644400515379e-08
1862,3.659569014491382e-08
1863,5.19440564450413e-08
1864,3.931676972879217e-08
1865,2.6829012678142306e-08
1866,4.184427054854112e-08
1867,3.494024269912188e-08
1868,2.5687345028835296e-08
1869,2.441759672233701e-08
1870,2.2362791174401764e-08
1871,1.911811953192455e-08
