year,vrais_ADJ gens_NOUN
1800,5.0306631749208464e-08
1801,2.3811825400343878e-08
1802,8.951360541686881e-09
1803,3.510610468993036e-08
1804,7.4155526164076946e-09
1805,1.1371510844071508e-08
1806,2.881669125542885e-08
1807,1.1387820464392462e-08
1808,3.3991110370834576e-08
1809,1.581321384946932e-08
1810,3.2761775514700275e-08
1811,3.760615285841595e-08
1812,1.8670457180292033e-08
1813,3.4508900625951355e-08
1814,0.0
1815,8.091670444798638e-09
1816,3.9399267848239106e-08
1817,4.981994905506326e-08
1818,7.391130196765516e-08
1819,1.9666995143552413e-08
1820,3.678609061807947e-08
1821,1.0946251904897508e-07
1822,3.709477880420309e-08
1823,1.680056804787e-08
1824,1.6842225392110777e-08
1825,3.874394849390228e-08
1826,1.4092774947016551e-08
1827,1.3825909306319772e-08
1828,1.9261833017480967e-08
1829,6.858540846366168e-09
1830,2.1917355041978226e-08
1831,2.8064171431196883e-08
1832,3.92369123858316e-08
1833,1.3900354645102198e-08
1834,2.42697808516823e-08
1835,1.3613558280667348e-08
1836,2.9571300075303952e-08
1837,2.365682938432201e-08
1838,1.2624323808552163e-08
1839,1.11863602825224e-08
1840,1.2102408852854296e-08
1841,1.0272877659645019e-08
1842,1.542900918138912e-08
1843,1.594865928211675e-08
1844,8.781698035420504e-09
1845,1.0602432709561072e-08
1846,1.8148954339380907e-08
1847,2.2112217834546755e-08
1848,1.206783295515379e-08
1849,5.02764896381791e-09
1850,8.146795238417326e-09
1851,1.483370937194195e-08
1852,7.812654523320361e-09
1853,1.851298847554972e-08
1854,1.0391328686409906e-08
1855,1.5920811335945473e-08
1856,1.0872097000458325e-08
1857,7.322263684272912e-09
1858,1.1255455234504552e-08
1859,3.055304009791371e-09
1860,1.5562426014525954e-08
1861,7.073945429425521e-09
1862,6.325180823552046e-09
1863,1.39849385405455e-08
1864,1.342523781033833e-08
1865,4.706844247692743e-09
1866,1.8489329178805747e-08
1867,1.552899675516528e-08
1868,3.457911734727759e-09
1869,2.0022428159904848e-08
1870,1.834895613228582e-08
1871,1.6993883633631413e-08
1872,8.4662747923403e-09
1873,1.6760813181804224e-08
1874,1.1351757756017378e-08
1875,1.4875970677508121e-08
1876,1.0882827083946722e-08
1877,3.64904160221613e-08
1878,2.8987624745013818e-08
1879,2.1382637882538802e-08
1880,1.4761046607247863e-08
1881,4.392679642251096e-08
1882,8.652000893505374e-09
1883,1.3270612164717477e-08
1884,1.7164412113856997e-08
1885,1.2891271161663553e-08
1886,1.2261581083805595e-08
1887,7.834709769838355e-09
1888,1.3315291091942072e-08
1889,1.628935564212952e-08
1890,1.7696843102044113e-08
1891,1.211101796627645e-08
1892,6.8953633913793055e-09
1893,1.1700991287000306e-08
1894,9.452309157609307e-09
1895,1.0833506536300774e-08
1896,1.0614652268259306e-08
1897,5.2440420894583895e-09
1898,6.7900258748920805e-09
1899,2.7637891975018647e-09
1900,1.9206897405865675e-08
1901,1.4530721514915967e-08
1902,1.9641135384773634e-09
1903,6.480264325148255e-09
1904,2.1498500757388683e-09
1905,7.2250627702885595e-09
1906,8.230695236477459e-09
1907,7.71426478252124e-09
1908,4.911389073214423e-09
1909,4.400786846048277e-09
1910,1.2291546447329438e-08
1911,9.044636151145369e-09
1912,1.510732161591477e-08
1913,2.0151361468379037e-08
1914,6.696743715117748e-10
1915,1.1780762143587253e-08
1916,1.2086208478478966e-08
1917,7.676496771580332e-09
1918,1.1486376294556067e-09
1919,4.603924352863942e-09
1920,2.2716695191604686e-09
1921,2.2718242842501013e-09
1922,8.115729421831475e-09
1923,2.653987074552333e-08
1924,6.445812328337297e-09
1925,3.299453377181294e-09
1926,1.2260752413340015e-08
1927,8.919379901328739e-09
1928,3.4278122562625413e-09
1929,3.342121912552898e-09
1930,3.1510811737689437e-09
1931,2.2810713318222042e-09
1932,4.383814644626227e-09
1933,9.176529758292418e-09
1934,7.188948103475923e-09
1935,8.377798899061872e-09
1936,9.699771652549316e-09
1937,7.554670666820584e-09
1938,1.1668692678767911e-08
1939,6.117620188206274e-09
1940,1.5214697057785997e-08
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,0.0
1945,1.089252066321933e-08
1946,6.960552134671616e-09
1947,7.152522574216391e-09
1948,1.0871887834440486e-09
1949,6.8719057111366055e-09
1950,1.4889506516624351e-08
1951,1.3859822622919182e-08
1952,4.2179215675730575e-09
1953,2.1547654771580937e-09
1954,1.3681550115052232e-08
1955,4.6928039232341234e-09
1956,8.72114114258693e-09
1957,8.835037701437898e-10
1958,4.9633461784992505e-09
1959,8.525822714489095e-09
1960,8.997083078554624e-09
1961,1.945484662257968e-08
1962,5.7077609305622445e-09
1963,7.759263453976928e-09
1964,4.867174663303331e-09
1965,1.0396882466068291e-08
1966,4.985167390003653e-09
1967,1.232583901611406e-08
1968,1.527081394669949e-08
1969,4.087581828571274e-09
1970,8.7375777724219e-09
1971,7.707596338946132e-09
1972,4.6171320100540925e-09
1973,4.410563025913916e-09
1974,1.9689501584707614e-08
1975,5.711480177694739e-09
1976,6.8562320265641574e-09
1977,8.815172591880582e-09
1978,7.128709622605811e-09
1979,8.192762912528906e-09
1980,1.1370301145063877e-08
1981,6.325549417596221e-09
1982,1.0552754226011984e-08
1983,5.68378455412244e-09
1984,1.4497521405587577e-08
1985,7.218669662023558e-09
1986,1.558566253834215e-08
1987,8.555143260480236e-09
1988,1.679035044332977e-08
1989,6.036934507847036e-09
1990,9.80757164370516e-09
1991,4.10302547493302e-09
1992,5.509944056569793e-09
1993,8.862731881720265e-09
1994,7.912389854425328e-09
1995,9.760411145975922e-09
1996,1.5480466686312866e-08
1997,1.5823152565985765e-08
1998,2.193339376788117e-08
1999,2.7421206638678086e-08
2000,2.3415566374751506e-08
2001,3.1544725942467267e-08
2002,3.8992872930521116e-08
2003,3.4585461605729506e-08
2004,4.096455796798182e-08
2005,3.783149793434859e-08
2006,4.076710879985512e-08
2007,4.47381687251891e-08
2008,4.725757918322415e-08
2009,4.6251468432956244e-08
2010,6.755023918003644e-08
2011,6.577231914661752e-08
2012,7.897866538542075e-08
2013,7.056486595047318e-08
2014,5.954974113819844e-08
2015,6.339405445032753e-08
2016,5.779038758646493e-08
2017,6.465121060728052e-08
2018,6.453667111827599e-08
2019,6.275429598190385e-08
