year,ses_DET oies_NOUN,ses_DET joies_NOUN
1987,1.2221633483022742e-08,3.434279052250133e-07
1988,1.5591039570495013e-08,4.1795979566217056e-07
1989,1.8659615408367358e-08,3.39714750552389e-07
1990,1.471135746555774e-08,3.3672661969852413e-07
1991,1.4653663171770859e-08,3.44654146999801e-07
1992,2.5345743781546304e-08,3.509834503034881e-07
1993,1.0524494165053966e-08,4.071317407650099e-07
1994,2.479215582829042e-08,3.718823218257228e-07
1995,2.1689803730851054e-08,3.5029031675293254e-07
1996,2.028475121207407e-08,3.693959662598445e-07
1997,1.1507746866534774e-08,3.4379393731853725e-07
1998,1.6211639697338853e-08,3.8860251905248333e-07
1999,1.7366764665238676e-08,3.5967483658083665e-07
2000,1.1928684817696933e-08,3.6978923922958984e-07
2001,1.401987734239718e-08,3.5268755826933784e-07
2002,1.9715496790695397e-08,3.9518618821787754e-07
2003,1.5417615628621206e-08,4.075250519264273e-07
2004,1.673820673731008e-08,3.748477244158721e-07
2005,2.7022498017004182e-08,3.517428375232612e-07
2006,1.4412614379732958e-08,4.167304545887873e-07
2007,1.477957436990529e-08,3.8586671857743227e-07
2008,1.830699147831183e-08,3.844468121627642e-07
2009,2.0026408975581944e-08,3.805017634306296e-07
2010,2.8815136610127468e-08,4.208899553326262e-07
2011,2.7532598423363197e-08,4.6078862148135613e-07
2012,4.765953676155732e-08,4.575315770694033e-07
2013,4.0442312609911824e-08,5.073418689605091e-07
2014,5.543539623176219e-08,5.632323132331862e-07
2015,4.189327339199078e-08,6.073416800589371e-07
2016,4.0391132216655024e-08,6.518507014163788e-07
2017,2.3646747338013085e-08,4.548225156497665e-07
2018,5.3436360447634e-08,5.137118570530674e-07
2019,3.4693431849586176e-08,5.288197462149924e-07
