year,leurs_DET ans_NOUN,leurs_DET gens_NOUN
1800,3.458580977167003e-08,5.816704473637913e-07
1801,2.6193008650921e-08,1.595392355113745e-06
1802,2.2378401354217203e-08,1.2531905326795822e-06
1803,4.290746247193056e-08,8.932553452467573e-07
1804,2.2246657849223084e-08,5.240324210120662e-07
1805,3.980028751016107e-08,5.088750851811596e-07
1806,4.610670600868616e-08,7.982223557689849e-07
1807,5.693910054560547e-08,7.06044886555901e-07
1808,6.798221763304468e-08,6.707579243148132e-07
1809,3.162642681076022e-08,7.545161953004254e-07
1810,1.6380887757350138e-08,9.266902152305079e-07
1811,3.5099073869560016e-08,1.2059038994038929e-06
1812,2.6672083208723052e-08,7.868264422228322e-07
1813,2.300593315851529e-08,5.320122320462417e-07
1814,3.776012391654149e-08,1.01952343012357e-06
1815,3.506390555685357e-08,3.964918731114153e-07
1816,9.502176112619054e-08,5.909890088418024e-07
1817,1.71256075987003e-08,8.625078820045928e-07
1818,3.695565098382758e-08,1.2099994795011781e-06
1819,4.968504185853817e-08,1.9666995467737536e-06
1820,4.746592452420373e-08,3.2027633309894554e-06
1821,4.043210211079895e-08,2.2750452730591064e-06
1822,3.208197085768916e-08,3.124984402802511e-06
1823,6.621399961659336e-08,2.9727122798917094e-06
1824,7.494790565942822e-08,8.559219129011808e-06
1825,1.6730341556581152e-08,4.182585308321052e-06
1826,2.290075862276808e-08,1.036699719136891e-05
1827,3.3182182335167454e-08,2.3504045607580792e-06
1828,6.604057034564903e-08,1.5822220014172217e-06
1829,2.2290258194779256e-08,8.478870860972876e-07
1830,2.1917355041978226e-08,1.478899598339467e-06
1831,3.1182413096075834e-08,8.871396097731576e-07
1832,1.2176972319366541e-08,6.927344440299521e-07
1833,3.4750886612755494e-08,8.328628844367358e-07
1834,4.293884248163238e-08,1.1574818632453798e-06
1835,1.3613558280667348e-08,4.270119312366205e-06
1836,3.6964125260663394e-08,5.30468807191653e-06
1837,2.6439985201243132e-08,3.2437687345066024e-06
1838,2.335499815764308e-08,5.115376129793958e-06
1839,1.747868827450816e-08,1.991871219075847e-06
1840,1.9746034474188434e-08,2.6395990566641103e-06
1841,3.146068650039524e-08,1.2410920575689488e-06
1842,2.951636579595629e-08,1.8816683642342014e-06
1843,1.0041748876865597e-08,1.2162330218501438e-06
1844,2.0856533611279815e-08,1.27389506321407e-06
1845,1.1718478298838875e-08,9.888163647886472e-07
1846,2.5759806732139623e-08,1.317262830369259e-06
1847,8.089835468183537e-09,1.2932949911004243e-06
1848,2.494018680465615e-08,1.1762113576452293e-06
1849,3.603148401865042e-08,8.354276577193787e-07
1850,1.2220192857625989e-08,1.5302397589067596e-06
1851,1.1608989769484879e-08,1.1086585613995226e-06
1852,3.7761164861649377e-08,1.291692227844976e-06
1853,1.7318602996141408e-08,1.6906538995442588e-06
1854,2.701745477340367e-08,1.9395415300493823e-06
1855,2.4411910715116392e-08,9.510031553361387e-07
1856,1.9673318418789165e-08,9.872899926488543e-07
1857,4.3445430475408386e-08,1.8476512053666738e-06
1858,3.523446845399292e-08,1.6687435739903833e-06
1859,2.698851964133553e-08,1.3682669326442465e-06
1860,2.1055045262841077e-08,1.383225033846358e-06
1861,2.5937799741360124e-08,1.4732670372552548e-06
1862,2.078273733663316e-08,1.2248261036518215e-06
1863,2.0477945228414285e-08,1.580298064851604e-06
1864,2.8288894005079612e-08,1.3070428508399345e-06
1865,1.5532586550293104e-08,8.156961195382451e-07
1866,3.795178094012641e-08,1.1156850519000727e-06
1867,2.232293283555009e-08,1.7038221145071475e-06
1868,2.5193357400254968e-08,1.9221049853967997e-06
1869,1.4162205408396744e-08,2.2937888664031902e-06
1870,2.5229814681893004e-08,1.3532355698231413e-06
1871,1.805600113868877e-08,1.2575474102050066e-06
1872,1.7537283514279522e-08,1.3975401476074012e-06
1873,1.7359413795325906e-08,1.0673045931497427e-06
1874,1.911874852877915e-08,1.2970876728246594e-06
1875,1.0870901512305409e-08,1.209530879009435e-06
1876,2.5997864083748823e-08,1.5550349523607565e-06
1877,1.9172929910382663e-08,8.467012975188482e-07
1878,4.589707236490881e-08,1.2259349837506761e-06
1879,2.260450293611882e-08,1.4112541775190834e-06
1880,3.2731015897624616e-08,8.157082438398078e-07
1881,2.161477419271307e-08,1.2710881645006111e-06
1882,1.6638463051776853e-08,8.931526700450831e-07
1883,1.7694149478941767e-08,7.229323601976034e-07
1884,2.442627877741188e-08,7.889027964225193e-07
1885,1.5469525438405185e-08,8.527576023098504e-07
1886,2.5168509276696227e-08,1.1571061069304278e-06
1887,2.4157020495074732e-08,7.083883386549417e-07
1888,7.60873763994141e-09,1.406982386598088e-06
