year,ses_DET ans_NOUN,ses_DET gens_NOUN
1800,3.0812812790159683e-07,4.53702941172196e-06
1801,1.9049460320275102e-07,8.58654409086057e-06
1802,1.991677720525331e-07,7.011153343228216e-06
1803,2.86699872731333e-07,4.791983528207311e-06
1804,3.534746895184071e-07,5.4084099474494e-06
1805,2.3595885068061762e-07,4.440575011699366e-06
1806,2.651135684317296e-07,5.76045652422863e-06
1807,1.6512339584551228e-07,4.928079221144799e-06
1808,2.3793776904312836e-07,5.3456686401887055e-06
1809,1.4683698168482806e-07,5.315498995628332e-06
1810,1.9189039335287816e-07,9.058630411118429e-06
1811,1.1281845502253418e-07,8.935221742945032e-06
1812,1.3869482984318893e-07,5.315746079759265e-06
1813,3.0770434955584847e-07,5.693968311959452e-06
1814,3.1152103474596515e-07,4.452548168387693e-06
1815,1.9959454156115441e-07,3.0154958921002617e-06
1816,1.7382029149359823e-07,5.518215047572994e-06
1817,2.0550728674351149e-07,4.124157683804697e-06
1818,1.5855166157763279e-07,8.745375794205756e-06
1819,2.5463583597229444e-07,1.3737913334921359e-05
1820,2.2190319004522507e-07,1.50680574222406e-05
1821,2.0610510154117634e-07,7.187052858625975e-06
1822,2.0452256421776838e-07,9.154389474019808e-06
1823,3.508353771941586e-07,1.1504435363463017e-05
1824,3.309497262904415e-07,2.915473362463672e-05
1825,2.985045226555627e-07,2.0136287872674075e-05
1826,1.7704049115607745e-07,3.6920426765618686e-05
1827,1.6683263970307394e-07,1.0847808226799316e-05
1828,1.72439257539736e-07,7.885427493192765e-06
1829,1.5431717381719778e-07,6.614205233290704e-06
1830,1.711641122170704e-07,1.0153997294537476e-05
1831,1.1225668572478753e-07,4.781822781296796e-06
1832,1.6371262312464552e-07,5.521580661138614e-06
1833,1.4942881421120546e-07,6.395321491936556e-06
1834,1.3255033382009174e-07,7.860608931764546e-06
1835,1.1495893659230205e-07,1.6659213514458315e-05
1836,1.52561029753695e-07,1.9566790967928682e-05
1837,1.342872963938646e-07,1.4405617037027696e-05
1838,1.5338553316368575e-07,1.8668849151026734e-05
1839,1.2864314835603352e-07,1.1193352094096554e-05
1840,9.363442332599448e-08,1.152849978325321e-05
1841,1.438202890113871e-07,6.861640002853164e-06
1842,1.0531976091243678e-07,1.029114926609509e-05
1843,1.0455232551942473e-07,7.015047614800096e-06
1844,9.056126382134266e-08,6.598348207376148e-06
1845,6.417262066182872e-08,5.821293697749752e-06
1846,8.781751636988133e-08,6.774243416884929e-06
1847,8.898818659730523e-08,5.924995427619706e-06
1848,8.769291981458593e-08,6.124022654319106e-06
1849,1.03066805534624e-07,4.279367075810114e-06
1850,8.622024783022653e-08,6.9947027299122055e-06
1851,8.126293105092941e-08,5.543937760421613e-06
1852,5.3386471465799445e-08,6.109495672035337e-06
1853,8.300985521181303e-08,7.148999799255762e-06
1854,1.080698244226852e-07,7.970148956815137e-06
