year,ses_DET oeufs_NOUN,ses_DET jeux_NOUN
1800,6.854278495893595e-07,1.0407184980465445e-06
1801,8.619880809135338e-07,1.1596359108523302e-06
1802,9.264658160645922e-07,1.0338821141431254e-06
1803,3.2453644394081493e-06,1.074636918119154e-06
1804,7.34139717906146e-07,1.3397431910533442e-06
1805,2.3311597452391197e-07,9.608926703208454e-07
1806,7.780506727783632e-08,1.040282542774662e-06
1807,1.822051274302794e-07,1.0505264800286795e-06
1808,1.7448769229488903e-07,1.323387202489812e-06
1809,1.0165637065462363e-07,9.600879513627092e-07
1810,1.4976810946976116e-07,9.898736368363359e-07
1811,7.521230127593981e-08,1.1532553045867644e-06
1812,5.067695596494559e-08,1.005537479059626e-06
1813,8.339650969801937e-08,9.489947281338118e-07
1814,1.3530711440168375e-07,7.300290860712266e-07
1815,5.39444717784221e-08,7.147642149263334e-07
1816,1.8309069993449612e-07,6.883283383274375e-07
1817,2.2263290322399598e-07,8.360410319596667e-07
1818,3.0041366372302036e-07,7.307681881840722e-07
1819,2.3910925150971707e-07,8.394701724867559e-07
1820,4.9839219862235495e-08,8.2353379315947e-07
1821,5.0293590514449704e-08,7.435562001667506e-07
1822,6.015369535816717e-08,7.07808482047767e-07
1823,7.016707892493201e-08,7.560255497196522e-07
1824,7.831634896149353e-08,8.505323600971337e-07
1825,5.1952114388242876e-08,9.069606097256155e-07
1826,9.7768624973682e-08,8.43804926375924e-07
1827,7.558163755971847e-08,7.807030391049352e-07
1828,6.51233389437067e-08,6.448127951586002e-07
1829,5.3153690893203986e-08,7.381504527614879e-07
1830,7.723258477199124e-08,7.138795483641047e-07
1831,3.741889442743229e-08,6.797765861321636e-07
1832,4.0589908545385356e-08,8.983899641989979e-07
1833,2.89590715851773e-08,1.0923361468684334e-06
1834,4.947301368574131e-08,8.699783053955912e-07
1835,4.0840674842002045e-08,8.213513496002633e-07
1836,6.048675027514605e-08,7.083670641172546e-07
1837,5.635891620059397e-08,7.298827409130126e-07
1838,5.7440673995046154e-08,6.937065863965586e-07
1839,5.663094793106893e-08,6.509063306125995e-07
1840,3.3759350426265655e-08,7.204117729031623e-07
1841,5.521671653241356e-08,6.703052553014288e-07
1842,1.0062397848287219e-07,5.916689760354643e-07
1843,4.961805377678985e-08,7.324569768485389e-07
1844,3.293136835447186e-08,6.739953106738028e-07
1845,4.296775690804111e-08,6.009905524351211e-07
1846,4.332331005052481e-08,4.870945113921721e-07
1847,5.3932236454556914e-08,4.611206341209595e-07
1848,3.700802103656642e-08,5.607519479866596e-07
1849,4.5248841340495005e-08,5.036028418725635e-07
1850,3.530277759011824e-08,6.198353155184577e-07
1851,2.3862922748918436e-08,5.301438914528944e-07
1852,5.0131199635927715e-08,7.063941644958049e-07
1853,6.628844229084052e-08,5.768885897872167e-07
1854,1.922395914677466e-08,5.668469880149019e-07
1855,3.078023524949458e-08,6.681433717403706e-07
1856,2.226191442300518e-08,6.471486306836027e-07
1857,2.8800904106063285e-08,6.99520249725083e-07
1858,1.5659764096565e-08,5.28517017706065e-07
1859,3.920973368209957e-08,7.083213127145882e-07
1860,7.140407021211104e-08,7.07632649366019e-07
1861,2.923897507445261e-08,7.705884703668175e-07
1862,4.292087130153277e-08,6.835713177721914e-07
1863,3.096664924484571e-08,5.888657721442314e-07
1864,1.7740493851725603e-08,6.017383471501603e-07
1865,2.400490611842443e-08,6.062415796037612e-07
1866,3.259960479340407e-08,5.848466813063169e-07
1867,2.426405742994575e-08,6.444533457994339e-07
1868,2.7169306804353255e-08,4.90035521494292e-07
1869,3.076617005604021e-08,5.826038202982886e-07
1870,2.1789385407089412e-08,4.902611716595118e-07
1871,1.911811864374613e-08,4.737044996261375e-07
1872,2.3584624031514068e-08,5.884060954031156e-07
1873,3.1725821969530443e-08,5.010285590856256e-07
1874,3.764003819739514e-08,4.958925510223366e-07
1875,4.1194994082616176e-08,5.698640945794864e-07
1876,2.8416270225761764e-08,5.489781251810655e-07
1877,3.896434142003358e-08,4.558209294458493e-07
1878,9.058633199110488e-08,4.5595119191332856e-07
1879,2.993569458986656e-08,5.516720711362666e-07
1880,3.016387850607316e-08,5.827404270242198e-07
1881,3.2770783919833235e-08,4.5112123103763224e-07
1882,3.926677161203429e-08,5.543935763796526e-07
1883,3.5388296737437486e-08,4.891168394749457e-07
1884,3.6969503014461225e-08,5.439798131945395e-07
1885,1.740321664556177e-08,5.48523621191066e-07
1886,4.646494033977433e-08,4.575505760939791e-07
1887,4.1132223627116105e-08,4.596363003539494e-07
