year,quelles_DET joies_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,3.315576790896557e-08
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,0.0
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,0.0
1810,1.6380887757350138e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,6.203614333344376e-08
1816,1.622322720606917e-08
1817,3.7364962679475866e-08
1818,0.0
1819,1.035105001712111e-09
1820,2.3732962262101864e-09
1821,1.97229765852569e-09
1822,1.2030739071633434e-08
1823,1.680056804787e-08
1824,1.0105335235266466e-08
1825,2.289415235168235e-08
1826,1.8496766784892316e-08
1827,1.013900075008678e-08
1828,2.4765213879618386e-08
1829,4.286587973467704e-09
1830,8.349468672008697e-09
1831,6.236482441579483e-09
1832,1.894195755802741e-08
1833,1.5058717495186613e-08
1834,2.4269779741459274e-08
1835,2.0420337421001022e-08
1836,1.0753200108126748e-08
1837,1.1132625488130543e-08
1838,9.468242634369517e-09
1839,1.188550780018005e-08
1840,2.420481626241866e-08
1841,2.439808532983534e-08
1842,9.391571076378114e-09
1843,1.772073343619951e-08
1844,1.975882035765153e-08
1845,1.6182660989016995e-08
1846,1.3465352832753297e-08
1847,1.294373674909366e-08
1848,8.045221600028185e-09
1849,5.865590679832167e-09
1850,5.431196825611551e-09
1851,1.4833709149897345e-08
1852,1.3021090650155998e-08
1853,1.1943863675867306e-08
1854,2.545875621429161e-08
1855,3.343370380548549e-08
1856,1.5013848608802505e-08
1857,2.880090343992947e-08
1858,2.8872688240255684e-08
1859,3.1571475211933375e-08
1860,2.0597327843319135e-08
1861,1.744906574785432e-08
1862,2.4397126985320483e-08
1863,2.247579278247258e-08
1864,3.835782180772185e-08
1865,3.388928027092675e-08
1866,4.330395597662573e-08
1867,3.445496155052297e-08
1868,2.222943296104063e-08
1869,3.125452252561445e-08
1870,2.752343419842873e-08
1871,1.6993883633631413e-08
1872,2.7213026498884574e-08
1873,6.58460502789282e-09
1874,1.971621016449987e-08
1875,3.432916173551348e-08
1876,2.2370255425840924e-08
1877,3.525345171340177e-08
1878,1.4493812816596119e-08
1879,1.710611030603104e-08
1880,3.27310152314908e-08
1881,2.7192778806472973e-08
1882,1.8635078813389327e-08
1883,1.2006743710379908e-08
1884,1.5844072720483382e-08
1885,2.4493415740067803e-08
1886,1.7424352183326164e-08
1887,2.7421484194434242e-08
1888,3.7409625619488907e-08
1889,2.318100600362527e-08
1890,4.4569828272500445e-08
1891,2.8046567290829216e-08
1892,1.817868566789116e-08
1893,3.017624061740776e-08
1894,1.8904618759307823e-08
1895,3.2500517832545484e-08
1896,4.9535042734305534e-08
1897,4.078699644693984e-08
1898,2.4896760875137147e-08
1899,2.5979618456517528e-08
1900,2.6474372027962545e-08
1901,3.017918936976116e-08
1902,2.6515531992288288e-08
1903,2.430099055317214e-08
1904,2.042357571951925e-08
1905,2.3223416079076742e-08
1906,2.9321852501595913e-08
1907,3.085705913008496e-08
1908,4.66581955294032e-08
1909,4.400786757230435e-08
1910,2.939282950364941e-08
1911,3.458243291731833e-08
1912,2.24005107796188e-08
1913,3.181793850615122e-08
1914,4.888622839871459e-08
1915,1.767114232720246e-08
1916,1.6481193076955947e-08
1917,1.4256351876795748e-08
1918,2.5270027848023346e-08
1919,4.603924130819337e-08
1920,2.6502810612782923e-08
1921,3.862101216611791e-08
1922,3.393850267485732e-08
1923,3.6094223165861195e-08
1924,3.2229061641686485e-08
1925,2.969508061667625e-08
1926,3.1209187234537694e-08
1927,3.2332752475383586e-08
1928,2.3994686237927e-08
1929,2.8965055687280028e-08
1930,3.466189291145838e-08
1931,2.9653927313688655e-08
1932,3.7262422925010696e-08
1933,1.3764794637438627e-08
1934,2.875579241390369e-08
1935,2.6330225111337313e-08
1936,3.152425698260686e-08
1937,2.1404900962807005e-08
1938,3.111651503129309e-08
1939,3.211750598808294e-08
1940,1.5214697501875207e-08
1941,1.7709015587286103e-08
1942,3.944475324146879e-08
1943,4.645176376882887e-08
1944,6.42637232317611e-08
1945,8.714016175304096e-09
1946,2.5057987684817817e-08
1947,3.8146786174309e-08
1948,3.044128549234415e-08
1949,1.9634016190650527e-08
1950,2.552486733087278e-08
1951,2.4521224606388614e-08
1952,2.7416489856157966e-08
1953,1.2928592862948562e-08
1954,1.9545071783255707e-08
1955,1.220129064449793e-08
1956,2.1802853744645745e-08
1957,2.6505113659425206e-08
1958,1.5717262602521487e-08
1959,1.7826720766223048e-08
1960,2.5607083176115708e-08
1961,2.292892498090282e-08
1962,2.0928456301305687e-08
1963,1.1638895180965392e-08
1964,1.764350843203033e-08
1965,1.7510539351839327e-08
1966,1.6617224485315774e-08
1967,1.922830805689557e-08
1968,2.515192853991266e-08
1969,2.3162964879475112e-08
1970,1.471591959401053e-08
1971,1.644287239699338e-08
1972,8.721249722398738e-09
1973,1.2680368366435602e-08
1974,6.188128787165681e-09
1975,1.1994108373158952e-08
1976,1.371246471926213e-08
1977,1.1165885105413054e-08
1978,1.3663359776927564e-08
1979,2.0481907281322265e-08
1980,1.3644361418485573e-08
1981,1.5181319312773667e-08
1982,1.738100596782033e-08
1983,8.209910418166544e-09
1984,1.2177917785294312e-08
1985,1.0828004493035337e-08
