year,ces_DET oies_NOUN,ces_DET joies_NOUN
1800,1.6978488659447066e-07,1.666407158928962e-07
1801,1.2620267497709392e-07,7.619784270218588e-08
1802,8.727576528144709e-08,9.175144555229053e-08
1803,7.411289004721766e-08,7.411289004721766e-08
1804,1.1617699158250616e-07,2.521287880696832e-07
1805,2.2743021688143017e-08,2.842877755426798e-08
1806,2.305335300434308e-08,2.1324352239560085e-07
1807,6.547996900252429e-08,5.97860605466849e-08
1808,1.3823051503436545e-07,4.078933191209444e-08
1809,3.6144488291256494e-08,1.0617443280125372e-07
1810,1.6380887757350138e-08,1.1700633706368535e-07
1811,5.515568934910675e-08,5.0141537144554604e-08
1812,2.6672082320544632e-09,5.3344166417446104e-08
1813,2.8757416448144113e-09,7.764502640839055e-08
1814,0.0,2.2026739099345605e-08
1815,1.8880564667256294e-08,7.012781111370714e-08
1816,1.622322720606917e-08,2.062667476820934e-07
1817,4.203558356952186e-08,9.652615062805125e-08
1818,2.2650237241350624e-07,8.344823965167336e-08
1819,3.1053151161586356e-09,1.1075623440603977e-07
1820,1.1866481131050932e-08,1.1035827185423841e-07
1821,1.9722976807301507e-08,6.311352507282209e-08
1822,4.0102463572111446e-08,1.1930482912703155e-07
1823,1.2847493069401139e-08,1.4132242576181397e-07
1824,4.210556348027694e-09,1.6589591922411273e-07
1825,6.516027784009282e-08,2.2541933897279876e-07
1826,2.906634755106552e-08,1.5942451447870098e-07
1827,1.474763688946723e-08,2.1660591009720065e-07
1828,1.3024667566696735e-07,2.1096292801559002e-07
1829,6.858540846366168e-09,1.5345984716308436e-07
1830,6.992679768558219e-08,1.732514807173402e-07
1831,4.365537531469954e-08,3.3521092834831734e-07
1832,1.3529969367098715e-09,2.624813966178863e-07
1833,8.108540172635514e-09,4.123771759623196e-07
1834,4.387229601832132e-08,3.892499282898143e-07
1835,6.882410019670715e-08,3.7210391212738614e-07
1836,2.9571300075303952e-08,2.9840131077207843e-07
1837,2.435261814426326e-08,2.762282749202427e-07
1838,5.680945602826171e-08,2.815224071639477e-07
1839,5.523265411699896e-08,3.0133257489239895e-07
1840,1.9109066218270243e-08,3.2039534936245673e-07
1841,2.6966304744746594e-08,3.7303387401266264e-07
1842,9.391571076378114e-09,3.8371277177873253e-07
1843,1.063243981747064e-08,3.426008303719641e-07
1844,1.756339607084101e-08,3.847481453433943e-07
1845,2.2320911785556063e-08,4.213072131165063e-07
1846,2.3418005756781213e-08,3.3019388823163354e-07
1847,4.314578827546711e-08,2.3838048868185524e-07
1848,4.1835152453373325e-08,3.1135009148641757e-07
1849,1.256912218750017e-08,3.8545309166693187e-07
1850,2.4440385715251978e-08,3.706791922297725e-07
1851,7.094382636907426e-09,2.960292437848011e-07
1852,3.776116352938175e-08,4.010496041928491e-07
1853,3.5234398509942366e-08,3.6309346285179345e-07
1854,4.78001130344019e-08,4.005857352495923e-07
1855,4.2455496895854594e-08,4.0544998114455666e-07
1856,3.313401081284084e-08,4.1831688513127574e-07
1857,2.3919394687155204e-08,3.817340115119805e-07
1858,1.5170395550878624e-08,4.130262460932954e-07
1859,2.2405563404603868e-08,4.964869102508374e-07
1860,2.1512764458719857e-08,4.819774570563595e-07
1861,1.4147891413962554e-08,4.51317728078493e-07
1862,2.48489247234307e-08,3.926130194287225e-07
1863,1.548332484446746e-08,4.75987370407438e-07
1864,1.7261020501813107e-08,4.646091369409078e-07
1865,1.6473956032658776e-08,3.9914040073085744e-07
1866,2.8707117127879656e-08,4.3303953489726155e-07
1867,2.135237053835226e-08,4.7363439215075687e-07
1868,3.062721931623713e-08,3.4035733520454414e-07
1869,2.5882651910613674e-08,4.668644173477787e-07
1870,1.834895568819661e-08,3.5379082241604465e-07
1871,1.0621176826930423e-08,4.4502732876594564e-07
1872,1.5118347462816928e-08,3.634450820300117e-07
1873,2.2148216927142528e-08,3.5137846765564973e-07
1874,2.8080662239915455e-08,3.793876839353061e-07
1875,1.4303817685856757e-08,3.295599526609294e-07
1876,1.8138044621807126e-08,3.1922957166585775e-07
1877,1.1751150386096754e-08,3.51297543943474e-07
1878,1.932508364443919e-08,3.6415704229852963e-07
1879,2.5659166347224982e-08,2.87138277599297e-07
1880,2.695495404658743e-08,3.15116261973003e-07
1881,1.4642266288333872e-08,3.381666129342875e-07
1882,1.7304001120876933e-08,3.181274106367482e-07
1883,2.4013488364449387e-08,3.2355016266194525e-07
1884,3.1027976632458376e-08,2.9377550525566676e-07
1885,1.5469525438405185e-08,2.7329494844963165e-07
1886,2.2587123282846733e-08,3.5494051076057076e-07
1887,3.852065377785152e-08,2.742148232925956e-07
1888,3.360525724360741e-08,3.081538650917537e-07
1889,2.255449160770695e-08,2.474729061674452e-07
1890,1.7696843102044113e-08,2.8314950561991736e-07
1891,4.0157585701194876e-08,2.82377943250367e-07
1892,3.259626435436758e-08,3.033960105369715e-07
1893,2.0322774685332945e-08,2.9067726536879945e-07
1894,1.260307880279754e-08,2.363077307165895e-07
1895,9.629782971032341e-09,2.654208897112653e-07
1896,2.9485144881213898e-08,2.830573997414376e-07
1897,7.57472740087195e-09,2.825955931484714e-07
1898,2.602843285348655e-08,2.840494239819691e-07
1899,1.0502398950507086e-08,2.5426860261745787e-07
1900,1.661137050135153e-08,3.374184558424531e-07
1901,2.235495566438317e-09,2.83907924725213e-07
1902,1.8659078726557254e-08,2.7202972141537884e-07
1903,9.720396265677778e-09,2.1978896214136512e-07
1904,2.2573425795258117e-08,2.33796189519353e-07
1905,9.289366220688322e-09,2.0591429006344697e-07
1906,6.687439879637935e-09,2.9116084654390306e-07
1907,2.571421719999023e-08,2.5765646682884835e-07
1908,1.4243027868232616e-08,3.2660737048217925e-07
1909,1.8153245739949142e-08,3.2620832790541954e-07
1910,1.0688301244066167e-08,3.1744254069820954e-07
1911,1.4897047262429908e-08,2.5590999541691417e-07
1912,2.865181703004538e-08,2.818296920281682e-07
1913,2.1742258216050914e-08,2.7469488017572985e-07
1914,1.339348720819089e-08,2.3974341978316716e-07
1915,1.4136914638918086e-08,1.9909487658509306e-07
1916,1.4283700444650549e-08,2.45020403966123e-07
1917,1.754627876326964e-08,2.2371505359330968e-07
1918,1.378365155346728e-08,1.9411976026617594e-07
1919,1.2890988054792274e-08,3.241162609413095e-07
1920,2.8774480576032602e-08,2.423114082716893e-07
1921,1.5902769490150348e-08,3.036671589740081e-07
1922,2.1396013683006032e-08,2.774103879943368e-07
1923,1.4862327812892318e-08,3.099856833443937e-07
1924,1.8048273875415077e-08,2.5267583758648016e-07
1925,1.319781373076978e-08,3.453427996902292e-07
1926,2.1177663178661987e-08,2.730803831951789e-07
1927,1.6723837870102898e-08,2.6535156028018037e-07
1928,1.3711249469139375e-08,2.959344662656349e-07
1929,1.559656914729146e-08,2.851944103099413e-07
1930,1.6805765667982087e-08,2.4683468957675814e-07
1931,1.4826963656844327e-08,2.0415587798083834e-07
1932,1.4247397928102146e-08,2.323421703920303e-07
1933,2.5235457501437963e-08,2.2367790819544098e-07
1934,3.5944740517379614e-09,2.3244265889843518e-07
1935,1.4361940969820353e-08,2.740737201634147e-07
1936,1.9399543305098632e-08,2.2673215660518053e-07
1937,5.036447148221157e-09,1.8634855525334615e-07
1938,9.075649898271365e-09,2.3337386245714242e-07
1939,1.3764645423464117e-08,1.7741098456980353e-07
1940,1.2678914584896006e-08,1.8511214694427736e-07
1941,2.066051907334554e-08,2.2431419388624363e-07
1942,6.068423541449874e-09,2.1846324216312496e-07
1943,2.3225881884414434e-08,3.33872053559503e-07
1944,0.0,2.795471907290903e-07
1945,1.3071024262956144e-08,2.63598985306146e-07
1946,1.1136883415474585e-08,2.6728521440588793e-07
1947,1.549713202209091e-08,2.8729300183272244e-07
1948,1.087188805648509e-08,2.435302928205374e-07
1949,8.835307596655184e-09,2.1597417898533422e-07
1950,1.0635361258337639e-08,2.1802490657307771e-07
1951,1.4925962243950153e-08,2.1749260259440462e-07
1952,1.2653764258629963e-08,1.7715270672624683e-07
1953,1.0773827607835074e-08,1.9500626891044703e-07
1954,1.563605800392054e-08,1.95450724049806e-07
1955,1.1262729415761896e-08,1.5392396512936557e-07
1956,1.5698054856017052e-08,2.1366797575694818e-07
1957,2.0320586824329467e-08,1.3871008786026096e-07
1958,2.0680608225909225e-08,1.538637279807631e-07
1959,2.712761748568937e-08,1.697413773982248e-07
1960,1.3841666590685975e-08,1.8963083281420268e-07
1961,2.779263619245853e-08,1.6258692170367794e-07
1962,1.331810878246742e-08,1.725012133135806e-07
1963,1.422531736849919e-08,1.8234269738570674e-07
1964,9.734349160073208e-09,1.8312745009296805e-07
1965,1.1491290807796872e-08,1.6361409649334746e-07
1966,8.862519607077957e-09,1.838972867318489e-07
1967,1.3311906243984595e-08,1.513613039350048e-07
1968,1.4372530499073832e-08,1.7606350111165625e-07
1969,1.6804503566447693e-08,1.4488207700225075e-07
1970,1.5175792178467873e-08,1.922267056642113e-07
1971,1.798439097644433e-08,1.5569344835597576e-07
1972,1.3851396252206882e-08,1.5339138581538236e-07
1973,1.2129047988196362e-08,1.1412331879512294e-07
1974,1.5751600079827455e-08,9.394704481024974e-08
1975,8.567220266542108e-09,1.1137386612958267e-07
