year,vos_DET oeufs_NOUN,vos_DET jeux_NOUN
1800,0.0,1.477757365364596e-07
1801,0.0,3.143161126928362e-07
1802,0.0,1.0070280609397742e-07
1803,0.0,2.5744477971656465e-07
1804,1.2359254952798437e-08,2.29882134217263e-07
1805,0.0,1.7910129113118956e-07
1806,0.0,2.5070521569858784e-07
1807,0.0,1.5088861449186197e-07
1808,0.0,2.0621273622012382e-07
1809,0.0,1.6265019553429738e-07
1810,0.0,3.5803939590906e-07
1811,0.0,3.0084921931461395e-07
1812,0.0,1.8137015800334666e-07
1813,0.0,1.0352670187785407e-07
1814,0.0,1.88800635569919e-07
1815,1.0788894222457657e-08,7.821948599939788e-08
1816,0.0,1.4369144629711172e-07
1817,9.341240669868967e-09,1.5568734446080867e-07
1818,0.0,1.2517236758213812e-07
1819,0.0,1.6872212249552376e-07
1820,0.0,1.946102958783058e-07
1821,9.86148829262845e-10,1.5876996650732167e-07
1822,2.0051231786055723e-09,1.814636476638043e-07
1823,0.0,1.937006675056807e-07
1824,0.0,1.7515914230159524e-07
1825,8.805443041381977e-10,1.9548083907139358e-07
1826,0.0,1.1186140036478776e-07
1827,1.8434546111834038e-09,9.585963728353519e-08
1828,9.172301251858528e-10,1.3850174696017348e-07
1829,0.0,1.0373542896902066e-07
1830,0.0,1.6803306235324555e-07
1831,0.0,8.419251540381367e-08
1832,0.0,1.5965363475700656e-07
1833,1.1583628500844156e-09,1.0193593280583002e-07
1834,0.0,1.138812784073906e-07
1835,0.0,1.285724948729694e-07
1836,6.720750067579218e-10,1.0148332724169151e-07
1837,0.0,1.1132625310494859e-07
1838,0.0,8.710783450105453e-08
1839,6.9914751765765e-10,7.341049013120937e-08
1840,0.0,8.790170080708037e-08
1841,1.2841097074556274e-09,1.3162124279375575e-07
1842,6.708265054555795e-10,7.647422206602528e-08
1843,1.7720733769266417e-09,8.742228463365365e-08
1844,1.097712254427563e-09,1.0977122461008904e-07
1845,5.580227946389016e-10,1.0937246930353695e-07
1846,1.1709002656346001e-09,6.674131247663695e-08
1847,1.0786447290911383e-09,5.662884738910634e-08
1848,2.413566457803995e-09,8.688839470138987e-08
1849,0.0,1.0390474858290588e-07
1850,0.0,8.757804881298625e-08
1851,0.0,7.997304085627377e-08
1852,0.0,1.1784087039501401e-07
1853,5.971931837933653e-10,9.734248784809552e-08
1854,0.0,1.2781334435274516e-07
1855,0.0,9.127931832608738e-08
1856,0.0,1.3564236445162692e-07
1857,0.0,1.0104723835446805e-07
1858,0.0,9.64054173713258e-08
1859,0.0,8.300242337888619e-08
1860,0.0,9.70362996066676e-08
1861,4.715963730639317e-10,9.52624678030034e-08
1862,4.517986262886353e-10,6.189641521547884e-08
1863,0.0,7.891500897194703e-08
1864,0.0,9.44561420190837e-08
1865,0.0,9.272483458833136e-08
1866,0.0,7.979604871310997e-08
1867,0.0,6.405711161505678e-08
