year,trois_DET oeufs_NOUN,trois_DET jeux_NOUN
1800,1.0690159513160324e-07,1.8864987794131594e-08
1801,6.429193177837078e-08,2.619300909501021e-08
1802,5.594600338554301e-08,1.0741632650024258e-07
1803,3.70564464446943e-07,5.265915703489554e-08
1804,4.943701981119375e-08,3.9549616470679894e-08
1805,1.1371510844071508e-08,7.107194033295627e-08
1806,1.729001475325731e-08,5.187004603612877e-08
1807,1.1387820464392462e-08,3.131650672116848e-08
1808,1.8128591960930862e-08,5.211970321994386e-08
1809,9.036122072814123e-09,3.6144488291256494e-08
1810,2.8081521108447305e-08,8.658469230482524e-08
1811,5.0141535368197765e-09,1.7549536934780008e-08
1812,2.6672082320544632e-09,4.000812392490616e-08
1813,5.751483289628823e-09,2.0130190847567064e-08
1814,3.1466771410748606e-09,3.4613449440001887e-08
1815,2.697223555614414e-09,2.1577788444915313e-08
1816,1.8540831092650478e-08,2.0858434979231788e-08
1817,4.826307531402563e-08,5.604744368614689e-08
1818,4.768470773797162e-08,1.9073883805731384e-08
1819,8.280840013696888e-09,4.140419918030602e-08
1820,1.6613073583471305e-08,2.0173017922786585e-08
1821,9.86148829262845e-10,1.2819934336327776e-08
1822,4.010246357211145e-09,4.0102463572111446e-08
1823,1.087095569118901e-08,5.731958374610713e-08
1824,1.6842225392110777e-08,1.431589158329416e-08
1825,2.641632912414593e-09,2.905796137042671e-08
1826,2.1139161532346407e-08,3.082794364228647e-08
1827,5.530363722527909e-09,8.295545583791863e-09
1828,1.834460228167245e-08,3.852366364798243e-08
1829,8.573175946935407e-09,1.3717081526198882e-08
1830,6.262101504006523e-09,1.3567886369969528e-08
1831,1.4032085715598441e-08,1.5591206103948707e-09
1832,0.0,5.4119875803060324e-08
1833,6.950176989484191e-09,2.6642345218874652e-08
1834,5.600718555598405e-09,2.42697808516823e-08
1835,2.4201881387853064e-08,3.403389570166837e-08
1836,4.032449929525228e-09,3.965242711956307e-08
1837,3.478945576063097e-09,4.035576572913868e-08
1838,2.5248647617104325e-09,4.102905237779453e-08
1839,6.9914749545318955e-09,2.027527834513876e-08
1840,1.3376346252869098e-08,1.7835128207632778e-08
1841,3.852329122366882e-09,1.8619590758106597e-08
1842,5.366612043644636e-09,2.0795622113212175e-08
1843,2.3627644285539873e-09,3.4260082770742883e-08
1844,5.488561161115513e-09,2.3600814025304118e-08
1845,5.580227946389016e-10,1.5066615177694587e-08
1846,3.5127007969038004e-09,3.278520765981341e-08
1847,9.168480197274675e-09,3.235934187273415e-08
1848,8.84974404868899e-09,1.528592186161859e-08
1849,7.54147322368226e-09,4.022119171054328e-08
1850,3.394498016007219e-09,1.5614691761811628e-08
1851,6.449438760824933e-09,1.3543821397732358e-08
1852,2.6042181744401205e-09,2.99485096721952e-08
1853,6.569124799682413e-09,1.6721408258035808e-08
1854,6.754363734984281e-09,2.0263090760863633e-08
1855,3.1841622671890946e-09,2.600399184871094e-08
1856,6.730345947225658e-09,1.3978410762227611e-08
1857,1.9526036343364694e-09,1.806158356210119e-08
1858,1.468102750479261e-09,2.838332058274773e-08
1859,1.5276520048956854e-09,4.6338776815701976e-08
1860,1.8308735638683515e-09,2.1970483654598638e-08
