year,quelques_DET oeufs_NOUN,quelques_DET jeux_NOUN
1800,2.5153315874604232e-08,8.803660733747165e-08
1801,2.6193008650921e-08,1.6906396393956413e-07
1802,1.7902721083373763e-08,2.730164965214499e-07
1803,2.7304748684287006e-08,9.556662483589662e-08
1804,1.7302956178966156e-08,5.6852570651244605e-08
1805,8.528632911009026e-09,1.563582716634926e-07
1806,2.305335211616466e-08,1.3543844712415876e-07
1807,2.8469551160981155e-09,6.547996633798903e-08
1808,4.5321479902327155e-09,1.33698361270973e-07
1809,4.518061036407062e-09,9.036122006200742e-08
1810,1.4040760554223652e-08,1.3338722215650023e-07
1811,3.259199843341776e-08,1.0529722294094768e-07
1812,8.00162425207418e-09,8.268345652595599e-08
1813,8.627225156487839e-09,9.777521370324394e-08
1814,2.2026739543434815e-08,1.353071126253269e-07
1815,2.697223555614414e-09,3.236668177919455e-08
1816,3.244645441213834e-08,9.965696534663948e-08
1817,3.113746815941454e-09,1.2454987730059486e-07
1818,1.0729059418679299e-08,1.3351718974874416e-07
1819,2.070210003424222e-09,1.3352854644210765e-07
1820,5.933240565525466e-09,5.814575665397115e-08
1821,2.9584463767662328e-09,7.790575606847483e-08
1822,4.010246357211145e-09,1.2933044502005941e-07
1823,4.941343334508019e-09,4.9413433012013286e-08
1824,5.894778887238772e-09,1.0947446504872005e-07
1825,5.283265824829186e-09,1.2503729140966868e-07
1826,6.1655889282974385e-09,8.896064329633191e-08
1827,2.7651818612639545e-09,4.885154769596056e-08
1828,4.586150570418113e-09,5.1364885622628975e-08
1829,6.001223074036943e-09,6.429882210001736e-08
1830,1.0436835840010872e-09,8.662573391937656e-08
1831,3.1182412207897414e-09,3.4300654760954785e-08
1832,0.0,6.764984861185042e-08
1833,5.791814139399776e-09,8.108539673035153e-08
1834,1.8669061851994684e-09,7.094243348326756e-08
1835,1.5126175867408165e-09,1.27816186079599e-07
1836,4.704525213838906e-09,6.787957707032888e-08
1837,9.045257876039159e-09,8.627784964243546e-08
1838,1.0730675015224733e-08,6.627769977285425e-08
1839,4.894032734625853e-09,6.991475309803263e-08
1840,1.910906599622564e-09,7.643626104281154e-08
1841,6.420548537278137e-10,6.484753889424155e-08
1842,1.341653010911159e-09,8.04991833192048e-08
1843,3.5441467538532834e-09,5.965980220956624e-08
1844,2.7442805805577564e-09,5.54344694592146e-08
1845,2.2320911785556063e-09,8.537748447112747e-08
1846,1.1709002656346001e-09,5.5032313817093836e-08
1847,1.0786447290911383e-09,4.422443478091509e-08
1848,2.4135665133151463e-09,6.355725390427835e-08
1849,8.379414495607307e-09,5.362825561405771e-08
1850,6.788996032014438e-10,6.517435924280335e-08
1851,7.739326512989919e-09,4.9015733027957253e-08
1852,1.3021090872200602e-09,1.1002821698191667e-07
1853,7.763511611358354e-09,6.270528385421414e-08
1854,1.558699391779328e-09,7.377843386224825e-08
1855,1.0613874223963649e-09,5.519214596461097e-08
1856,2.5885946719483854e-09,4.0899795550330964e-08
1857,1.4644527812635033e-09,5.1255845900932684e-08
1858,2.4468380654951716e-09,5.28517016262775e-08
1859,1.5276520048956854e-09,6.365216731474277e-08
1860,9.154367819341758e-10,5.0806742091236146e-08
1861,6.13075279431996e-09,6.036433541911634e-08
1862,2.710791813242963e-09,7.770936660822514e-08
1863,1.4983863039219614e-09,5.44413663039478e-08
1864,2.3973640850272204e-09,3.931676850754684e-08
1865,3.294791106611683e-09,5.036323436069523e-08
1866,2.4328064562872953e-09,5.9360478421588425e-08
1867,2.426405742994575e-09,3.1543276435286316e-08
1868,9.87974813071446e-10,4.347089288536665e-08
1869,0.0,5.176530193384821e-08
1870,2.2936195165357276e-09,2.4656409802759072e-08
1871,2.1242354542039266e-09,2.442870794538976e-08
1872,3.628403577593531e-09,4.233137351761229e-08
1873,2.3944017324417644e-09,3.352162369907319e-08
1874,1.7923826867161097e-09,4.36146460613962e-08
1875,5.7215269744226305e-09,3.776207807559828e-08
1876,5.441413541973361e-09,3.264847903139412e-08
1877,3.710889595609501e-09,3.1542562228814575e-08
1878,6.039088673581716e-10,3.623453220802375e-08
1879,2.443730107160036e-09,4.093247973901981e-08
1880,5.134277003548959e-09,5.776061806628263e-08
1881,2.7890030285249168e-09,2.9284532132578533e-08
1882,4.658769592325029e-09,3.5939080600400075e-08
1883,6.951272890631799e-09,4.486730598163291e-08
1884,1.3203393933736152e-09,4.2250860587955685e-08
1885,3.86738152613475e-09,5.3498777075056125e-08
1886,1.9360391623202133e-09,4.2592862070645054e-08
1887,1.3057849246322917e-09,3.8520655332163756e-08
1888,4.438430289965822e-09,4.184805546536552e-08
1889,3.759081934617825e-09,6.89165042810913e-08
1890,5.898947663673937e-09,3.932631847947121e-08
1891,1.2748440081367107e-09,5.673055891719514e-08
1892,3.1342561879199593e-09,3.3223115813996174e-08
1893,0.0,3.756634125995362e-08
1894,2.520615716150587e-09,4.978215972784028e-08
1895,9.027921521465032e-09,5.717683726480516e-08
1896,5.897029087265082e-09,3.420276750709661e-08
1897,4.661370955894029e-09,3.7873636782315145e-08
1898,5.6583546736987955e-09,4.5832675099610753e-08
1899,4.9748205555033564e-09,2.432134493801641e-08
1900,4.15284251431558e-09,4.15284251431558e-08
1901,3.353243460679778e-09,3.409130666653937e-08
1902,4.419255628107521e-09,4.517460983066712e-08
1903,3.7801539676252105e-09,3.186129937660098e-08
1904,3.7622376325430196e-09,3.171028684079147e-08
1905,2.5803795211665204e-09,3.3028859480754846e-08
1906,2.0576738091193647e-09,3.035068701917609e-08
1907,8.228549286393161e-09,3.7028472732458795e-08
1908,4.911389073214423e-09,5.2060723954028276e-08
1909,1.2102163438054703e-08,2.9155211911380263e-08
1910,4.809735498767509e-09,3.687463923096601e-08
