year,nos_DET oies_NOUN,nos_DET joies_NOUN
1800,1.8864987794131594e-08,6.602745106221164e-08
1801,2.1430643926123594e-08,4.0480102825313224e-08
1802,8.951360541686881e-09,5.594600338554301e-08
1803,5.070882025393075e-08,2.9255089017965474e-08
1804,1.4831105232815389e-08,1.1123329102247226e-07
1805,3.41145314219915e-08,5.970043304159844e-08
1806,5.76333825108577e-09,4.8988374246050626e-08
1807,8.540865792383556e-09,5.978605877032805e-08
1808,4.5321479902327155e-09,5.211970277585465e-08
1809,4.0662548883574345e-08,6.325285539787728e-08
1810,0.0,7.488405628919281e-08
1811,5.0141535368197765e-09,4.7634459487966296e-08
1812,8.00162425207418e-09,1.8670457180292033e-08
1813,0.0,8.627225156487839e-09
1814,3.1466771410748606e-09,1.5733386149463513e-08
1815,0.0,9.979726911524267e-08
1816,9.270415546325239e-09,1.0892738089296472e-07
1817,2.8023721676539992e-08,6.850242650902061e-08
1818,4.172412104708201e-08,8.583247534943439e-08
1819,7.24573512300708e-09,4.14041982921276e-08
1820,1.6613073583471305e-08,1.1035827185423841e-07
1821,8.875339574387908e-09,1.2129631143942277e-07
1822,1.2030739071633434e-08,5.413832582235045e-08
1823,5.929612023614084e-09,1.0772128433700345e-07
1824,1.1789557774477544e-08,8.168479315173727e-08
1825,3.25801385869795e-08,7.13240879690602e-08
1826,1.7615968683770689e-09,1.1802699262375427e-07
1827,7.373818444733615e-09,5.899054755786892e-08
1828,3.485474309172787e-08,7.06267186956211e-08
1829,2.5719527840806222e-08,6.772809318933426e-08
1830,6.262101504006523e-09,1.388099164501e-07
1831,1.5591206548037917e-08,1.4343909526814969e-07
1832,1.352996914505411e-08,1.4341767085035428e-07
1833,2.3167257445777523e-08,1.5406226339109708e-07
1834,1.8669062296083894e-08,2.6136686415156873e-07
1835,1.5882484660778573e-08,1.5958114829572878e-07
1836,2.8899224790990274e-08,2.029666472114222e-07
1837,2.574419688539109e-08,1.4124518665781238e-07
1838,1.325553999897977e-08,1.6159134319515545e-07
1839,8.389769878824893e-09,1.552107439239947e-07
1840,1.2102408852854296e-08,1.3567436524253296e-07
1841,3.017657901338566e-08,1.7849124267499406e-07
1842,1.408735617047796e-08,1.683774586425102e-07
1843,6.497602123012314e-09,1.736631870530303e-07
1844,6.037417454862748e-09,1.9484392954627339e-07
1845,5.5802281129224696e-09,1.8414752656070732e-07
1846,3.5127007969038004e-09,1.4519163471504726e-07
1847,2.3730184928183462e-08,1.084037952736594e-07
1848,2.011305477722658e-08,2.0193507133114963e-07
1849,2.011059585527164e-08,3.2428336127487967e-07
1850,5.431196825611551e-09,1.900918906727611e-07
1851,1.2898877521649865e-08,1.30923609731326e-07
1852,1.6276363812295358e-08,2.063842967636731e-07
1853,1.5527023222716707e-08,2.4723797387160573e-07
1854,8.832629738719788e-09,1.9587654764841034e-07
1855,9.021793090369101e-09,2.446498044150758e-07
1856,8.28350277259915e-09,3.121845200126927e-07
1857,3.417056471111124e-09,2.3821763950326869e-07
1858,9.29798454896158e-09,2.25109102469645e-07
1859,1.171199848215565e-08,2.556270981557418e-07
1860,1.830873536112776e-09,2.7234243038520844e-07
1861,1.1789909493131745e-08,2.565484393812767e-07
1862,3.162590467287174e-09,2.665612033325715e-07
1863,3.496234635136375e-09,2.806977041913683e-07
1864,7.192092144059359e-09,2.55079532607283e-07
1865,1.0355057922240007e-08,2.6170053768481694e-07
1866,2.919367858567057e-09,2.4814626886637825e-07
1867,5.82337378318698e-09,2.3390551007196336e-07
1868,1.2843672791973404e-08,2.0945065870581203e-07
1869,1.0255390092694938e-08,2.671284984323563e-07
1870,4.587239033071455e-09,2.60325821344054e-07
1871,0.0,1.922433106038568e-07
1872,5.442605477412599e-09,2.4189357406001477e-07
1873,1.1373408437265198e-08,1.9274933782398307e-07
1874,5.974609251779839e-09,1.6788651224786122e-07
1875,2.8607636259891933e-09,1.9567623144034485e-07
1876,1.209202959984168e-09,1.765436392631159e-07
1877,1.2988113695655557e-08,2.0595437044690357e-07
1878,4.831270938865373e-09,1.799648452482927e-07
1879,6.720257905712401e-09,1.753376404067808e-07
1880,1.7328185109022343e-08,1.8675932933476247e-07
1881,2.091752326904839e-09,2.0080822427104295e-07
1882,3.9932310791357395e-09,2.3027632289895905e-07
1883,6.319338829996468e-09,1.763095633933176e-07
1884,8.582206056928499e-09,2.3502040669143298e-07
1885,3.86738152613475e-09,2.0626034658022263e-07
1886,1.0970888419947755e-08,2.174817279598784e-07
1887,1.1752063988623718e-08,2.1806608518915027e-07
1888,8.87686035788704e-09,2.3713898578137105e-07
1889,8.14467782106476e-09,2.437138242328274e-07
1890,9.176141124722648e-09,1.8614457752974545e-07
1891,7.649064048820264e-09,2.549688087327695e-07
1892,7.522214851007902e-09,2.38830316412475e-07
1893,6.158416665513755e-09,2.832871652813651e-07
1894,3.150769645188234e-09,1.928271018414307e-07
1895,1.083350631425617e-08,2.9491212316656856e-07
1896,2.9485144326102386e-09,2.2526650678145188e-07
1897,6.992056267307589e-09,2.3132052628938027e-07
1898,5.658354784721098e-09,2.5519179214228416e-07
1899,4.4220627160029835e-09,2.5426859728838735e-07
1900,4.671947717582725e-09,2.4346039939615594e-07
1901,3.912117296778206e-09,2.7217159548342806e-07
1902,6.8743973291596205e-09,1.8855490147018372e-07
1903,2.214090244478939e-08,2.2464916593634143e-07
1904,3.7622376325430196e-09,3.3215184025436884e-07
1905,1.9094808956232612e-08,2.1417150364300142e-07
1906,8.745113411201544e-09,2.5823807137115296e-07
1907,1.1314255032868203e-08,2.494279005560429e-07
1908,1.964555629285769e-09,2.4016692456996225e-07
1909,5.500983391026892e-09,2.656974942283341e-07
1910,4.275320542035388e-09,2.693452056945489e-07
1911,2.128149656499545e-09,2.654866779749909e-07
1912,1.0418842455450772e-09,2.3390301961967452e-07
1913,3.71209285532359e-09,2.455284242586231e-07
1914,6.696743715117748e-10,2.417524544995331e-07
1915,4.712304768617059e-09,2.2972485780314855e-07
1916,0.0,2.812790285133815e-07
1917,7.676497215669542e-09,2.434546133578408e-07
1918,0.0,2.8256485773425766e-07
1919,5.524709134618888e-09,3.1859154381308485e-07
1920,9.086678076641874e-09,1.8173355531558855e-07
1921,4.543648568500203e-09,2.33997899279359e-07
1922,3.6889677978990676e-09,2.906906448885138e-07
1923,6.369568872344189e-09,2.4841319490320757e-07
1924,3.867487219366694e-09,2.6298913224920284e-07
1925,5.499088961968823e-09,2.584571916486311e-07
1926,1.1146138456652466e-09,2.5190271735198166e-07
1927,7.804457635707251e-09,2.7315600625854586e-07
1928,9.14083297942625e-09,2.2509300823259082e-07
1929,3.342121912552898e-09,2.0386944132866347e-07
1930,4.201441416995522e-09,1.848634196832677e-07
1931,0.0,1.9731267286715592e-07
1932,2.1919073223131136e-09,1.5562541566538357e-07
1933,2.2941324395731044e-09,1.9500125758575848e-07
1934,2.3963160344919743e-09,1.9170528275935794e-07
1935,1.196828414151696e-09,2.1183862841667178e-07
1936,0.0,2.0005779166609727e-07
1937,5.036447148221157e-09,1.6998009755297971e-07
