year,ces_DET ans_NOUN,ces_DET gens_NOUN
1800,6.288328968651058e-09,7.5805804726769566e-06
1801,2.3811825844433088e-09,6.126782921000995e-06
1802,2.2378401354217203e-08,5.440189283945074e-06
1803,7.801356893821776e-09,5.644281543482066e-06
1804,4.943701892301533e-09,7.215333084786835e-06
1805,1.1371510844071508e-08,7.22090942417708e-06
1806,2.0171682990621775e-08,6.247458486541291e-06
1807,5.693910232196231e-09,5.3010306260148354e-06
1808,2.7192887053217873e-08,5.851002924828208e-06
1809,1.581321384946932e-08,5.240950997631444e-06
1810,4.680253518074551e-09,6.585116636870225e-06
1811,2.2563691359778204e-08,6.337889999485924e-06
1812,1.0668832928217853e-08,6.169252685594984e-06
1813,1.1502966579257645e-08,6.082193749534781e-06
1814,6.293354282149721e-09,5.912606525271258e-06
1815,3.776112933451259e-08,5.912314122724638e-06
1816,4.6352077731626196e-09,5.749975457547407e-06
1817,1.71256075987003e-08,7.912030810075521e-06
1818,1.1921177378582115e-09,8.253031182903214e-06
1819,1.0351050350188018e-08,8.277734650619095e-06
1820,1.0679833017945839e-08,9.134816764344578e-06
1821,2.1695273910715684e-08,9.963061756934621e-06
1822,5.413832582235045e-08,1.0206076694885269e-05
1823,7.510842370272997e-08,1.0047728096651554e-05
1824,1.2631669044083083e-08,1.3426621990220156e-05
1825,4.402721520690989e-09,1.0360484111515689e-05
1826,1.7615968683770689e-09,7.948324878270796e-06
1827,6.452091305675367e-09,7.66047548950155e-06
1828,1.0089531543577834e-08,6.859964173600019e-06
1829,8.57317605795771e-10,8.0270647231373e-06
1830,3.7572609246083744e-08,9.138493282989657e-06
1831,1.5591206103948707e-09,8.584518013776687e-06
1832,2.3000947813045514e-08,8.678122185301618e-06
1833,1.50587169400751e-08,7.896559623077337e-06
1834,1.1201437333241415e-08,7.3630777706057415e-06
1835,3.2521278114927554e-08,1.081899688415433e-05
1836,1.6801875613037254e-08,9.248423793906113e-06
1837,1.1132625044041333e-08,8.89775071755139e-06
1838,6.122797135965641e-08,9.106556149163225e-06
1839,3.845311480343838e-08,7.573165703433915e-06
1840,1.5287252685958208e-08,7.904783842604957e-06
1841,1.8619591202195807e-08,6.679296575384797e-06
1842,4.293289501688946e-08,7.081244689288724e-06
1843,5.316220019757623e-09,6.650591217294277e-06
1844,1.152597861597826e-08,6.323371565031266e-06
1845,1.0044410192477926e-08,6.861448241579637e-06
1846,1.3465352610708692e-08,7.158884386626596e-06
1847,1.1325769655456952e-08,5.564188882090093e-06
1848,7.401603796530765e-08,6.8537244715116685e-06
1849,9.217356433666168e-09,5.435726279756636e-06
1850,1.0862393651223101e-08,7.040867785690352e-06
1851,1.6768540778144825e-08,6.763526357644878e-06
1852,2.864639925270751e-08,6.348433032599132e-06
1853,1.7915795735845563e-08,7.627948548361019e-06
1854,1.7665259477439577e-08,7.290036933227384e-06
1855,2.0697054736729115e-08,7.17975501629553e-06
1856,1.5013848608802505e-08,6.764515546819894e-06
1857,2.0990488958094744e-08,7.6229647447689786e-06
1858,1.6638498356869036e-08,7.502984317397932e-06
1859,1.680417249794175e-08,8.256449746113503e-06
1860,1.1900678331677739e-08,8.000002139851858e-06
1861,1.1789909160064838e-08,7.63986110996484e-06
1862,2.2589932147099034e-08,6.6333075778857165e-06
1863,1.1487627959994029e-08,7.427001378346176e-06
1864,1.5343129544653777e-08,7.106745897544897e-06
1865,8.943004337069738e-09,7.528126843681093e-06
1866,3.1139921974343565e-08,7.129582627385389e-06
1867,1.4073153309368536e-08,7.955213732202537e-06
1868,3.210918098073279e-08,7.241361458909523e-06
1869,2.8324410261681976e-08,8.8440528998035e-06
1870,1.1468097138589428e-08,7.5500221328184125e-06
1871,7.434823867669138e-09,8.41091025449714e-06
1872,7.861540973763681e-09,9.375795002597442e-06
1873,6.824045062359119e-08,7.369968557213724e-06
1874,7.766991494406739e-09,8.157731258506828e-06
1875,1.77367336373635e-08,8.69557686655753e-06
1876,4.111290130559553e-08,8.96805397587741e-06
1877,2.72131899237138e-08,7.838635724510823e-06
1878,1.2078177291652281e-08,7.350778787440504e-06
