year,derniers_ADJ oeufs_NOUN,derniers_ADJ jeux_NOUN
1800,0.0,9.432493897065797e-09
1801,1.1905912700171939e-08,3.095537337571841e-08
1802,4.475680270843441e-09,1.1189200677108602e-08
1803,1.950339223455444e-09,2.145373123596528e-08
1804,7.4155526164076946e-09,5.9324420931261557e-08
1805,0.0,0.0
1806,0.0,4.034336598124355e-08
1807,0.0,0.0
1808,0.0,1.5862518409903714e-08
1809,0.0,3.840352036377226e-08
1810,9.360507036149102e-09,2.574139390532082e-08
1811,0.0,1.2535383397960231e-08
1812,0.0,2.1337665856435706e-08
1813,0.0,4.601186631703058e-08
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,7.784366928831332e-09
1818,9.536941902865692e-09,1.668964877410417e-08
1819,1.035105001712111e-09,2.3807414706311647e-08
1820,0.0,8.306536791735653e-09
1821,0.0,1.7750679148775816e-08
1822,0.0,1.1028177482330648e-08
1823,0.0,2.2730180071484085e-08
1824,0.0,1.2631669044083083e-08
1825,0.0,1.584979791857677e-08
1826,0.0,1.4092774947016551e-08
1827,0.0,4.6086365279585095e-09
1828,1.8344602503717056e-09,1.3758452155343548e-08
1829,0.0,6.001223074036943e-09
1830,0.0,7.305785310052215e-09
1831,0.0,2.8064171431196883e-08
1832,0.0,2.705993873419743e-09
1833,0.0,1.1583628278799551e-08
1834,1.8669061851994684e-09,2.7070139907436896e-08
1835,0.0,9.075705520444899e-09
1836,2.688300027031687e-09,2.2850549896702432e-08
1837,1.3915781860163179e-09,1.3915782304252389e-08
1838,0.0,1.7674054220151447e-08
1839,0.0,2.0974425751774106e-08
1840,6.369688665408546e-10,3.05745047057826e-08
1841,0.0,6.420548537278137e-09
1842,0.0,1.542900918138912e-08
1843,0.0,1.3585895075607368e-08
1844,1.097712254427563e-09,1.3721403568922597e-08
1845,0.0,1.2834524554250493e-08
1846,0.0,3.8639707433674175e-08
1847,2.1572894581822766e-09,8.629157832729106e-09
1848,0.0,8.04522137798358e-09
1849,0.0,2.6814127807028854e-08
1850,0.0,1.425689166723032e-08
1851,6.449438760824933e-10,1.2253933867611977e-08
1852,0.0,4.557382027314816e-09
1853,0.0,2.448492075757258e-08
1854,1.0391328908454511e-09,2.545875654735852e-08
1855,0.0,1.4859423913549108e-08
1856,1.0354378465748937e-09,6.73034605824796e-09
1857,0.0,2.7336451324799782e-08
1858,0.0,7.34051397444091e-09
1859,0.0,2.1387128512628806e-08
1860,0.0,1.0527522853465143e-08
1861,4.715963730639317e-10,1.8863854478468056e-08
1862,0.0,5.873382225018986e-09
1863,0.0,2.097740825490746e-08
1864,0.0,8.630510195395402e-09
1865,0.0,9.413688495385486e-09
1866,0.0,1.5083399418358567e-08
1867,0.0,1.7955402498159856e-08
1868,0.0,3.951899252285784e-09
1869,0.0,5.371870948067681e-09
1870,0.0,1.490852685748223e-08
1871,0.0,4.248470908407853e-09
1872,6.047339295989218e-10,9.675743095627354e-09
1873,5.986004469882289e-10,9.577607151811662e-09
1874,0.0,1.6131444624534197e-08
1875,2.8607636259891933e-09,6.865832347102696e-09
1876,6.04601479992084e-10,1.0278225381910033e-08
1877,0.0,8.040260901509555e-09
1878,0.0,8.4547240319921e-09
1879,0.0,1.0385853066452455e-08
1880,0.0,5.134277003548959e-09
1881,0.0,1.1156012114099667e-08
1882,6.655385131892899e-10,1.3310770263785798e-09
1883,6.319338941018771e-10,1.516641390253426e-08
1884,0.0,8.582206056928499e-09
1885,0.0,1.160214413431504e-08
1886,0.0,1.0325542421085743e-08
1887,0.0,5.8760321608453125e-09
1888,0.0,5.07249175996094e-09
1889,0.0,1.2530273485467092e-09
1890,0.0,1.3108772956016423e-09
1891,0.0,5.099376032546843e-09
1892,0.0,5.014809900671935e-09
1893,2.463366621796581e-09,7.390099865389743e-09
1894,6.301539290376468e-10,5.041231432301174e-09
1895,6.018614495673091e-10,1.023164486468886e-08
1896,0.0,4.717623180994224e-09
1897,0.0,2.9133566670225264e-09
1898,0.0,1.640922964174507e-08
1899,0.0,1.1607914629507832e-08
1900,0.0,3.633737311048435e-09
1901,0.0,1.0059730048972426e-08
1902,0.0,6.383369055562582e-09
1903,5.400220270956879e-10,7.560307935250421e-09
1904,0.0,1.289910045443321e-08
1905,5.160759042333041e-10,6.1929109063108e-09
1906,5.144184522798412e-10,7.2018581098731715e-09
1907,1.028568674676933e-09,4.6285588695127444e-09
1908,0.0,6.875944480455587e-09
1909,2.2003934230241384e-09,1.2102163715610459e-08
1910,5.344150677544235e-10,1.068830135508847e-09
1911,0.0,1.1172786140711821e-08
1912,5.209421227725386e-10,2.6047105583515417e-09
1913,5.30298971401777e-10,1.6969567750990677e-08
1914,1.3393487430235496e-09,3.4823066652478474e-08
1915,0.0,5.890381071793627e-09
1916,1.0987462051303964e-09,1.4283700444650549e-08
1917,3.289927441585405e-09,1.6449636319748606e-08
1918,1.1486376294556067e-09,2.2972752589112133e-09
1919,0.0,4.603924352863942e-09
1920,0.0,9.843901693784574e-09
1921,7.572747429129834e-10,1.060184651180407e-08
1922,0.0,1.1804696553596727e-08
1923,1.0615948120573648e-09,9.554353752605493e-09
1924,3.867487219366694e-09,1.5469948877466777e-08
1925,2.1996355847875293e-09,1.5397448649423495e-08
1926,0.0,8.916910765321973e-09
1927,0.0,2.3413372574054847e-08
1928,0.0,1.5996457936040542e-08
1929,0.0,5.570202965543558e-09
