year,les_DET oies_NOUN,les_DET joies_NOUN
1800,1.2576657759666432e-06,6.256887203903716e-07
1801,1.1977348979286262e-06,5.119542638709618e-07
1802,1.163676898841004e-06,6.333087299026374e-07
1803,2.1687771649681054e-06,4.154222601471247e-07
1804,1.3867083934471225e-06,6.64927902960244e-07
1805,2.2146017630841897e-06,4.577033241304207e-07
1806,5.79215488016871e-07,4.610670600868616e-07
1807,5.523092792003581e-07,4.042676273741108e-07
1808,9.789439445739845e-07,4.4868265192121726e-07
1809,1.5790623262290637e-06,6.844862383559303e-07
1810,8.284048975681912e-07,7.207590559943355e-07
1811,6.86939027438882e-07,3.9361104242630063e-07
1812,3.040617375660304e-07,4.2675331002328676e-07
1813,4.486156939265129e-07,4.975033078835622e-07
1814,4.6256154684343187e-07,5.601085106832215e-07
1815,5.772058635500343e-07,4.801058066661312e-07
1816,7.207747927395758e-07,1.1518491405126952e-06
1817,6.896949305001954e-07,5.542469367902925e-07
1818,1.624856460047397e-06,5.042657758025371e-07
1819,3.560761119292266e-07,6.200279152324129e-07
1820,6.028172503391716e-07,8.187871927134438e-07
1821,3.8361188581248484e-07,8.214619491297981e-07
1822,7.128213184159904e-07,7.058033446583067e-07
1823,6.453394680860924e-07,7.599786364664851e-07
1824,4.7326652907742073e-07,8.033741352164725e-07
1825,8.04817498867294e-07,1.2706254430838726e-06
1826,4.862007410011415e-07,9.142687993346499e-07
1827,7.521294603796136e-07,9.530660101120247e-07
1828,6.741641236374107e-07,9.79601722406187e-07
1829,5.332515518041703e-07,9.053273650749816e-07
1830,5.604580937124126e-07,1.1261346042346077e-06
1831,5.347783620379687e-07,1.5731526907813986e-06
1832,4.7354891563600177e-07,1.894195662544007e-06
1833,5.444305370971847e-07,2.066519357413199e-06
1834,6.823541847111869e-07,2.196415209709812e-06
1835,6.239547474251594e-07,1.8279983891034135e-06
1836,6.431757593183818e-07,1.9308715408783428e-06
1837,5.656765456052426e-07,1.7791326705207666e-06
1838,5.655697066231369e-07,1.8766056868457781e-06
1839,5.949745203182033e-07,2.16386148821357e-06
1840,4.834593818614508e-07,2.0771554858356467e-06
1841,4.25040309615099e-07,2.4340299589198366e-06
1842,4.320122641843227e-07,2.5592031676069382e-06
1843,4.690087438419255e-07,2.6155802288485575e-06
1844,4.7476054065853646e-07,2.408380694873813e-06
1845,6.679532877917893e-07,2.6076404893160543e-06
1846,3.9225158054989606e-07,2.5074829750337813e-06
1847,7.286245065074581e-07,2.11522225868066e-06
1848,5.044354058902911e-07,2.270361491696349e-06
1849,4.047257355921374e-07,2.4501408120158885e-06
1850,4.4332145066050543e-07,2.5703138817334548e-06
1851,5.559416085265667e-07,2.3856473205796647e-06
1852,5.162862439789251e-07,2.4935389006941477e-06
1853,6.819946207770045e-07,2.767990373797602e-06
1854,4.494249861153321e-07,2.780199970686681e-06
1855,5.046897229021852e-07,3.2181266504949235e-06
1856,4.902798327321989e-07,3.110455359944808e-06
1857,4.115112304248214e-07,3.174933510763367e-06
1858,4.0519638666580704e-07,2.945503659645965e-06
1859,5.412980277341717e-07,3.3165326058792743e-06
1860,4.641264600979689e-07,3.6736477255772115e-06
1861,4.7253954882364724e-07,3.322396366911562e-06
1862,4.716777590729748e-07,2.896029201338024e-06
1863,4.390271755028152e-07,3.106154736087774e-06
1864,5.489963399440967e-07,3.460834562929449e-06
1865,5.492887309443972e-07,3.1196964727087106e-06
1866,4.1406367046192827e-07,3.135400902465335e-06
1867,5.74572872835688e-07,3.2450750353518742e-06
1868,6.001947054912193e-07,3.0869272862332764e-06
1869,4.903053287819148e-07,3.1337541273046554e-06
1870,4.656047671858232e-07,2.7890413250020174e-06
1871,5.703572205639773e-07,2.0084646550344587e-06
1872,4.3540843108758054e-07,2.8071749937907953e-06
1873,5.225781896101012e-07,2.7050753246271597e-06
1874,5.580284909711963e-07,2.421509073258221e-06
1875,4.828969011327899e-07,2.4940137279827468e-06
1876,4.6554313826163707e-07,2.3899895680301597e-06
1877,6.110598054220873e-07,2.3786802856307077e-06
