year,mêmes_ADJ oeufs_NOUN,mêmes_ADJ jeux_NOUN
1800,9.432493897065797e-09,1.0690159513160324e-07
1801,1.1905912700171939e-08,5.2386017301842e-08
1802,5.370816325012129e-08,9.175144555229053e-08
1803,2.5354410126965377e-08,1.1116933507082649e-07
1804,2.4718509461507665e-09,8.404293083685843e-08
1805,0.0,4.264316544322355e-08
1806,2.881669125542885e-09,4.8988376022407465e-08
1807,0.0,4.839823830593559e-08
1808,0.0,7.024829073998262e-08
1809,0.0,5.6475762733043666e-08
1810,0.0,7.488405628919281e-08
1811,2.5070767684098882e-09,1.0529722782592899e-07
1812,0.0,4.267533171287141e-08
1813,0.0,8.052076805320496e-08
1814,0.0,3.1466772298927026e-08
1815,0.0,7.012781066961793e-08
1816,0.0,3.0128852301913867e-08
1817,1.556873407970727e-09,7.940054302935096e-08
1818,4.768470951432846e-09,5.12610629499477e-08
1819,1.7596784473994376e-08,5.072014630513877e-08
1820,0.0,6.170570543417853e-08
1821,1.97229765852569e-09,7.593345840994914e-08
1822,0.0,6.717162648328667e-08
1823,0.0,5.0401704143610004e-08
1824,0.0,3.9579230559638745e-08
1825,1.7610886082763955e-09,3.78634048558979e-08
1826,0.0,6.605988289720699e-08
1827,0.0,2.8573547083965423e-08
1828,0.0,7.521286704559316e-08
1829,0.0,5.744027831156018e-08
1830,2.0873671680021744e-09,3.652892388572582e-08
1831,0.0,4.5214498811674275e-08
1832,0.0,3.788391467196561e-08
1833,1.0425265983826648e-08,6.370995464521911e-08
1834,9.334530925997342e-10,5.600718466780563e-08
1835,7.563087933704082e-10,3.781543966852041e-08
1836,6.720750067579218e-10,3.629205025390547e-08
1837,0.0,6.54041727443655e-08
1838,6.312161904276081e-10,6.375283589932224e-08
1839,0.0,2.7266752411492234e-08
1840,0.0,5.6690229399691816e-08
1841,0.0,4.751206006403663e-08
1842,0.0,4.293289634915709e-08
1843,5.906911071384968e-10,5.9069112268161916e-08
1844,5.488561272137815e-10,4.9945908853210597e-08
1845,0.0,4.743193732226203e-08
1846,0.0,5.561776106333127e-08
1847,0.0,7.388716483092139e-08
1848,0.0,6.033916122305527e-08
1849,0.0,5.362825561405771e-08
1850,2.0366988096043315e-09,4.480737292311687e-08
1851,1.9348316282474798e-09,4.9660677348128957e-08
1852,6.510545436100301e-10,2.99485096721952e-08
1853,0.0,5.1955808544335014e-08
1854,0.0,6.390667550704165e-08
1855,0.0,4.192480318465641e-08
1856,5.177189232874468e-10,5.228960975323105e-08
1857,0.0,3.7099468386259105e-08
1858,0.0,2.6915217388179258e-08
1859,5.092173349652285e-10,4.430190858606409e-08
1860,9.154367819341758e-10,4.073693560258107e-08
1861,0.0,4.33868656557479e-08
1862,0.0,4.789065499721801e-08
1863,0.0,6.542953201460477e-08
1864,1.4384183844029508e-09,4.1234660130839984e-08
1865,9.41368871743009e-10,4.283228349777346e-08
1866,0.0,5.1575497039824114e-08
1867,9.7056229719783e-10,3.639608614491863e-08
1868,0.0,4.544684273355415e-08
1869,4.883519144627257e-10,3.955650429432467e-08
1870,0.0,4.931282049369656e-08
1871,1.0621177271019633e-09,4.248470730772169e-08
1872,0.0,3.205089882385437e-08
1873,5.986004469882289e-10,5.028243776905583e-08
1874,0.0,3.226288780577846e-08
1875,0.0,3.776207790906483e-08
1876,6.04601479992084e-10,4.836811839936672e-08
1877,0.0,2.783167118991514e-08
1878,0.0,2.777980773194244e-08
1879,0.0,2.627009798583657e-08
