year,quelques_DET îles_NOUN,quelques_DET iles_NOUN
1800,7.671761608207817e-07,3.458580977167003e-08
1801,1.1096311389735547e-06,6.667311325259107e-08
1802,6.467358275585866e-07,4.699464284385613e-08
1803,8.015894454871386e-07,5.460949736857401e-08
1804,8.552604526812502e-07,9.145848367531073e-08
1805,4.832891951078722e-07,2.2743021688143017e-08
1806,3.1410192491421185e-07,1.4408345627714425e-08
1807,6.177892508674176e-07,8.540865792383556e-09
1808,7.749973276460764e-07,9.064295980465431e-09
1809,7.138536375350668e-07,2.936739762482432e-08
1810,3.8846104333245535e-07,3.510190094146992e-08
1811,3.6603321529327104e-07,3.008491944456182e-08
1812,4.214188962237131e-07,5.3344164641089264e-09
1813,6.527933322786339e-07,2.0130190847567064e-08
1814,2.769075950759259e-07,1.5733386149463513e-08
1815,3.7761128623969853e-07,2.4275012222574333e-08
1816,3.337349721022065e-07,2.3176038865813098e-08
1817,7.58197328032395e-07,5.2933695871004716e-08
1818,5.626795589463995e-07,2.3842354535119625e-08
1819,4.864993479181123e-07,1.9666995143552413e-08
1820,5.921374075512631e-07,2.966620371580575e-08
1821,4.5461460462803416e-07,9.861488403650753e-09
1822,3.458837483094612e-07,2.3058916553964082e-08
1823,4.0123709332817725e-07,4.150728605267773e-08
1824,4.606348618096945e-07,3.705289497446529e-08
1825,5.371320384028877e-07,2.377469621173134e-08
1826,7.759834321774406e-07,2.113916308665864e-08
1827,5.90827221258472e-07,4.4242909502667516e-08
1828,5.796894502196892e-07,5.411657844067719e-08
1829,4.946722569343365e-07,7.372931309923558e-08
1830,5.395843976074843e-07,5.114049561605327e-08
1831,4.1940343287194537e-07,1.5591206325993312e-08
1832,4.356650065151513e-07,5.0060886991332154e-08
1833,8.305461882684995e-07,1.0077756618098732e-07
1834,4.2845498171573126e-07,5.8807546166050884e-08
1835,4.931133474883609e-07,4.9160071569076536e-08
1836,4.758291147766158e-07,4.032449923974113e-08
1837,4.2999767391194155e-07,4.5226292488820263e-08
1838,4.532132287238255e-07,6.249040485073465e-08
1839,4.1039959697286577e-07,5.8728391039153394e-08
1840,3.9937946816337444e-07,6.560779208797385e-08
1841,3.158909738232296e-07,5.585877094205216e-08
1842,3.300466300260041e-07,3.6224632182779715e-08
1843,3.5382397367555996e-07,3.7804230856863796e-08
1844,2.876006179874935e-07,3.677335985718955e-08
1845,3.772234160592802e-07,3.9061595402678506e-08
1846,3.863970849948828e-07,4.683601084742861e-08
1847,3.510988584309871e-07,4.0988498817284835e-08
1848,3.588168828727589e-07,5.390298735141741e-08
1849,3.276351243641784e-07,5.7817962639816756e-08
1850,2.389726541096593e-07,4.412847331991543e-08
1851,2.631370996653004e-07,3.1602249261908355e-08
1852,2.3112435965089162e-07,4.036538281404489e-08
