year,mêmes_ADJ ans_NOUN,mêmes_ADJ gens_NOUN
1800,0.0,1.320549074534938e-07
1801,1.4287095950749062e-08,2.524053570596152e-07
1802,0.0,1.2308120744819462e-07
1803,0.0,1.7553053055507917e-07
1804,2.4718509461507665e-09,1.557266102736321e-07
1805,0.0,2.2743022043414385e-07
1806,0.0,2.564685530614952e-07
1807,5.693910232196231e-09,2.590729195617314e-07
1808,0.0,1.4276265858370607e-07
1809,4.518061036407062e-09,2.575294786311133e-07
1810,2.3401267590372754e-09,1.427477371862551e-07
1811,2.5070767684098882e-09,1.0529722516139373e-07
1812,0.0,9.868670503010435e-08
1813,2.8757416448144113e-09,2.2143210287595139e-07
1814,0.0,1.2901375612273114e-07
1815,0.0,1.5643897199879575e-07
1816,2.3176038865813098e-09,1.8309070526356663e-07
1817,0.0,3.7832023735973053e-07
1818,5.960588467246453e-09,3.171033142734814e-07
1819,1.035105001712111e-09,2.4117946395563195e-07
1820,1.0679833017945839e-08,3.975271170020278e-07
1821,4.930744257336528e-09,2.9485849495358707e-07
1822,1.0025615893027862e-09,2.1956098805731017e-07
1823,1.9765373782121287e-09,2.2631353147062327e-07
1824,8.421112696055388e-10,2.1221204349330947e-07
1825,1.7610886082763955e-09,3.416512015519402e-07
1826,2.642395191543301e-09,2.1843801789600548e-07
1827,1.8434546111834038e-09,2.2029283286428836e-07
1828,1.8344602503717056e-09,2.4123153252730845e-07
1829,8.57317605795771e-10,2.426208709493949e-07
1830,2.0873671680021744e-09,1.408972849503698e-07
1831,1.5591206103948707e-09,1.4499821077151864e-07
1832,1.3529969367098715e-09,1.9483155710986466e-07
1833,1.1583628500844156e-09,1.5753734317058843e-07
1834,9.334530925997342e-10,1.9042443000216736e-07
1835,1.5126175867408165e-09,2.102538445569735e-07
1836,1.3441500135158435e-09,1.5390517660307523e-07
1837,2.7831562610103333e-09,1.2454624709334894e-07
1838,3.1560809521380406e-09,1.9946430995787523e-07
1839,6.9914751765765e-10,1.5590990187774878e-07
1840,1.2739377330817092e-09,1.5605736791712843e-07
1841,1.2841097074556274e-09,1.0272877659645019e-07
1842,2.0124795163667386e-09,1.2343207345111296e-07
1843,3.544146642830981e-09,1.6362143639980786e-07
1844,1.6465683816413446e-09,1.5861941449202277e-07
1845,1.674068439427856e-09,1.0937246486264485e-07
1846,5.854501328173001e-10,1.2177362407328474e-07
1847,2.1572894581822766e-09,8.844887133818702e-08
1848,0.0,1.0136979256003542e-07
1849,0.0,6.703531596485846e-08
1850,6.788996032014438e-10,9.572484316322516e-08
1851,1.9348316282474798e-09,1.5736630132323626e-07
1852,4.557381805270211e-09,1.0481978307552708e-07
1853,3.5831591027601917e-09,1.4452075447479729e-07
1854,6.754363734984281e-09,9.923719090920713e-08
1855,2.653468555990912e-09,1.3001995569084102e-07
