year,aux_ADP oies_NOUN,aux_ADP joies_NOUN
1800,1.2576657582030748e-07,8.174827570428533e-08
1801,6.429192911383552e-08,7.381665767525192e-08
1802,7.608656460433849e-08,6.489736392722989e-08
1803,1.09218993626925e-07,6.046051481689574e-08
1804,5.9324420931261557e-08,4.69651695311768e-08
1805,1.2224374756897305e-07,1.421438877713399e-08
1806,5.4751713385314815e-08,6.051504897186533e-08
1807,3.131650672116848e-08,6.547996633798903e-08
1808,1.3369836260324064e-07,5.211970233176544e-08
1809,8.132509776714869e-08,6.551188391767937e-08
1810,3.042164786748458e-08,8.424456154898508e-08
1811,4.011322829455821e-08,8.273353557797236e-08
1812,3.7340914360584065e-08,4.000812481308458e-08
1813,5.751483289628823e-09,7.476928232108548e-08
1814,5.349351184236184e-08,3.1466772298927026e-08
1815,2.1038344355517324e-07,4.8550024445148665e-08
1816,1.274682119856152e-07,2.503012126453541e-07
1817,9.496928132790572e-08,6.694555310104988e-08
1818,7.152706604784953e-08,3.9339884239097955e-08
1819,4.554461963124368e-08,9.833497216504838e-08
1820,2.3732961373923445e-08,8.781196214613374e-08
1821,5.029359129160582e-08,1.1242096320529527e-07
1822,5.6143449000956025e-08,1.0526896687679255e-07
1823,1.1068609673259289e-07,1.087095569118901e-07
1824,3.115811697540494e-08,1.0610602174665473e-07
1825,6.163809995740621e-08,2.298220636021142e-07
1826,2.554315425840059e-08,8.896063974361823e-08
1827,5.7147094167930845e-08,1.6038055150602304e-07
1828,6.970948840390179e-08,9.264024214417077e-08
1829,9.85915242779356e-08,1.7489279002802505e-07
1830,4.0703659109908585e-08,1.4298464634521224e-07
1831,5.456921980950824e-08,2.510184060611209e-07
1832,3.51779220197912e-08,3.220132782644214e-07
1833,6.486831871654886e-08,3.2549996831221506e-07
1834,4.947301501800894e-08,2.8190282819196e-07
1835,4.689114518896531e-08,2.6017022491942043e-07
1836,4.0324502126320994e-08,3.9047557720550685e-07
1837,6.818733133684418e-08,2.734451243213698e-07
1838,3.9135405138779333e-08,2.7205416586184583e-07
1839,5.5931800524433584e-08,3.754422266410984e-07
1840,4.7772664935052944e-08,3.4969590956279717e-07
1841,6.099521199232072e-08,4.789729359799821e-07
1842,3.7566284305512454e-08,4.6957856625340355e-07
1843,8.978505050549757e-08,4.176186223503464e-07
1844,6.641159000508878e-08,4.412803207287652e-07
1845,4.2409731282333496e-08,5.161710987522383e-07
1846,2.4588905134237393e-08,4.783127565133327e-07
1847,7.496580600729885e-08,4.271433056146634e-07
1848,5.309846429213394e-08,4.41682658447462e-07
1849,4.860060620615059e-08,4.96899303925602e-07
1850,4.955967192188382e-08,4.826976010008366e-07
1851,5.4175285590929434e-08,4.282427426005597e-07
1852,4.948014531436229e-08,4.3815970229843515e-07
1853,3.642878354526147e-08,4.174380308086256e-07
1854,5.403491076805267e-08,4.33318405157479e-07
1855,6.580602018857462e-08,4.993827928956307e-07
1856,5.694908100650764e-08,5.886464009563497e-07
1857,4.735063718896981e-08,4.593499909333332e-07
1858,3.229826228690058e-08,5.353681444830727e-07
1859,5.295860283638376e-08,6.67074687044078e-07
1860,4.485640303641958e-08,7.058017672534334e-07
1861,5.5648373908923077e-08,5.932682256570843e-07
1862,7.906476362506965e-08,5.44417332548619e-07
1863,6.742738156706451e-08,5.359228225643164e-07
1864,6.856460832427302e-08,5.667368441208964e-07
1865,5.412871001420072e-08,6.589581857951998e-07
1866,9.341976481280767e-08,5.765751325270685e-07
1867,8.346835578265654e-08,6.109689820732456e-07
1868,7.409811075831385e-08,5.443741315502848e-07
1869,5.86022301796163e-08,4.873751890954736e-07
1870,4.243196194408938e-08,5.114771397529694e-07
1871,7.11618906024114e-08,3.547473284015723e-07
1872,5.98686610286947e-08,5.176522677174944e-07
1873,6.524745010949573e-08,4.36978325524251e-07
1874,6.512323835750067e-08,4.080658015936933e-07
1875,6.522541085018929e-08,4.148107279888791e-07
1876,5.8041743855596906e-08,3.887587638473633e-07
1877,6.494056759009936e-08,4.1747509271772287e-07
1878,5.495570576385944e-08,4.595746361246711e-07
1879,4.581993984231758e-08,4.404823528147972e-07
1880,7.63723715380138e-08,3.703097206653183e-07
1881,6.484431835929172e-08,4.4554323608281265e-07
1882,1.0914831349850829e-07,4.186237276826432e-07
1883,1.0679683093428594e-07,3.633619769516372e-07
1884,5.2813575734944607e-08,3.5121027508466796e-07
1885,4.318575907991118e-08,3.583773491300235e-07
1886,5.162771010702727e-08,4.5045177898828115e-07
1887,6.137189068056159e-08,3.688842298288364e-07
1888,7.03808211710566e-08,4.5208582832856337e-07
1889,1.1089291618304742e-07,4.817890157937654e-07
1890,8.520702365899524e-08,4.3258950199742685e-07
1891,5.290602622665119e-08,4.028507021303085e-07
1892,4.638699024894777e-08,4.362884737929562e-07
1893,5.665743257887712e-08,4.384792475775612e-07
1894,5.1042468918183204e-08,5.255483870314492e-07
1895,5.5973115919982774e-08,4.4236816165721393e-07
1896,6.309820932415278e-08,4.2812430933736323e-07
1897,5.477110853746581e-08,4.626410543551174e-07
1898,5.545187775624072e-08,5.279244987832499e-07
1899,9.0652287454418e-08,4.184376791727118e-07
1900,5.6582480922884315e-08,4.84325255456497e-07
1901,5.812288650375308e-08,4.34245009728329e-07
1902,4.713872386874485e-08,4.875911940871447e-07
1903,5.2922157323109786e-08,4.519984315720649e-07
1904,6.449550227216605e-08,3.982597149843059e-07
1905,6.812202002492995e-08,4.5466288156603696e-07
1906,1.358064730672126e-07,4.115347564948024e-07
1907,7.199980761596336e-08,4.618273408141249e-07
