enADPaileNOUN_count,enADPselleNOUN_count
36.00000244232611,48.99999918116791
70.00000084822773,113.00000358596094
82.99999951857963,100.99999941417516
74.00000396912847,60.9999998748344
86.00000530047787,83.0000034129991
68.00000068301568,28.000000483397365
98.99999792617263,68.00000171375886
35.00000131443872,77.00000317254258
99.99999298719925,44.99999745175578
63.999999702678245,83.00000371810151
65.9999995978288,86.99999615749128
52.999999977274854,43.99999794910305
68.00000196627256,77.99999982649432
38.999999017836636,42.99999863200782
35.99999883357184,44.000000957887266
65.9999976045879,31.000000651071815
98.00000487390771,91.00000469001343
57.999999266052185,88.99999584427903
150.00000589543188,126.00000054151084
260.99999032235525,219.9999978596771
56.00000225928904,244.00000086232473
97.00000201019961,262.9999923026508
355.00002283331014,192.00000468305004
90.99999802529521,241.00000496238277
141.00000161687453,256.99999190633434
206.0000016003593,416.00000009806234
197.00001068634958,236.00001041853872
160.99999672626242,230.00000766078128
166.9999978778399,323.99999713520174
114.0000003478837,395.0000178233684
110.00000264313339,354.0000048235593
205.00000419649606,211.00000109862177
156.00000074841205,393.9999831055755
74.00000371928729,482.00000760573425
169.00000268953173,466.00002118326324
119.99999568715425,1014.9999729153886
136.0000033550395,857.9999611829572
114.0000012697256,627.9999924491877
95.00000077571481,703.000032193595
201.9999901158115,596.000003728102
124.99999544727632,793.0000047054123
402.99999881492255,633.999970949454
153.00000020584437,923.0000224042575
235.99999552691943,876.9999407759083
162.99999380385964,948.9999553547235
166.9999995396258,875.9999504169083
111.99999893711507,963.9999863003382
147.00000268914627,865.9999653278417
137.99999697751835,952.9999815713164
98.00000140027481,712.9999850787304
111.00000097174893,699.0000173633722
186.999995976778,888.9999964566053
189.99999645236542,705.999985119648
176.00000259565658,990.0000004716477
170.99999796581358,956.9999840065227
164.9999980293946,1089.0000847332842
94.99999723051543,1248.9999627815753
188.0000017660843,1143.999919550464
132.00000773509237,1251.0000549105723
146.99999830783096,1617.9999818255114
230.00001412504866,1848.0000341189618
227.99998922931897,1576.999899057496
423.9999912160342,1683.9999489731135
246.00001464092745,1380.0000058019593
212.00001282831548,1327.0000001377298
232.00000396460536,1308.00004229574
211.00000408185718,1246.0000320915287
289.99999100174875,1547.9999947070921
288.9999749417803,1534.9999752070235
206.99998939820597,1353.000015788969
244.99999927117975,930.0000566943683
143.00000080238968,648.9999948611629
259.00000464719085,988.0000425254476
356.99999345448634,1097.999975619759
200.0000034938508,1292.0000681918152
328.00000794484845,1217.9999559246749
245.99999260296147,915.9999766068673
150.99998981626445,1221.9999248898766
236.00000231615593,944.0000195596357
153.9999905119647,1095.999980950751
201.99999578266477,982.9999363922499
138.99999398610245,768.9999948447548
118.00000364658534,1049.0000226687
158.0000025608452,1010.0000503364028
199.00000195770622,1037.999960324362
200.00000674688664,957.0000074944745
189.99999452195874,1216.9999078684523
147.99999964074627,1241.9999919481183
218.9999874199889,1224.9999420090817
174.99999927339576,1104.000006060707
118.0000030278048,1068.0000126589814
179.00000509871705,1134.0000088939487
147.9999975190823,1060.0000129049909
171.00000308963126,1426.0000035666328
253.99999071695336,1380.9999699624361
259.99998905216074,1358.9999740489598
176.0000104919503,1333.0000479724645
175.000003999926,1169.0000283581514
234.00001032630695,1202.0000283296654
177.99999458430995,1318.9999933233335
190.00000756023815,1117.0000382957219
167.99999576512656,1206.9999275592186
203.00001060079086,1150.0000528240591
149.00000239883852,1071.0000944169853
286.9999915214577,1250.9999244415137
206.99999830138125,1250.9999459980074
341.99999159980536,1080.9999989810144
392.9999980107196,1208.9999367700555
488.0000164586805,1308.0000942645702
280.00000488967765,1180.9999367702608
173.9999932921896,1134.999949824024
246.0000108812637,1035.000056250247
231.99999123508707,1028.9999325079452
253.99999226877327,1120.999981628353
238.99998910995905,914.9999503613967
116.00000271019432,604.0000216216821
198.00000441851566,628.0000482142871
95.99999767276378,521.999966541167
121.00000320267452,583.9999832496409
87.00000175722873,601.0000089458965
173.0000071500054,752.0000068073623
119.00000165383504,909.0000085132767
254.99998503631025,963.9999900609336
107.99999538444501,660.9999891037388
55.999999067301,598.9999997918877
58.999998381124996,640.9999985358818
64.00000078744488,532.9999988618143
48.00000090353229,605.0000286568426
72.0000017183962,472.00001538920003
76.99999818611997,612.0000022738466
84.00000074557235,603.0000003389796
81.0000031461303,512.0000053405943
87.99999801556915,612.0000156688595
64.99999829371697,456.99996438127806
73.00000013324424,461.9999954004006
79.00000107464282,497.0000051825694
70.99999500632556,529.9999829866516
52.99999690906278,517.9999741559616
44.999998697565125,427.9999919358062
128.9999941740488,361.0000070382978
53.99999861345237,137.00000442146018
24.999999692997594,187.00000227766918
45.99999848483458,156.00000272690696
35.999999464155614,292.0000008204759
18.99999948892149,322.99998799466465
73.00000124484879,348.99999802077684
56.9999982990564,486.00000497326926
78.00000044401958,527.9999898238107
102.99999754498211,677.9999723866283
77.99999747174459,670.999990754412
61.0000005548429,646.0000252068111
56.00000022221958,749.0000319216641
120.99999471028764,635.9999671285599
66.00000060707308,587.9999896702059
52.000000155936185,617.0000041398495
104.00000189570775,716.9999832603803
89.0000018068977,610.0000096952687
124.99999569143935,660.9999610432095
86.0000015233897,776.9999724517434
91.00000037521201,709.999976659326
108.99999933517371,884.9999540061617
93.9999994521896,974.0000278313508
104.99999954767165,1185.999966085968
107.99999708620331,921.0000113996213
84.99999701587181,960.9999883659005
142.00000301738922,1184.0000715666
154.00001044991086,1087.0000930382644
237.00000089079518,1491.0000046121752
215.99999603817795,1554.0000002805323
134.99999476719185,1362.9999447371201
146.0000002908843,1279.9999832895521
