year,tout_DET est_NOUN,tout_DET geste_NOUN
1800,1.6978488570629224e-07,1.8864986461863964e-08
1801,1.9763816005990975e-07,2.3811825400343878e-08
1802,1.656001700212073e-07,2.2378401354217203e-08
1803,2.4964341704958315e-07,3.900678446910888e-09
1804,2.1752287970855377e-07,9.887403784603066e-09
1805,1.535154026122143e-07,5.685755422035754e-09
1806,1.7578180955268863e-07,5.76333825108577e-09
1807,1.4804166736936963e-07,8.540865792383556e-09
1808,1.9488235869502546e-07,0.0
1809,1.6942728708890797e-07,2.25903047379461e-08
1810,1.7550950826006328e-07,4.680253518074551e-09
1811,1.7298828991485493e-07,0.0
1812,1.1468995353425271e-07,4.000812481308458e-08
1813,1.1790540810352468e-07,4.026038169513413e-08
1814,1.573338606064567e-07,3.1466771410748606e-09
1815,1.5104452599778995e-07,1.0788894222457657e-08
1816,1.7845550281947453e-07,2.3176038865813098e-09
1817,2.3975850904633944e-07,4.3592454090912724e-08
1818,1.9193095424085982e-07,3.5763532135746345e-09
1819,1.7907316696152975e-07,3.1053151161586356e-09
1820,1.803705185210447e-07,9.493184904840746e-09
1821,2.080774066381963e-07,9.86148829262845e-10
1822,2.7069162911175226e-07,6.015369535816717e-09
1823,1.8184144268129643e-07,6.917880934764753e-09
1824,2.0210671003439984e-07,5.052667617633233e-09
1825,1.532147047011989e-07,5.283265824829186e-09
1826,1.5766292327246134e-07,1.145037931138404e-08
1827,1.6130227153965393e-07,1.1060727667100423e-08
1828,2.494865934399293e-07,1.8344602503717056e-09
1829,1.6974888789045295e-07,5.143905579263475e-09
1830,2.3795985648611406e-07,1.7742620928018482e-08
1831,2.822008351444083e-07,3.4300654760954785e-08
1832,1.9889055113964105e-07,2.3000948701223933e-08
1833,2.9190743866536195e-07,2.3167257001688313e-09
1834,2.1282730222615953e-07,1.4935249037506537e-08
1835,2.1327907973045512e-07,2.117664621437143e-08
1836,2.00950428630442e-07,2.4866775305554256e-08
1837,1.642062215090334e-07,1.7394727436226276e-08
1838,1.8747121433015934e-07,4.418513555037862e-09
1839,1.5660905028358485e-07,1.8876983531868063e-08
1840,2.420481717280154e-07,1.4013315119409953e-08
1841,2.433387904510198e-07,2.5682193260934127e-08
1842,2.3680174976448143e-07,3.3541325272778977e-09
1843,2.994803821043668e-07,1.1813821920725331e-08
1844,2.255798698946876e-07,2.085653344474636e-08
1845,2.0814249968026388e-07,1.6182660211860878e-08
1846,1.9612578761041277e-07,8.781752214304106e-09
1847,1.9954928109910952e-07,1.1865092020002521e-08
1848,1.8986722810643286e-07,1.769948809737798e-08
1849,1.474776984977666e-07,3.770736789476814e-08
1850,2.2335796501238292e-07,1.0183494048021657e-08
1851,2.2573035773909567e-07,2.1283147688677673e-08
1852,2.819066251547042e-07,1.3021090650155998e-08
1853,2.4962674904926985e-07,2.0901761432767785e-08
1854,2.8368327964489737e-07,8.313063126763609e-09
1855,2.52079509266423e-07,2.388121700391821e-08
1856,2.2831403917455972e-07,8.80122141833084e-09
1857,1.7329356838402532e-07,4.393358121745905e-09
1858,2.5838609341022334e-07,1.2723557318849998e-08
1859,2.7395892732151594e-07,9.675129808428551e-09
1860,2.6730754232318077e-07,1.5104707040691778e-08
1861,2.2872423566244748e-07,1.792066162131789e-08
1862,1.7665326149107763e-07,1.0391368709949944e-08
1863,2.4523588804115093e-07,2.9468263607057565e-08
1864,2.5076426801717844e-07,7.671564716815737e-09
1865,2.381663309347637e-07,1.0825742080555756e-08
1866,2.106810375046564e-07,1.3623716377253459e-08
1867,1.8974493620760313e-07,1.261730986357179e-08
1868,1.5264211083998447e-07,1.2349685274415378e-08
1869,2.3196716092410696e-07,2.4417595945180892e-08
1870,2.0126510946738563e-07,9.747882501187632e-09
1871,1.4763436118059303e-07,8.496941816815706e-09
1872,1.7355863779489056e-07,1.2094678814023041e-08
1873,1.747913245253585e-07,1.4366410616695191e-08
1874,1.4279316085108462e-07,5.377148393215236e-09
1875,1.853774801996444e-07,9.7265964171811e-09
1876,2.073783065270618e-07,9.673623235784135e-09
1877,1.781227026986798e-07,1.2369631874342701e-08
1878,2.0110165838138627e-07,4.831270938865373e-09
1879,1.4356914590507586e-07,9.774920206595539e-09
1880,1.4183440000259395e-07,5.776061628992579e-09
1881,1.6455118206915031e-07,6.2752567586699115e-09
1882,1.397630882138401e-07,1.3976308999019693e-08
1883,1.2891451151020306e-07,5.0554711528150165e-09
1884,1.5580005108262185e-07,2.178559999066465e-08
1885,1.2117795239463547e-07,2.8360796489046436e-08
1886,1.1616235012779086e-07,1.8715045291273213e-08
1887,1.469008013010864e-07,2.7421483306255823e-08
1888,1.3061665993241434e-07,2.663058196183954e-08
1889,1.334474115100015e-07,2.8193114509633688e-08
1890,1.0683649637188708e-07,1.835228202740069e-08
1891,1.4278253079869074e-07,8.92390783491237e-09
1892,1.191017324764232e-07,2.6954602549977835e-08
1893,1.1947327882566583e-07,2.5249508261993014e-08
1894,1.172086308010023e-07,3.402831327825595e-08
1895,1.4264115932860477e-07,2.2870735083557747e-08
1896,1.4919483309894233e-07,3.479247268067809e-08
1897,1.3110105401281658e-07,2.1558839713442524e-08
1898,1.2165463170177304e-07,2.8857609191135225e-08
1899,1.2934533266673043e-07,2.984892333302014e-08
1900,1.2718080344420457e-07,3.7375582850884825e-08
1901,9.947955481592885e-08,2.4031577172678453e-08
1902,1.0115184967407487e-07,2.6515533324555918e-08
1903,9.558389790775834e-08,2.808114585306498e-08
1904,1.1877921668457248e-07,2.8485514391718425e-08
1905,1.083759421094399e-07,3.096455447604285e-08
1906,1.2088833789558606e-07,2.8807432883581896e-08
1907,9.205689399660599e-08,4.6285589583305864e-08
1908,1.1492650808797578e-07,6.384805750769829e-08
1909,1.0396858840522327e-07,6.711199773690169e-08
1910,1.2131222038025413e-07,7.054278761131627e-08
1911,9.94909949980638e-08,7.022893822039578e-08
1912,1.323192965752007e-07,6.407587971324347e-08
1913,1.3416564148549526e-07,5.1969299752485654e-08
1914,1.4866771175237048e-07,5.2234599756673106e-08
1915,8.246533278466472e-08,1.1662954602087439e-07
1916,9.449217319712488e-08,1.2415832362222545e-07
