year,petit_ADJ geste_NOUN
1800,1.5720821977538435e-08
1801,4.7623651688866175e-09
1802,1.1189200677108602e-08
1803,7.801356893821776e-09
1804,0.0
1805,8.528632911009026e-09
1806,2.881669125542885e-08
1807,2.8469550272802735e-08
1808,0.0
1809,1.129515236897305e-08
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,0.0
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,6.952811659743929e-09
1817,0.0
1818,0.0
1819,8.280840013696888e-09
1820,9.493184904840746e-09
1821,1.4792232327920374e-08
1822,3.0076847679083585e-09
1823,3.162459805139406e-08
1824,1.9368560089105813e-08
1825,1.4088708866211164e-08
1826,0.0
1827,9.217273055917019e-10
1828,1.4675682002973645e-08
1829,3.429270423183084e-09
1830,9.39315203396518e-09
1831,9.354723218280014e-09
1832,1.0823975493678972e-08
1833,1.1583628500844156e-09
1834,1.6802156110884425e-08
1835,6.050470346963266e-09
1836,1.2097349788575684e-08
1837,2.435261770017405e-08
1838,3.029837714052519e-08
1839,1.0487212875887053e-08
1840,9.554533164646273e-09
1841,3.0818632978935057e-08
1842,2.2137275124123335e-08
1843,2.7171790151214736e-08
1844,2.25031016043431e-08
1845,3.4039391749729475e-08
1846,4.8006910446929396e-08
1847,8.629157832729106e-09
1848,1.609044275596716e-08
1849,9.217356655710773e-09
1850,1.3577992064028876e-08
1851,9.029214709244116e-09
1852,6.510545436100301e-09
1853,2.7470886010405593e-08
1854,2.5458755104068587e-08
1855,3.714855978387277e-08
1856,2.2779632402603056e-08
1857,2.39193944651106e-08
1858,2.0064071293290908e-08
1859,2.036869339860914e-08
1860,2.1055045706930287e-08
1861,2.87673795895671e-08
1862,1.9427341513278407e-08
1863,2.4973104473247076e-08
1864,2.8768367243969806e-08
1865,2.7770381549885315e-08
1866,1.751620715140234e-08
1867,3.930777126015528e-08
1868,3.754304245262574e-08
1869,4.2974967584541446e-08
1870,2.8670243068518175e-08
1871,2.7615060460561835e-08
1872,2.7213026498884574e-08
1873,1.616221290134945e-08
1874,5.675878611555163e-08
1875,2.460256709468922e-08
1876,3.506688628363008e-08
1877,3.0924081073635534e-08
1878,2.1740719446938783e-08
1879,6.292604837199178e-08
1880,5.840239936105718e-08
1881,2.022027167924989e-08
1882,4.1263387373646765e-08
1883,4.044376922252013e-08
1884,4.291102939646407e-08
1885,5.0920522909336796e-08
1886,1.871504551331782e-08
1887,4.83140425444617e-08
1888,4.818867083145051e-08
1889,4.1349903057152915e-08
1890,7.996351314432104e-08
1891,4.780665108228277e-08
1892,6.958048714977849e-08
1893,3.510297474917934e-08
1894,5.797416235964192e-08
1895,5.958428417329742e-08
1896,6.663642437843009e-08
1897,4.603103676004139e-08
1898,7.695362569393183e-08
1899,7.95971288880537e-08
1900,7.786579914181857e-08
1901,6.985923306501718e-08
1902,7.610940144786582e-08
1903,6.210253644667318e-08
1904,4.460938995975994e-08
1905,5.625227217365136e-08
1906,6.790323681116206e-08
1907,6.839981381290272e-08
1908,7.317969874520713e-08
1909,7.041258953677243e-08
1910,8.01622590529405e-08
1911,6.065226187956796e-08
1912,5.938740343935933e-08
1913,7.68933503536573e-08
1914,1.0647822534792795e-07
1915,8.364340686739524e-08
1916,8.899844061716067e-08
1917,1.337903796638784e-07
1918,8.844509835626013e-08
1919,1.5192949831543956e-07
1920,1.1812681321998753e-07
1921,1.1964941393216577e-07
1922,1.2468710508528602e-07
1923,1.210218130154317e-07
1924,1.5083200821663922e-07
1925,1.3967685674742825e-07
1926,1.5716055656866956e-07
1927,2.1852480358575121e-07
1928,1.3139947441231925e-07
1929,1.325708325339292e-07
1930,1.5860440782944352e-07
1931,1.3344266847070685e-07
1932,1.1397918342481717e-07
1933,9.291236580111217e-08
1934,8.74655370353139e-08
1935,1.4361941680363088e-07
1936,1.0790996185505719e-07
1937,1.1583829007122404e-07
1938,1.387277990261282e-07
1939,1.0247013904063351e-07
1940,8.368083825871508e-08
1941,1.4167213180371618e-07
1942,1.1833425617169269e-07
1943,1.6258117341294565e-07
1944,1.5744612369417155e-07
1945,2.287429197167512e-07
1946,1.6844536787630204e-07
1947,1.5973967038007686e-07
1948,1.9678117268995265e-07
1949,1.8750485253349325e-07
1950,1.744199238373767e-07
1951,1.8657452471870783e-07
1952,1.8769750909086724e-07
1953,1.5622049431840423e-07
1954,1.8958719749662123e-07
1955,1.651866909924138e-07
1956,2.1977277242513082e-07
1957,1.5549666443348542e-07
1958,1.919160439456391e-07
1959,1.1858644199946866e-07
1960,1.557187516709746e-07
1961,1.8482103314454434e-07
1962,1.6489086362980743e-07
1963,1.9980105037120666e-07
1964,1.4844883367004513e-07
1965,1.4446194995798578e-07
1966,1.8112774569090107e-07
1967,1.7256174089652632e-07
1968,1.693263840252257e-07
1969,1.5896152660843654e-07
1970,1.398012443587504e-07
1971,1.351398566384887e-07
1972,1.1491528795204431e-07
1973,1.1743124161966989e-07
1974,1.248876912995911e-07
1975,1.176564907723332e-07
1976,1.1427053436818824e-07
1977,1.204740271987248e-07
1978,9.207916917830516e-08
1979,1.228914356943278e-07
1980,1.2336776933352667e-07
1981,1.4928296820926334e-07
1982,1.2042553976243653e-07
1983,1.3514775787371036e-07
1984,1.4729481279118772e-07
1985,1.5941229492000275e-07
1986,1.228869450642378e-07
1987,1.3566013024046697e-07
1988,1.247283165639601e-07
1989,1.5202098779809603e-07
1990,1.3185734815124306e-07
1991,1.1547086131713513e-07
1992,1.305856756061985e-07
1993,1.2463216592095705e-07
1994,1.3292815026488825e-07
1995,1.2634311019610323e-07
1996,1.2651278780140274e-07
1997,1.3905193441132724e-07
1998,1.4876563625421113e-07
1999,1.398481543901653e-07
2000,1.241466804913216e-07
2001,1.3932253750681411e-07
2002,1.445803121669087e-07
2003,1.5625960259058047e-07
2004,1.6253679291367007e-07
2005,1.6483723186411225e-07
2006,1.7912820737819857e-07
2007,2.7322238338456373e-07
2008,2.899316484672454e-07
2009,3.304357392153179e-07
2010,4.756859652843559e-07
2011,5.965396212559426e-07
2012,7.445100891345646e-07
2013,7.566896442767757e-07
2014,8.048959898587782e-07
2015,7.327998332584684e-07
2016,7.245547521961271e-07
2017,7.795879355398938e-07
2018,8.012872854123998e-07
2019,7.464190048267483e-07
