year,sont_VERB égales_ADJ,sont_VERB egales_ADJ,sont_VERB légales_ADJ
1800,3.6095009363634745e-06,6.288328968651058e-09,3.144164484325529e-09
1801,2.1644950720656198e-06,9.524730337773235e-09,9.524730337773235e-09
1802,2.398964625172084e-06,1.7902721083373763e-08,2.9091921760482364e-08
1803,2.3287050225917483e-06,5.851017803593095e-08,3.900678446910888e-09
1804,3.739910425792914e-06,1.2359254952798437e-08,1.730295728918918e-08
1805,1.7341553757432848e-06,0.0,5.685755422035754e-09
1806,2.726058937696507e-06,5.76333825108577e-09,8.645007376628655e-09
1807,2.969374236272415e-06,0.0,5.97860605466849e-08
1808,2.145972075595637e-06,4.5321479902327155e-09,2.2660739062985158e-08
1809,2.9774021186312893e-06,6.7770917766551975e-09,2.25903047379461e-08
1810,2.5717993139551254e-06,7.020380277111826e-09,2.3401267590372754e-09
1811,3.3469475511083147e-06,1.2535384286138651e-08,1.504245972228091e-08
1812,3.0406174573727185e-06,5.3344166417446104e-08,4.800974906515876e-08
1813,3.1374340778711485e-06,2.8757416448144113e-09,1.4378708002027452e-08
1814,1.7526991769045708e-06,1.2586708564299443e-08,0.0
1815,1.4969590438340674e-06,2.697223555614414e-09,8.091670444798638e-09
1816,2.711596607696265e-06,9.270415546325239e-09,4.6352077731626196e-09
1817,1.9180679373675957e-06,6.227493631882908e-09,6.227493631882908e-09
1818,1.3494773156708106e-06,7.152706427149269e-09,7.152706427149269e-09
1819,1.662378622313554e-06,9.315945348475907e-09,3.2088255608186955e-08
1820,9.505051252745034e-07,3.441279616822612e-08,5.933240565525466e-09
1821,1.4575280147255398e-06,9.861488514673056e-09,2.9584463767662328e-09
1822,1.7655110013947706e-06,7.017931125119503e-09,3.308453244699194e-08
1823,1.3855526503903093e-06,5.929612356680991e-09,2.2730180404550993e-08
1824,1.422325908606581e-06,5.052667617633233e-09,1.0105335235266466e-08
1825,1.8288905039298697e-06,4.4027217427355936e-09,1.4088708866211164e-08
1826,1.6418082395830425e-06,8.80798456392995e-09,2.9066348328221636e-08
1827,1.5033372164907632e-06,4.608636583469661e-09,1.8434546333878643e-08
1828,1.6647726397422957e-06,3.668920500743411e-09,2.659967357487858e-08
1829,1.1942433957301546e-06,2.571952872898464e-09,2.2290258527846163e-08
1830,1.823315187721164e-06,4.174734336004349e-09,1.3567886369969528e-08
1831,1.7337421240881667e-06,1.2472964883158966e-08,6.236482441579483e-09
1832,1.316466068601585e-06,8.117981842303834e-09,2.0294953273491956e-08
1833,1.5162969475568389e-06,1.3900354645102198e-08,2.4325620628928846e-08
1834,1.3395051610132214e-06,3.733812370398937e-09,2.333632664885954e-08
1835,1.4377429806700093e-06,2.2689263801112247e-09,3.1764969321557146e-08
1836,1.3622960750581115e-06,8.736974699274924e-09,2.2850549896702432e-08
1837,1.6427580931122066e-06,4.174734336004349e-09,1.461157062010443e-08
1838,1.5786716858201544e-06,3.1560809521380406e-09,2.5248647617104325e-08
1839,1.353549578197999e-06,2.7965900706306e-09,2.0974425751774106e-08
1840,1.235719651049294e-06,6.3696887764308485e-09,2.165694112932215e-08
1841,1.2879620499006705e-06,5.778493683550323e-09,2.24719207686519e-08
1842,1.3027450904701254e-06,3.3541325272778977e-09,3.152884531232303e-08
1843,1.5588337873850833e-06,5.31621990873532e-09,1.9492807368237663e-08
1844,1.5741193237772677e-06,3.2931368743049916e-09,1.756339607084101e-08
1845,1.3643657439388335e-06,3.348136878855712e-09,4.40837995552279e-08
1846,1.2593031897267792e-06,3.5127007969038004e-09,1.2879903366069811e-08
1847,1.461563556404144e-06,3.235934187273415e-09,4.584240009819496e-08
1848,1.5849086594244e-06,1.6090443422100975e-09,5.792559676365272e-08
