year,fut_VERB à_ADP,fut_VERB a_ADP,fut_VERB las_ADJ
1800,9.784639587451238e-06,1.8864987794131594e-08,2.5153315874604232e-08
1801,1.0210510481556412e-05,4.0480104601670064e-08,3.333655484993869e-08
1802,1.0041188943432644e-05,2.6854081625060644e-08,5.370816325012129e-08
1803,8.680959581397474e-06,3.705644502360883e-08,3.510610468993036e-08
1804,9.835494893195573e-06,5.932442159739537e-08,4.943701892301533e-09
1805,1.1127023753942922e-05,7.391481915419718e-08,8.528632911009026e-09
1806,1.0996449418598786e-05,7.492339904047185e-08,3.7461699520235925e-08
1807,9.423421033716295e-06,5.978605877032805e-08,6.263301344233696e-08
1808,1.060749218595447e-05,4.5321479902327155e-08,2.945896149242344e-08
1809,9.679945833340753e-06,4.5180611252249037e-08,1.8072244145628247e-08
1810,1.035272089211503e-05,7.020380188293984e-08,4.680253340438867e-08
1811,1.2176871678093448e-05,1.1031137958639192e-07,2.5070768572277302e-08
1812,1.0844868484127801e-05,5.60113715408761e-08,2.6672082320544632e-09
1813,1.104572402255144e-05,6.901779769918903e-08,8.627225156487839e-09
1814,1.3304151252668817e-05,1.1328037530233814e-07,6.922689976818219e-08
1815,1.3510392818716355e-05,9.170560399951455e-08,1.8880564667256294e-08
1816,1.0952995580737479e-05,5.3304887615013286e-08,1.1588019432906549e-08
1817,1.1253080629103351e-05,5.1376821463833267e-08,1.2454987263765815e-08
1818,1.2114300261600874e-05,8.106400350982312e-08,4.2916237674717195e-08
1819,1.2831161257054191e-05,6.417651354784226e-08,3.3123360054787554e-08
1820,1.288818475586595e-05,9.137190204455692e-08,8.899861114741725e-08
1821,1.1964943951170426e-05,7.889190634102761e-08,3.4515210245444905e-08
1822,1.3124533325026277e-05,5.81485721795616e-08,1.9048670196752937e-08
1823,1.3864421816833783e-05,8.696764730586892e-08,4.644862983127496e-08
1824,1.4117153114057146e-05,1.178955804093107e-07,2.3579115548955087e-08
1825,1.4963089597586077e-05,8.277116414490138e-08,4.6668848341369085e-08
1826,1.2403403161442839e-05,4.844391454650321e-08,3.8755132436563144e-08
1827,1.2244225217727944e-05,6.083400216905233e-08,2.1199728195142598e-08
1828,1.0762778401840478e-05,4.219258409321469e-08,4.586150481600271e-08
1829,1.2425961358530913e-05,4.8009785869052024e-08,5.744027831156018e-08
1830,1.184372104034992e-05,1.7846989486258735e-07,3.652892388572582e-08
1831,1.0276164175593294e-05,9.042899762334855e-08,2.182768810143898e-08
1832,1.1235286365263164e-05,7.170883620233326e-08,6.088486514954639e-08
1833,1.0977804777212441e-05,6.023486709416659e-08,5.21263281427764e-08
1834,1.064416574081406e-05,6.814207687000362e-08,2.333632664885954e-08
1835,1.1700097275024746e-05,9.983276072489389e-08,2.0420337421001022e-08
1836,1.2580571819853503e-05,1.229897250709655e-07,1.8146025126952736e-08
1837,1.2090031304978766e-05,6.540417185618708e-08,3.270208637218275e-08
1838,1.4148710761219263e-05,1.161437792607245e-07,1.64116205070286e-08
1839,1.132199486164609e-05,7.69062267202969e-08,2.6567605004856887e-08
1840,1.1834881661343388e-05,1.006410839110572e-07,4.968357103507515e-08
