year,soient_VERB à_ADP,soient_VERB a_ADP,soient_VERB là_ADV
1800,1.8299036810276448e-06,1.7607320756951594e-07,1.6349655140857067e-07
1801,2.0168615719740046e-06,3.333655596016172e-08,5.9529565277216534e-08
1802,1.9290182535769418e-06,2.6854081625060644e-08,8.280008501060365e-08
1803,1.6714407138351817e-06,1.7553053011098996e-08,1.4822578009443532e-07
1804,1.92309994417883e-06,2.471850879537385e-08,6.921182915675672e-08
1805,1.8649277535587316e-06,1.421438877713399e-08,3.4114531644036106e-08
1806,1.939363301062258e-06,2.0171683878800195e-08,4.610670600868616e-08
1807,2.0697364107036265e-06,2.2775641372874134e-08,1.2526602688467392e-07
1808,1.423094431629579e-06,3.852325791697808e-08,1.246340701754889e-07
1809,2.259030452478328e-06,2.2590304959990704e-08,6.325285539787728e-08
1810,1.4602391047446872e-06,4.212228255084938e-08,1.2402671245581587e-07
1811,1.7323900465271436e-06,4.262030373070047e-08,5.264861258069686e-08
1812,1.7310181874563568e-06,8.00162469616339e-09,1.360276229434021e-07
1813,1.345847067568684e-06,6.039057254270119e-08,5.463909147351842e-08
1814,1.4915249266778119e-06,4.720015622794449e-08,5.034683425719777e-08
1815,1.542811901344976e-06,3.236668177919455e-08,1.294667271167782e-07
1816,1.8193190953752492e-06,3.9399266071882266e-08,7.416332437060191e-08
1817,1.5631009091521264e-06,2.9580594862466114e-08,7.628679554727569e-08
1818,1.44961518344644e-06,1.549753014806754e-08,6.079800130009971e-08
1819,1.68411588674644e-06,3.105315027340794e-08,1.3145833577254962e-07
1820,1.5094163927642512e-06,2.4919610375206958e-08,1.044250339532482e-07
1821,1.7494280655228067e-06,3.94459531705138e-09,1.6665914870372944e-07
1822,1.7845595721155405e-06,2.0051231786055723e-08,1.1830226753772877e-07
1823,1.3420689128906815e-06,1.9765373782121287e-09,1.2155705064742506e-07
1824,1.466957883167197e-06,7.57900142644985e-09,7.157945702829238e-08
1825,1.6457372566947015e-06,2.0252518773133943e-08,1.5673688835704525e-07
1826,1.6338810837623896e-06,3.170874396385415e-08,1.1274219957613241e-07
1827,1.7899943713928224e-06,3.5025638112085034e-08,1.0784209791836474e-07
1828,1.6904550648177974e-06,9.17230136288083e-09,1.0915038473058303e-07
1829,1.4128594330031774e-06,3.343538718114658e-08,1.217391059071815e-07
1830,1.658413225413824e-06,3.1310507520032616e-09,1.49246758951449e-07
