year,avait_VERB eu_VERB,avait_VERB lu_VERB
1800,1.2391152267809957e-05,8.017619279598875e-07
1801,1.138919651566539e-05,5.810085781376984e-07
1802,7.617607934662374e-06,3.7819498288627074e-07
1803,1.0118359568878077e-05,3.842168325718376e-07
1804,1.3528439922083635e-05,6.847026838840975e-07
1805,1.1561983228602912e-05,4.5770332235406386e-07
1806,1.0907117939495947e-05,6.916005759194377e-07
1807,1.8698801795835607e-05,5.779318712484383e-07
1808,1.3834382116328925e-05,6.503632334897702e-07
1809,1.7141523130703717e-05,7.522571650042664e-07
1810,1.453920776839368e-05,6.716163625242189e-07
1811,2.3466238417313434e-05,9.075617981579853e-07
1812,2.3106025764718652e-05,1.117560259444872e-06
1813,2.3678856450715102e-05,1.564403419251903e-06
1814,1.9320597857586108e-05,1.0352567869631457e-06
1815,1.9770648577832617e-05,9.602115369489184e-07
1816,1.8334563719690777e-05,9.386295687363599e-07
1817,2.0687733922386542e-05,1.1723257102858042e-06
1818,2.3510945538873784e-05,1.226689164468553e-06
1819,2.3209124265122227e-05,9.937008371707634e-07
1820,2.4361885152757168e-05,1.1474887742224382e-06
1821,2.5530407583573833e-05,1.4437218851526268e-06
1822,2.5793904569582082e-05,1.4236375136533752e-06
1823,2.578294152044691e-05,1.1997582305411925e-06
1824,2.5482286218903027e-05,1.2825354360757046e-06
1825,2.6175059247179888e-05,1.3040861404078896e-06
1826,2.7164704079041258e-05,1.0322958132746862e-06
1827,2.9689757866435684e-05,1.3411132613327936e-06
1828,2.8421292881830595e-05,1.2254193961780402e-06
1829,3.514916534186341e-05,1.3202691206970485e-06
1830,3.099426976405084e-05,1.3275655419420218e-06
1831,2.8018956072628498e-05,1.1896090654772706e-06
1832,2.9910703233326785e-05,1.3259369779916597e-06
1833,2.7746265914174728e-05,1.2197560863569379e-06
1834,2.833496910170652e-05,1.3693756955035497e-06
1835,2.9176881071180105e-05,1.1586650998651749e-06
1836,2.799259527819231e-05,1.0578460205579177e-06
1837,2.9207138140918687e-05,1.209281435876619e-06
1838,3.0011173294042237e-05,1.2510704436863307e-06
1839,2.968230728583876e-05,1.1263266515015857e-06
1840,3.34848155034706e-05,1.2414523098414065e-06
1841,2.7531312298378907e-05,1.3695030247617979e-06
1842,3.311266846139915e-05,1.3027450904701254e-06
1843,2.855932507372927e-05,1.4997647213021992e-06
1844,3.128260505036451e-05,1.3348180800676346e-06
1845,3.197637852281332e-05,1.3889186902815709e-06
1846,3.0318120479932986e-05,1.3588297633759794e-06
1847,3.148024552501738e-05,1.4194964705893653e-06
1848,2.7911288270843215e-05,1.2285053117011557e-06
1849,3.179652776452713e-05,1.2166910892119631e-06
1850,2.8255801225895993e-05,1.1425880757087725e-06
1851,2.934817166533321e-05,1.347932652606687e-06
1852,2.822972419380676e-05,1.5410461173814838e-06
1853,2.901283914980013e-05,1.380710614284908e-06
1854,2.812153434206266e-05,1.3363248854147969e-06
1855,3.123928399872966e-05,1.563423666084418e-06
1856,2.9078200896037742e-05,1.3124174529366428e-06
1857,2.884093191823922e-05,1.5093626188900089e-06
1858,2.979318924190011e-05,1.3589738045993727e-06
1859,3.131839548586868e-05,1.6447719417556073e-06
1860,3.206225665053353e-05,1.6294774241032428e-06
1861,2.8915459552081302e-05,1.5251426930262824e-06
1862,3.0668994440929964e-05,1.561416070217092e-06
1863,2.8671620384557173e-05,1.5912861499600695e-06
1864,2.8052514608134516e-05,1.3976631407786044e-06
1865,2.97373717330629e-05,1.539138111184002e-06
1866,2.990746361319907e-05,1.5677004512326675e-06
1867,3.005491817020811e-05,1.4048889624973526e-06
1868,2.825360934366472e-05,1.2823912811654736e-06
1869,2.9599497793242335e-05,1.650629428695538e-06
1870,3.0288965717772953e-05,1.7121869859693106e-06
1871,2.718065479712095e-05,1.1014160463673761e-06
1872,2.882766602851916e-05,1.5215105122479144e-06
1873,2.7530233637662604e-05,1.1319534678477794e-06
1874,2.8935630325577222e-05,1.2660196944125346e-06
1875,2.8183671020087786e-05,1.3045081459495123e-06
1876,2.71206081379205e-05,1.2515250773503794e-06
1877,2.6672018066165037e-05,1.5560997326247161e-06
1878,2.8108937840443105e-05,1.3781200323137455e-06
1879,2.8256239602342248e-05,1.439356992705143e-06
1880,2.6748941309051588e-05,1.5133281294765766e-06
1881,2.6584777515381575e-05,1.3477857692123507e-06
1882,2.6939002054859884e-05,1.5606877923346474e-06
1883,2.6016086849267595e-05,1.4332260889204917e-06
1884,2.7030648197978735e-05,1.2232944754941855e-06
1885,2.6017163690994494e-05,1.3929018223279854e-06
1886,2.609458169899881e-05,1.2209953865749412e-06
1887,2.5163128157146275e-05,1.2875038919446524e-06
1888,2.5867171643767506e-05,1.3080688177069533e-06
1889,2.4682758521521464e-05,1.3614142062579049e-06
1890,2.495844819350168e-05,1.133253476837126e-06
1891,2.3974078430910595e-05,1.2773937214660691e-06
1892,2.399774530204013e-05,1.167196955975669e-06
1893,2.501179369573947e-05,1.207049649565306e-06
1894,2.503160430933349e-05,1.21430662147759e-06
1895,2.4995908461278304e-05,1.2819648418371798e-06
1896,2.4695578758837655e-05,1.298525830861763e-06
1897,2.355973447265569e-05,1.1070756045228336e-06
1898,2.411986861261539e-05,1.2482330475904746e-06
1899,2.3905671696411446e-05,1.161896989287925e-06
1900,2.3063848857418634e-05,1.1555284800124355e-06
1901,2.3524678908870555e-05,1.217227350025496e-06
1902,1.994851845665835e-05,1.059148189597181e-06
1903,2.2519458070746623e-05,1.2587913715833565e-06
1904,2.202628820668906e-05,1.2968970395377255e-06
1905,2.1992058464093134e-05,1.267482389266661e-06
1906,2.25958301598439e-05,1.3637232996188686e-06
1907,2.129600034095347e-05,1.263596573153336e-06
1908,2.1656769604305737e-05,1.4390369642569567e-06
1909,2.2620593881583773e-05,1.3383893247009837e-06
1910,2.1715955881518312e-05,1.3675681884706137e-06
1911,2.1562413166975603e-05,1.2869985539509798e-06
1912,2.121276338584721e-05,1.4424887240238604e-06
1913,2.048173701041378e-05,1.3034748462814605e-06
1914,2.03741728910245e-05,1.3661357343153213e-06
1915,1.9924802472814918e-05,1.113281996367732e-06
1916,1.993784826481715e-05,1.3448653817249578e-06
1917,1.9636479919427074e-05,1.3982190694150631e-06
1918,1.934190913743805e-05,1.3450546703097643e-06
1919,1.9195602362742648e-05,1.403276087330596e-06
1920,1.937885463121347e-05,1.1850543160107918e-06
1921,2.015032441704534e-05,1.4327638382383157e-06
1922,2.018529448832851e-05,1.2726939075946575e-06
1923,2.0776471501449123e-05,1.6093777048808988e-06
1924,2.0631756342481822e-05,1.6462604435218964e-06
1925,2.0511601178441197e-05,1.655225787544623e-06
1926,2.0429757569218054e-05,1.5526570678048301e-06
1927,2.4165945433196612e-05,1.8173236639995594e-06
1928,2.065371154458262e-05,1.5505138435401022e-06
1929,2.2210628230823204e-05,1.6131308484546025e-06
1930,2.101876089000143e-05,1.648015427235805e-06
1931,1.942218113981653e-05,1.4017183502801345e-06
1932,2.0293773559387773e-05,1.4258357623475604e-06
1933,2.0468249203986488e-05,1.5519806311203865e-06
1934,1.9508408513502218e-05,1.364702029604814e-06
1935,1.903076918097213e-05,1.4278163007475086e-06
1936,1.8475640899850987e-05,1.4234415175451431e-06
1937,1.9093171431450173e-05,1.3875412605557358e-06
1938,1.8222608559881337e-05,1.3380101790971821e-06
1939,1.7468864825787023e-05,1.2495239616328035e-06
1940,1.6457230231026188e-05,1.1639243666650145e-06
1941,1.832587986427825e-05,1.4403332215806586e-06
1942,1.785330277925823e-05,1.456421614420833e-06
1943,1.9782644812949002e-05,1.6374247024941724e-06
