year,eût_VERB assez_ADV,eût_VERB lassé_VERB
1800,3.20704771183955e-07,0.0
1801,2.4288061695187935e-07,0.0
1802,3.110597788236191e-07,0.0
1803,2.6719646939454833e-07,0.0
1804,2.694317515761213e-07,0.0
1805,4.09374393939288e-07,0.0
1806,4.553037342702737e-07,0.0
1807,3.7295112065294234e-07,0.0
1808,2.900574713748938e-07,0.0
1809,4.179206598564633e-07,2.259030518203531e-09
1810,4.376037168185576e-07,0.0
1811,3.334412213007454e-07,1.7549536934780008e-08
1812,3.0939614248381986e-07,0.0
1813,3.6521919355436694e-07,0.0
1814,2.0768068509369186e-07,0.0
1815,4.180696464572975e-07,8.091670444798638e-09
1816,3.1287652291212e-07,0.0
1817,3.26943421669057e-07,1.556873407970727e-09
1818,2.9564520787062065e-07,0.0
1819,3.7884842640778515e-07,7.24573512300708e-09
1820,3.9871378021416604e-07,0.0
1821,3.2444296493849833e-07,0.0
1822,3.478888856989215e-07,5.012807946513931e-09
1823,4.36814758586479e-07,9.882686891060644e-10
1824,3.915817501365382e-07,3.3684450784221553e-09
1825,3.7247025375108933e-07,7.044354433105582e-09
1826,3.1884903251011565e-07,8.807984341885344e-10
1827,3.7145611031519365e-07,0.0
1828,3.182788645972323e-07,0.0
1829,2.717696929721569e-07,0.0
1830,2.776198471110547e-07,0.0
1831,1.9956743813054345e-07,4.677361609140007e-09
1832,3.396022236756835e-07,2.705993873419743e-09
1833,2.617900065615686e-07,0.0
1834,2.5016544213940506e-07,9.334530925997342e-10
1835,2.805905694458488e-07,0.0
1836,2.4799567199806916e-07,1.3441500135158435e-09
1837,2.497882860552636e-07,0.0
1838,3.3075727401410404e-07,1.2624323808552163e-09
1839,2.9993427119734406e-07,3.4957374772659477e-09
1840,2.6561602339825185e-07,9.554533164646273e-09
1841,1.9646878968160308e-07,5.1364388298225094e-09
1842,2.851012652627105e-07,0.0
1843,2.2209985672816401e-07,3.5441467538532834e-09
1844,2.0143019696661213e-07,9.879410178825765e-09
1845,2.382757315899653e-07,5.580227835366713e-09
1846,2.2305650304588198e-07,8.781752214304106e-09
1847,1.8768417930914438e-07,2.1572894581822766e-09
1848,1.5768634398227732e-07,8.04522137798358e-09
