year,petit_ADJ art_NOUN,petit_ADJ lard_NOUN
1800,6.288328657788611e-08,1.2576657937302116e-08
1801,1.6668277424969347e-08,7.143547753329926e-09
1802,1.1189200677108602e-08,1.2755688771903806e-07
1803,4.095712213825209e-08,3.900678446910888e-09
1804,2.4718509905596875e-08,6.179627121127851e-08
1805,3.980028751016107e-08,5.1171799242411e-08
1806,0.0,6.627838899930794e-08
1807,1.4234775136401367e-08,2.562259560079383e-08
1808,2.039466551195801e-08,1.4276265858370607e-07
1809,3.840352036377226e-08,1.0843346842648316e-07
1810,7.020380277111826e-09,3.042164919975221e-08
1811,3.760615285841595e-08,8.524061279047146e-08
1812,3.7340914360584065e-08,1.0135391192989118e-07
1813,2.013019195779009e-08,6.039057476314724e-08
1814,2.2026739543434815e-08,1.6362721666496327e-07
1815,2.6972236000233352e-08,1.0788894400093341e-07
1816,0.0,1.622322720606917e-08
1817,4.670620334934483e-09,1.0275364559220179e-07
1818,3.4571415286066554e-08,1.1921176934492905e-08
1819,1.2421260464634543e-08,1.035105001712111e-09
1820,5.933240565525466e-09,1.1510486785937246e-07
1821,2.465372084259343e-08,0.0
1822,2.4061478143266868e-08,1.303330066093622e-08
1823,1.087095569118901e-08,1.1859224713361982e-08
1824,8.421112696055388e-09,2.6947560627377243e-08
1825,1.144707639788578e-08,6.516027606373598e-08
1826,1.0569580766173203e-08,2.290075862276808e-08
1827,1.566936447261469e-08,3.2260455640198415e-08
1828,2.2930752408001354e-08,9.172301418391982e-09
1829,2.0575622650120806e-08,1.2002446148073886e-08
1830,1.0436835840010872e-09,3.235419043789989e-08
1831,3.1182412207897414e-09,4.677361831184612e-09
1832,2.0294953273491956e-08,2.705993873419743e-09
1833,1.9692167896323554e-08,1.853380560135065e-08
1834,6.534171426153534e-09,2.7070139907436896e-08
1835,2.4958190181223472e-08,3.025235173481633e-09
1836,8.736974699274924e-09,8.064900319793011e-08
1837,8.349468672008697e-09,2.2265250976261086e-08
1838,1.3886756633496589e-08,3.1560809521380406e-09
1839,1.11863602825224e-08,9.158832625644209e-08
1840,1.0191501864653674e-08,1.2102408852854296e-08
1841,6.420548537278137e-09,1.733548060656176e-08
1842,6.708265054555795e-10,6.037438549100216e-09
1843,1.358589563071888e-08,4.134837894298471e-08
1844,2.140538946093784e-08,1.6465683927435748e-08
1845,7.812318791877715e-09,2.399498022498392e-08
1846,1.1709002656346001e-09,1.6392604607062822e-08
1847,5.3932236454556914e-09,1.1865092020002521e-08
1848,1.609044403272364e-08,0.0
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,8.146795238417326e-09,2.0366988096043315e-09
1851,1.2898877521649865e-09,3.224719336003545e-08
1852,3.906327261660181e-09,1.4974254725075298e-08
1853,2.6873693936835252e-08,5.1955808544335014e-08
1854,1.506742686174789e-08,1.9223959313308114e-08
1855,1.6982198758341838e-08,1.2205955357558196e-08
1856,3.5204886728035234e-08,4.659470320689252e-08
1857,2.1966791052818735e-08,1.9526036343364694e-09
1858,1.468102794888182e-08,2.3489644007668176e-08
1859,2.7497735644033128e-08,1.4258085379026397e-08
1860,2.8378540406492903e-08,6.865775947773045e-09
1861,2.263662679524714e-08,1.226150558863992e-08
1862,2.304173052358749e-08,8.132375661773494e-09
1863,1.448440001272644e-08,1.5483325122023217e-08
1864,3.691940475558653e-08,2.0617330065419992e-08
1865,4.706844425328427e-08,1.4120533631256649e-09
1866,2.530118803356629e-08,2.919367858567057e-09
1867,4.173418055586353e-08,3.202855580752839e-08
1868,2.0253483223875435e-08,1.9265508299781686e-08
1869,3.4672985371742016e-08,4.883519144627257e-10
1870,3.1537267464187835e-08,1.4335121534259088e-08
1871,2.230447138096281e-08,0.0
1872,2.53988243770209e-08,2.0560953828407946e-08
1873,2.0951015311521104e-08,2.0053114724305487e-07
1874,5.3174020908652864e-08,3.4055272379873713e-08
1875,4.634436967521083e-08,1.3159512590732447e-08
1876,1.5054576962825195e-07,4.836811839936672e-09
1877,3.401648751566455e-08,1.6699003069220453e-08
1878,5.3747890527144904e-08,3.623453259660181e-09
1879,4.1543410711497586e-08,1.8327976358811782e-08
1880,4.620849325398524e-08,4.492492600149944e-09
1881,3.974329437772539e-08,3.067903264764027e-08
1882,3.593907815790942e-08,5.390861801402025e-08
1883,4.99227781891598e-08,0.0
1884,2.6406787867472303e-08,3.828984418419168e-08
1885,2.964992407150646e-08,5.156508553483263e-09
1886,2.2587124282047455e-08,6.4534639854230136e-09
1887,4.1132226735740574e-08,7.834709436771448e-09
1888,3.23371354138402e-08,4.4384300679212174e-09
1889,2.0674951528576457e-08,1.2530273707511697e-08
1890,1.0487018642368895e-08,5.898947996740844e-09
1891,2.2947192146460793e-08,2.5496880162734215e-09
1892,1.2537024529635232e-08,3.1342561879199593e-09
1893,1.23168328869383e-08,9.23762488724833e-09
1894,3.213785193523222e-08,1.071261657159539e-08
1895,2.106515073485582e-08,4.814891596538473e-09
1896,1.2383760572554081e-08,6.486732040400511e-09
1897,2.913356778044829e-08,3.4960281336537946e-09
1898,2.7160104165702137e-08,8.487532454637403e-09
1899,1.326618814800895e-08,1.1055156790007459e-09
1900,2.5955264937316258e-08,1.4015843263770478e-08
1901,2.1237207714630557e-08,1.397184767881754e-08
1902,2.1605249256317904e-08,1.3748794991386148e-08
1903,2.5381035939631147e-08,1.0800440541913758e-09
1904,2.2573424907079698e-08,2.6873125946735854e-09
1905,1.5998353308788182e-08,0.0
1906,2.2634412566446827e-08,2.572092316910357e-09
1907,1.3885677219160897e-08,5.142843484406967e-09
1908,2.013669497813453e-08,1.4734167219643268e-09
1909,1.3752459060434319e-08,2.200393367512987e-09
1910,1.870452726038252e-08,5.344150677544235e-10
1911,7.980560989828689e-09,0.0
1912,1.9795801164956828e-08,5.730363294986773e-09
1913,2.75755464018701e-08,1.96210621083992e-08
1914,1.808120764223986e-08,1.3393487430235496e-09
1915,1.7671142660269368e-08,1.1780761921542648e-09
1916,1.3184954461564757e-08,0.0
1917,2.1932848426331475e-08,0.0
1918,1.1486376294556067e-08,0.0
1919,1.1970203273037328e-08,9.207848372660976e-10
1920,1.2872793941909322e-08,2.2716695191604686e-09
1921,1.0601846234248313e-08,1.1359120755116692e-08
1922,1.3280284150152255e-08,7.377935484775833e-10
1923,6.369568872344189e-09,1.0615948120573648e-09
1924,3.351822430719409e-08,2.578324886925998e-09
1925,2.3096174084358267e-08,1.0998177923937646e-09
1926,4.01260994431496e-08,2.229227691330493e-09
1927,3.01029075000514e-08,3.3447675740205796e-09
1928,1.942427008128078e-08,0.0
1929,2.6736974856333973e-08,6.684243825105796e-09
1930,5.2518018822667045e-09,1.0503603542488804e-09
1931,2.0529641986399838e-08,0.0
1932,6.575722188983946e-09,2.1919073223131136e-09
1933,3.555905370156154e-08,1.1470662197865522e-09
1934,1.0783422155213884e-08,7.188948103475923e-09
1935,3.8298508364675854e-08,4.787313656606784e-09
1936,2.0612015205756506e-08,2.424942913137329e-09
1937,2.8959571851672194e-08,2.5182236296217297e-09
1938,1.037217134403079e-08,7.779128452511941e-09
1939,1.988226561167039e-08,1.3764645423464117e-08
1940,1.0143131667916805e-08,0.0
1941,2.066051862925633e-08,5.9030051957620344e-09
1942,2.730790527039062e-08,0.0
