year,fût_VERB également_ADV,fût_VERB egalement_ADV,fût_VERB légalement_ADV
1800,2.0751485863002017e-07,0.0,6.288328968651058e-09
1801,1.166779455274991e-07,0.0,3.095537337571841e-08
1802,1.6112448975036386e-07,0.0,2.2378401354217203e-09
1803,2.2038832980797451e-07,0.0,0.0
1804,3.781931923185766e-07,2.4718509461507665e-09,2.4718509461507665e-09
1805,1.9331568523739406e-07,0.0,2.842877711017877e-09
1806,2.4494187300660997e-07,0.0,0.0
1807,2.9608332852149033e-07,0.0,2.8469551160981155e-09
1808,2.1074488643080258e-07,6.798221985349073e-09,1.3596443970698147e-08
1809,3.4563166195766826e-07,0.0,6.7770917766551975e-09
1810,2.854954743725102e-07,0.0,1.6380887757350138e-08
1811,1.7298829391165782e-07,0.0,2.5070768572277302e-08
1812,1.7070132685148565e-07,0.0,4.5342538612658245e-08
1813,2.1855636589407368e-07,0.0,5.176335093892703e-08
1814,1.6362720600682223e-07,0.0,1.2586708564299443e-08
1815,1.2407228666688752e-07,0.0,2.4275012222574333e-08
1816,1.668674798338543e-07,0.0,3.7081662185300956e-08
1817,1.8371106591530406e-07,0.0,6.227493631882908e-09
1818,2.8491612624748086e-07,0.0,2.98029441125891e-08
1819,2.6705708933150163e-07,0.0,1.7596784473994376e-08
1820,1.6375743427943235e-07,0.0,7.95054262425765e-08
1821,3.224706688342849e-07,9.86148829262845e-10,2.9584464655840748e-08
1822,1.6542266223495972e-07,0.0,4.511527151862538e-08
1823,1.4626377264903567e-07,1.9765373782121287e-09,3.261286707356703e-08
1824,2.315806000297016e-07,1.6842225392110777e-09,3.621078548121659e-08
1825,2.43030228830321e-07,0.0,3.169959583715354e-08
1826,2.571931361217139e-07,0.0,4.7563116112314674e-08
1827,2.50709831561835e-07,1.8434546111834038e-09,3.6869092667757286e-08
1828,2.4214875793404644e-07,2.7516904310687096e-09,5.044765671868845e-08
1829,2.7348431785867433e-07,1.714635211591542e-09,3.429270378774163e-08
1830,2.5674614789750194e-07,0.0,7.514521627172144e-08
1831,2.354272083948672e-07,3.1182412207897414e-09,6.548306430431694e-08
1832,1.718306066322839e-07,0.0,6.088486514954639e-08
1833,1.332117278707301e-07,0.0,2.7800709290204395e-08
1834,1.8015644798197172e-07,0.0,3.547121707470069e-08
1835,1.5504329553550633e-07,0.0,2.4958190181223472e-08
1836,2.063270301277953e-07,0.0,3.1587525484155776e-08
1837,1.6211885167649598e-07,0.0,4.383471363667013e-08
1838,2.0451405191579397e-07,0.0,2.2723781967215473e-08
1839,1.8876983176596696e-07,0.0,4.194885150354821e-08
1840,2.2421303924602398e-07,0.0,1.8472096741106725e-08
1841,1.8555385850049788e-07,0.0,4.237562123421412e-08
1842,1.9386885696803802e-07,0.0,2.2137275124123335e-08
1843,1.281799768548808e-07,0.0,2.539971788451112e-08
1844,1.5422857302382909e-07,5.488561272137815e-10,4.8299337862545144e-08
1845,2.1037459418948856e-07,0.0,4.296775557577348e-08
1846,1.8266044321535446e-07,0.0,6.088681203664237e-08
1847,2.405377870218217e-07,1.0786447290911383e-09,3.9909856752728956e-08
1848,1.946943655184441e-07,1.6090443422100975e-09,3.700802153616678e-08
1849,1.5753299464904558e-07,0.0,4.8600607982507427e-08
1850,1.6565149962843861e-07,0.0,3.1229383523623255e-08
1851,1.831640616956065e-07,0.0,3.611685883697646e-08
1852,1.4258094438446278e-07,0.0,2.9948509450150596e-08
1853,1.3496565998138976e-07,0.0,3.4040009921909586e-08
1854,1.6937866575972294e-07,0.0,3.273268589509826e-08
1855,1.369189703837037e-07,0.0,5.041590256382733e-08
1856,1.625637366942101e-07,0.0,3.158085348786699e-08
1857,1.9477221258057398e-07,1.4644527812635033e-09,4.735063896532665e-08
1858,1.3506546281405463e-07,4.893676019968041e-10,3.474509924217273e-08
1859,1.690601578729911e-07,0.0,3.106225676674512e-08
1860,1.3777324170405336e-07,7.323494255473406e-09,1.830873586072812e-08
1861,1.282742090324973e-07,0.0,2.5937801240161207e-08
1862,1.256000246030453e-07,4.517986262886353e-10,3.072230825296174e-08
1863,1.62325179076106e-07,0.0,3.1965573299430616e-08
1864,1.7308967414919607e-07,4.794727948009836e-10,2.2535221688713136e-08
1865,1.7274118135901517e-07,0.0,2.6829013677343028e-08
1866,1.6202490371597378e-07,0.0,1.702964524952222e-08
1867,1.426726612407947e-07,0.0,3.4454963326879806e-08
1868,1.5708799594449374e-07,0.0,2.5193358510477992e-08
1869,1.2745985600304266e-07,0.0,1.0743741896135361e-08
1870,1.4965867478622386e-07,5.734048791339319e-10,2.064257564882155e-08
1871,1.359510690690513e-07,0.0,1.3807530230280918e-08
1872,1.0220003332506167e-07,0.0,1.0885210954825197e-08
1873,1.2869909937762714e-07,0.0,1.616221290134945e-08
1874,1.7147128517081e-07,0.0,1.9118749250424116e-08
1875,1.281622132864868e-07,0.0,1.7736734747586524e-08
1876,1.2152489148320456e-07,0.0,2.9625471853478302e-08
1877,1.459616640886452e-07,0.0,2.1028373708986692e-08
1878,1.0628796331957346e-07,0.0,2.4156355138416075e-08
1879,1.1302251579081712e-07,0.0,2.504823370941267e-08
