year,eût_VERB également_ADV,eût_VERB légalement_ADV
1800,1.4148740490327327e-07,3.144164484325529e-09
1801,1.8096987730586989e-07,0.0
1802,1.0294064622939914e-07,6.713520406265161e-09
1803,1.5212646076179226e-07,1.1702034896643454e-08
1804,1.9033252840472414e-07,1.4831105232815389e-08
1805,2.2174445746259153e-07,1.9900143755080535e-08
1806,1.7001848107156547e-07,0.0
1807,1.6227643584443285e-07,0.0
1808,1.5862518409903714e-07,2.2660739951163578e-09
1809,1.197286110254936e-07,3.162642769893864e-08
1810,1.5210824244604737e-07,0.0
1811,8.273353557797236e-08,0.0
1812,1.360276229434021e-07,2.6672082320544632e-09
1813,1.4953856464217097e-07,2.8757416448144113e-09
1814,7.552024783308298e-08,0.0
1815,1.4025562222741428e-07,0.0
1816,1.969963250303408e-07,0.0
1817,9.185553295765203e-08,0.0
1818,1.9550731167328195e-07,2.384235475716423e-09
1819,9.212434548544479e-08,3.1053151161586356e-09
1820,2.076634189052129e-07,5.933240565525466e-09
1821,1.1242096320529527e-07,9.86148829262845e-10
1822,1.2832788343075663e-07,7.017931125119503e-09
1823,1.363810753218786e-07,4.941343334508019e-09
1824,1.3305357526860462e-07,3.3684450784221553e-09
1825,1.6113961009978084e-07,8.805443041381977e-10
1826,1.083382059618998e-07,1.7615968683770689e-09
1827,1.4839810091871186e-07,1.1060727445055818e-08
1828,1.440051278223109e-07,1.8344602503717056e-09
1829,1.1573787617180642e-07,1.2859763920403111e-08
1830,1.534214817411339e-07,1.5655253093882493e-08
1831,2.4166368461919774e-07,0.0
1832,1.393586899212096e-07,2.705993873419743e-09
1833,1.2394482951094687e-07,0.0
1834,1.2508272106970253e-07,6.534171426153534e-09
1835,1.2554725969948777e-07,1.5126175867408165e-09
1836,1.344150035720304e-07,1.3441500135158435e-09
1837,1.1063046656545339e-07,1.2524203896191466e-08
1838,1.5843527023662318e-07,1.8936485712828244e-09
1839,8.669429263363782e-08,4.194885327990505e-09
1840,1.0764773605842493e-07,6.369688665408546e-10
1841,1.3611563076665334e-07,5.778493683550323e-09
1842,1.0934471816881342e-07,4.695785538189057e-09
1843,1.5121692342745519e-07,7.088293507706567e-09
1844,1.4599572750739753e-07,2.7442805805577564e-09
1845,1.0490828827869336e-07,8.928364714222425e-09
1846,9.308656956363848e-08,3.5127007969038004e-09
1847,1.407631344818583e-07,1.0786447290911383e-09
1848,8.286578179195203e-08,0.0
1849,1.4412593429824483e-07,0.0
1850,1.0047713772110001e-07,7.467895635215882e-09
1851,1.2769888257935236e-07,8.384270167027807e-09
1852,1.6015941639579978e-07,1.1718981340891332e-08
1853,1.1645266795312637e-07,1.0749477752369785e-08
1854,8.001322981954218e-08,5.7152309551611324e-09
1855,9.764764286046557e-08,2.2289135870323662e-08
1856,1.1648675979358813e-07,0.0
