year,seront_VERB égales_ADJ,seront_VERB egales_ADJ,seront_VERB légales_ADJ
1800,6.005354293847631e-07,0.0,3.144164484325529e-09
1801,2.5478652787569445e-07,2.3811825844433088e-09,0.0
1802,2.663029761151847e-07,0.0,0.0
1803,1.4042441875972145e-07,1.1702034896643454e-08,0.0
1804,3.5594652558756934e-07,0.0,0.0
1805,1.3077237781544682e-07,0.0,5.685755422035754e-09
1806,2.737585589329683e-07,0.0,0.0
1807,4.0711458382247656e-07,0.0,0.0
1808,3.467093279141409e-07,0.0,0.0
1809,3.4789070468832506e-07,2.259030518203531e-09,0.0
1810,4.680253482547414e-07,0.0,0.0
1811,8.624344332019973e-07,0.0,2.5070767684098882e-09
1812,3.947468201204174e-07,1.0668832928217853e-08,0.0
1813,4.284854924208048e-07,0.0,2.8757416448144113e-09
1814,3.1781439702172065e-07,0.0,0.0
1815,2.022917726662854e-07,0.0,0.0
1816,4.472975376756949e-07,2.3176038865813098e-09,0.0
1817,2.7556660597838345e-07,1.556873407970727e-09,0.0
1818,1.5974377731708955e-07,0.0,8.344824387052086e-09
1819,3.467601743523119e-07,2.070210003424222e-09,2.070210003424222e-09
1820,9.374520004712394e-08,8.306536791735653e-09,5.933240565525466e-09
1821,2.1892503809795016e-07,0.0,0.0
1822,1.9249182514613494e-07,0.0,2.0051231786055723e-09
1823,1.9963027853009407e-07,0.0,4.941343334508019e-09
1824,1.6336959163254505e-07,8.421112696055388e-10,1.6842225392110777e-09
1825,1.893170207267758e-07,0.0,0.0
1826,2.1139162242889142e-07,0.0,8.807984341885344e-10
1827,2.0001482425868744e-07,1.8434546111834038e-09,0.0
1828,1.751909479708047e-07,0.0,1.8344602503717056e-09
1829,1.3288422451296356e-07,0.0,0.0
1830,1.711641033352862e-07,5.218417697960831e-09,2.0873671680021744e-09
1831,2.2919073217053665e-07,3.274153215215847e-08,0.0
1832,1.3665268738805025e-07,1.3529969367098715e-09,0.0
1833,3.950017344322987e-07,3.4750886612755494e-09,2.3167257001688313e-09
1834,1.4468523090727103e-07,9.334530925997342e-10,9.334530925997342e-10
1835,1.9134611761728593e-07,7.563087933704082e-10,5.294161553592858e-09
1836,1.0753200285762432e-07,6.72075017860152e-09,0.0
1837,2.0317041560247162e-07,6.957890930081589e-10,0.0
1838,2.6763567007037636e-07,2.5248647617104325e-09,0.0
1839,1.2794399140148016e-07,4.894032734625853e-09,2.0974426639952526e-09
1840,1.5414646270528465e-07,1.9109065441114126e-09,0.0
1841,1.155698754473633e-07,0.0,0.0
1842,1.1135720257016146e-07,0.0,0.0
1843,1.943373746371435e-07,0.0,1.5357969118667825e-08
1844,1.8112251609636587e-07,0.0,2.195424508855126e-09
1845,1.244390830379416e-07,5.580227946389016e-10,0.0
1846,1.1650457309997364e-07,0.0,5.854501328173001e-10
1847,1.963133371418735e-07,5.393223645455691e-10,0.0
1848,1.8021296455117408e-07,0.0,3.218088684420195e-09
1849,1.1982562853063428e-07,0.0,0.0
1850,1.7719280265282578e-07,6.788996032014438e-10,3.394498016007219e-09
1851,1.457573119978406e-07,0.0,6.449438760824933e-10
1852,1.5169571554451977e-07,0.0,1.9531636308300904e-09
1853,1.176470547648023e-07,0.0,1.1943863675867306e-09
1854,1.397633724309344e-07,3.117398783558656e-09,2.0782657816909023e-09
1855,1.0401596739484376e-07,2.1227748447927297e-09,0.0
1856,1.454790208299528e-07,0.0,0.0
1857,9.860648475523703e-08,0.0,0.0
1858,1.7861917456230003e-07,0.0,0.0
