year,était_VERB en_PRON,était_VERB lent_ADJ,etait_VERB en_PRON
1800,3.772997558826319e-08,2.829747991484055e-08,0.0
1801,1.1905912700171939e-08,2.3811825400343878e-08,0.0
1802,1.5664880947952042e-08,1.3427040812530322e-08,0.0
1803,7.801356893821776e-09,2.145373123596528e-08,0.0
1804,1.9774807569206132e-08,4.2021465418429216e-08,2.4718509461507665e-09
1805,1.9900143755080535e-08,4.264316544322355e-08,0.0
1806,3.1698359492793315e-08,4.8988376022407465e-08,0.0
1807,1.7081731584767113e-08,1.4234775136401367e-08,0.0
1808,9.064295980465431e-09,5.211970233176544e-08,0.0
1809,4.518061036407062e-09,2.25903047379461e-08,0.0
1810,3.978215445954447e-08,5.3822915901946544e-08,0.0
1811,3.5099073869560016e-08,2.2563691359778204e-08,0.0
1812,8.00162425207418e-09,4.800974906515876e-08,0.0
1813,1.7254450312975678e-08,1.2078115219082974e-07,0.0
1814,5.97868634599763e-08,3.4613449884091096e-08,0.0
1815,1.1058616422587875e-07,9.979726911524267e-08,0.0
1816,1.3905623319487859e-08,2.3176038865813098e-08,0.0
1817,2.0239355080775567e-08,5.1376822796100896e-08,0.0
1818,5.48374146092101e-08,5.2453181353939726e-08,0.0
1819,3.519356894798875e-08,4.6579724966022695e-08,0.0
1820,3.441279616822612e-08,8.42520151422832e-08,0.0
1821,4.437669787193954e-08,7.59334568556369e-08,9.86148829262845e-10
1822,5.9151133768864383e-08,9.825103575167304e-08,0.0
1823,1.8777104315859106e-08,1.1859224002819246e-07,0.0
1824,3.03160057057994e-08,6.905312233129735e-08,0.0
1825,2.905796137042671e-08,1.171123926724249e-07,0.0
1826,2.2019960965735663e-08,1.0569581121444571e-07,0.0
1827,4.055600300034712e-08,6.91295483079557e-08,0.0
1828,3.66892045633449e-08,6.604057034564903e-08,0.0
1829,3.600733933240008e-08,8.144517238406479e-08,0.0
1830,3.965997663613052e-08,8.34946831673733e-08,0.0
1831,4.053713453799901e-08,8.419251429359065e-08,0.0
1832,2.1647950987357945e-08,1.5830063659905136e-07,0.0
1833,4.40177885252524e-08,7.29768601104297e-08,0.0
1834,3.827157613045529e-08,1.344172488870754e-07,0.0
1835,3.479020449503878e-08,1.104210838320796e-07,0.0
1836,4.368487438455304e-08,5.712637474175608e-08,0.0
