year,sont_VERB également_ADV,sont_VERB egalement_ADV,sont_VERB légalement_ADV
1800,1.0152507002203492e-05,3.772997558826319e-08,2.829747991484055e-08
1801,9.83904640605715e-06,3.809892135109294e-08,1.904946067554647e-08
1802,1.0262734747357172e-05,3.5805442166747525e-08,2.0140561218795483e-08
1803,1.2232527609512545e-05,3.705644502360883e-08,4.095712213825209e-08
1804,1.109613893390815e-05,4.2021465418429216e-08,1.9774807569206132e-08
1805,9.975658002758792e-06,1.7057265822018053e-08,5.1171799242411e-08
1806,9.457637915488704e-06,8.933174022729418e-08,4.610670600868616e-08
1807,9.628402239059142e-06,6.263301344233696e-08,9.679647661187119e-08
1808,1.0840898184483194e-05,8.157866604463493e-08,3.852325747288887e-08
1809,1.1692742006630397e-05,9.262024946998793e-08,7.90660692473466e-08
1810,9.763008890217861e-06,5.148278958699848e-08,7.488405628919281e-08
1811,8.275860423623271e-06,3.5099073869560016e-08,8.774768645025688e-08
1812,1.055147615147689e-05,2.6672083208723052e-08,9.601949813031752e-08
1813,1.0499332560698349e-05,3.4508900625951355e-08,7.476928232108548e-08
1814,1.1142383769424669e-05,2.2026739543434815e-08,6.608021863030444e-08
1815,1.0707977892820963e-05,5.664169577812572e-08,8.361393355471591e-08
1816,1.2023729041743536e-05,3.9399267848239106e-08,9.038654980031424e-08
1817,1.0589853118858628e-05,4.0478710161551135e-08,1.2299300067297736e-07
1818,1.028439953643101e-05,1.9073883805731384e-08,1.144433028343883e-07
1819,9.33354176879675e-06,2.4842520929269085e-08,1.0868602373648173e-07
1820,8.96868667155104e-06,4.9839221638592335e-08,1.0679833195581523e-07
1821,8.91577122530407e-06,5.325203744632745e-08,7.790576006527772e-08
1822,8.654111269379428e-06,5.514088741165324e-08,9.323822780515911e-08
1823,8.49120489476718e-06,1.7788836736976066e-08,1.087095569118901e-07
1824,8.47837610251645e-06,3.452656116564867e-08,8.589534861158654e-08
1825,8.359007381386618e-06,2.1133063299316746e-08,1.1006803646296248e-07
1826,8.318260320550053e-06,2.9947145985254053e-08,1.4004695003677625e-07
1827,9.515913077962068e-06,6.820781928151831e-08,1.6314572803821648e-07
1828,9.327312909590546e-06,4.953042775923677e-08,1.2932945026022935e-07
1829,9.260745059691544e-06,5.058173968564006e-08,1.8089401976340014e-07
1830,9.64572342354586e-06,4.4878394334091354e-08,1.3985359714752121e-07
1831,9.601064874686926e-06,2.9623292263636358e-08,1.9644919291295082e-07
1832,8.72277153973755e-06,2.1647950987357945e-08,2.0159654923190828e-07
1833,9.72098109741637e-06,2.0850531967653296e-08,1.6796261859131079e-07
1834,9.85726504154627e-06,1.8669062740173104e-08,2.1002693983973586e-07
1835,9.11654652213656e-06,2.7983425354705105e-08,9.529490796467144e-08
1836,8.12068188338344e-06,2.2850550951414306e-08,1.4785649682380608e-07
1837,8.86922377674182e-06,1.948209416013924e-08,1.4889886301716615e-07
