year,devaient_VERB imiter_VERB,devaient_VERB limiter_VERB
1800,1.2576657937302116e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,2.25903047379461e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,3.163315653864629e-08,1.1502966579257645e-08
1814,0.0,0.0
1815,3.506390555685357e-08,0.0
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,1.401186100480345e-08,7.784366928831332e-09
1818,4.768470951432846e-09,0.0
1819,1.7596784473994376e-08,0.0
1820,3.678609061807947e-08,0.0
1821,2.5639868894700157e-08,2.9584463767662328e-09
1822,2.4061478143266868e-08,0.0
1823,4.941343334508019e-09,7.906149512848515e-09
1824,3.3684450784221553e-08,0.0
1825,5.283265824829186e-09,0.0
1826,2.4662355713189754e-08,0.0
1827,1.2904182611350734e-08,1.8434546111834038e-09
1828,9.172301140836225e-09,0.0
1829,1.971830521085849e-08,0.0
1830,1.7742621594152297e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,6.764984572527055e-09,0.0
1833,2.0850531967653296e-08,0.0
1834,9.334531370086552e-09,0.0
1835,1.9664028627630614e-08,1.5126175867408165e-09
1836,1.2769425516978572e-08,6.720750067579218e-10
1837,1.461157062010443e-08,9.74104708006962e-09
1838,1.5780404538645598e-08,6.312161904276081e-10
1839,1.3283802502428443e-08,1.3283802502428443e-08
1840,1.3376346252869098e-08,6.369688665408546e-10
1841,1.4767261191650505e-08,0.0
1842,2.1466448174578545e-08,3.3541325272778977e-09
1843,1.7130041385371442e-08,2.953455480181333e-09
1844,1.5916826967554698e-08,0.0
1845,2.287893430263921e-08,3.348136878855712e-09
1846,1.9905304071698993e-08,5.269050973311096e-09
1847,1.1865092020002521e-08,7.550513103637968e-09
1848,1.126331028444838e-08,5.63165514222419e-09
1849,1.1731181359664333e-08,1.6758829879393033e-09
1850,1.4935791270431764e-08,1.3577992064028876e-09
1851,2.192809134271556e-08,3.8696632564949596e-09
1852,1.1067927019325907e-08,6.510545436100301e-10
1853,3.523439673358553e-08,5.971931837933653e-10
1854,1.4028294081924741e-08,0.0
1855,1.2205955357558196e-08,5.306937111981824e-09
1856,2.847454005916461e-08,5.694908100650764e-09
1857,2.6848299583548396e-08,4.881509085841174e-10
1858,1.565976326389773e-08,8.808616946964776e-09
1859,1.3748867822016564e-08,5.092173349652285e-10
1860,5.034902272882391e-09,2.288591982591015e-09
1861,1.2733101684148096e-08,9.431927461278633e-10
1862,1.1746764450037972e-08,4.517986262886353e-10
1863,1.3485475847119233e-08,0.0
1864,1.726102105692462e-08,4.315255264231155e-09
1865,2.447559133145205e-08,9.41368871743009e-10
1866,1.3137154475373336e-08,1.0704348518686402e-08
1867,1.6014277903764196e-08,4.367530337390235e-09
1868,1.1855697756857353e-08,3.457911734727759e-09
1869,1.8557372527538973e-08,0.0
1870,1.834895613228582e-08,7.454262984651905e-09
1871,1.1683295220166201e-08,0.0
1872,2.1770421909650395e-08,0.0
1873,1.4366410283628284e-08,0.0
1874,9.559374625212058e-09,5.974609140757536e-10
1875,1.4875970677508121e-08,5.721527251978387e-09
1876,9.069021977836655e-09,5.441413541973361e-09
1877,7.421779191219002e-09,6.184815992682502e-10
1878,5.435179861734696e-09,0.0
1879,1.1607718342077078e-08,8.55305515301552e-09
1880,9.626769603698904e-09,2.5671385017744797e-09
1881,2.2312024228199334e-08,0.0
1882,1.3976308999019693e-08,0.0
1883,6.951272890631799e-09,5.0554711528150165e-09
1884,1.3203393933736152e-08,0.0
1885,3.2228177904158883e-09,6.445635580831777e-09
1886,1.7424351739236954e-08,1.936039106809062e-09
1887,9.793386546164129e-09,2.6115698492645834e-09
1888,7.60873763994141e-09,3.804368819970705e-09
1889,1.1277245803853475e-08,3.132568426877924e-09
1890,3.9326319978272295e-09,7.209825181320184e-09
1891,2.5496880162734215e-09,6.3742202627281586e-09
1892,5.641661360300532e-09,6.268512375839919e-10
1893,1.0469308087124318e-08,1.847525021858587e-09
1894,8.822155450616265e-09,0.0
1895,9.027921521465032e-09,4.213029924926559e-09
1896,2.358811590497112e-09,0.0
1897,9.905413378419325e-09,1.1653427112179315e-09
1898,1.2448380992680086e-08,4.52668391659472e-09
1899,3.8693048765026106e-09,2.2110313580014918e-09
1900,7.26747462209687e-09,9.34389543516545e-09
1901,7.824234593556412e-09,2.235495566438317e-09
1902,4.910283735171106e-09,1.9641135384773634e-09
1903,4.320176216765503e-09,1.0260418292773466e-08
1904,4.837162670412454e-09,3.2247751136083025e-09
1905,1.4450125540577119e-08,0.0
1906,1.6461390472954918e-08,4.115347618238729e-09
1907,1.028568674676933e-09,4.6285588695127444e-09
1908,3.929111258571538e-09,5.893666887857307e-09
1909,1.320236009405562e-08,1.6502950117569526e-09
1910,6.412980813053082e-09,2.67207544979442e-09
1911,5.3203743632934675e-09,2.6601871816467337e-09
1912,5.2094213387476884e-09,3.646594803896619e-09
1913,2.6514948014977335e-09,5.833288518886093e-09
1914,1.5402511266415786e-08,1.3393487430235496e-09
1915,4.712304768617059e-09,0.0
1916,4.394984820521586e-09,4.394984820521586e-09
1917,1.0966424435210342e-09,0.0
1918,6.89182577673364e-09,8.040463406189247e-09
1919,9.207848372660976e-10,1.9336480860943084e-08
1920,3.028892692213958e-09,1.0601124422748853e-08
1921,8.330022005509363e-09,9.087297137000405e-09
1922,6.640141769764796e-09,4.426761179843197e-09
1923,3.1847844361720945e-09,1.3800733000834953e-08
1924,5.156649773851996e-09,1.1602462102189293e-08
1925,1.0998178368026856e-08,7.698724324711748e-09
1926,8.916910765321973e-09,3.343841648018042e-09
1927,6.689535148041159e-09,5.574612327308159e-09
1928,5.713020723163709e-09,4.570416489713125e-09
1929,1.0026365515614089e-08,4.4561625500705304e-09
1930,1.0503603542488804e-09,5.2518016602221e-09
1931,7.983749661377715e-09,4.5621426636444085e-09
1932,5.4797681947604815e-09,8.767629289252454e-09
1933,3.4411986593596566e-09,9.176529758292418e-09
1934,2.3963160344919743e-09,9.585264137967897e-09
1935,4.787313656606784e-09,1.196828414151696e-08
1936,1.2124714565686645e-09,6.0623572828433225e-09
1937,0.0,8.813782592653752e-09
1938,6.482607339819424e-09,1.5558256905023882e-08
1939,0.0,4.588215141154706e-09
1940,5.0715658339584024e-09,1.0143131667916805e-08
1941,8.854508237732261e-09,1.4757512545315876e-08
1942,0.0,3.034211770724937e-09
1943,0.0,2.9032352077962287e-09
1944,6.4263723231761105e-09,3.2131861615880553e-09
1945,0.0,1.5249527862692958e-08
1946,4.1763312808029696e-09,4.1763312808029696e-09
1947,1.549713246618012e-08,1.4305045148432782e-08
1948,2.174377566888097e-09,5.435944139264848e-09
1949,5.890204768377316e-09,3.9268033269479474e-09
1950,9.571825110299415e-09,1.595304155443955e-08
1951,1.5992101864981123e-08,1.2793682557799002e-08
1952,2.1089607837865287e-09,1.2653764258629963e-08
1953,1.2928593307037772e-08,1.1851209791302608e-08
1954,7.818028890937967e-09,1.9545073115523337e-08
