year,eurent_VERB eu_VERB,eurent_VERB lu_VERB
1800,6.60274537267469e-08,3.144164484325529e-09
1801,3.095537337571841e-08,2.3811825844433088e-09
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,2.3404069793286908e-08,1.755305234496518e-08
1804,7.4155526164076946e-09,1.4831105232815389e-08
1805,1.9900143755080535e-08,0.0
1806,3.458002950651462e-08,8.645007376628655e-09
1807,2.562259560079383e-08,1.1387820464392462e-08
1808,2.2660739062985158e-08,6.798221985349073e-09
1809,1.581321384946932e-08,1.3554183553310395e-08
1810,2.3401267590372754e-09,7.020380277111826e-09
1811,0.0,5.0141535368197765e-09
1812,4.5342538612658245e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,9.440030979135372e-09
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,1.1588019432906549e-08,1.1588019432906549e-08
1817,1.0898113522728181e-08,1.71256075987003e-08
1818,1.0729059418679299e-08,9.536941902865692e-09
1819,3.3123360054787554e-08,0.0
1820,7.119888678630559e-09,4.746592452420373e-09
1821,7.396116075142345e-08,8.875339574387908e-09
1822,8.02049271442229e-09,6.015369535816717e-09
1823,3.854247765389118e-08,8.894418535021487e-09
1824,8.336901657912676e-08,5.894778887238772e-09
1825,4.402721387464226e-08,2.641632912414593e-09
1826,1.4885493726524146e-07,2.642395191543301e-09
1827,2.488663675137559e-08,1.566936447261469e-08
1828,2.2930752408001354e-08,2.7516904310687096e-09
1829,4.372319750700626e-08,2.1432940755516938e-08
1830,2.400472176589119e-08,1.461157062010443e-08
1831,2.3386808933878456e-08,6.236482441579483e-09
1832,2.841293600397421e-08,1.3529969367098715e-09
1833,2.4325620628928846e-08,1.3900354645102198e-08
1834,1.5868701908061666e-08,0.0
1835,3.2521278114927554e-08,1.5126175867408165e-09
1836,6.72075017860152e-08,0.0
1837,4.0355768504696243e-08,1.3915781860163179e-09
1838,6.817134590164642e-08,8.837027110075724e-09
1839,4.264799713382672e-08,2.7965900706306e-09
1840,3.3759349093998026e-08,0.0
1841,2.118781061710706e-08,5.1364388298225094e-09
1842,1.0062397137744483e-08,5.366612043644636e-09
1843,1.1223130869097986e-08,7.088293507706567e-09
1844,8.232841963717874e-09,1.6465684371524958e-09
1845,2.4553003186156275e-08,1.1160455892778032e-09
1846,6.439951683034906e-09,4.6836010625384006e-09
1847,1.6718992412734224e-08,2.6966118227278457e-09
1848,8.04522137798358e-09,8.84974404868899e-09
1849,2.513824526317876e-08,8.379414495607307e-09
1850,2.2403686017469226e-08,2.7155984128057753e-09
1851,2.3217978650791338e-08,1.2898877521649865e-09
1852,1.2370036550635177e-08,2.6042181744401205e-09
1853,1.970737528722566e-08,7.166318205520383e-09
1854,2.338049043260071e-08,6.234797567117312e-09
1855,1.751289246954002e-08,7.429711956774554e-09
1856,1.0872097000458325e-08,2.0708756931497874e-09
1857,1.8061584228235006e-08,6.345961978126979e-09
1858,2.495774786837046e-08,6.361778659424999e-09
1859,2.64793023063703e-08,3.055304009791371e-09
1860,9.15436793036406e-09,3.661747127736703e-09
1861,1.226150558863992e-08,9.431927461278633e-10
1862,2.1686334505943705e-08,1.445755604123633e-08
1863,1.6482248454963155e-08,8.990317823531768e-09
1864,7.671564716815737e-09,3.3563094525845827e-09
1865,9.413688495385486e-09,3.294791106611683e-09
1866,9.731225603104576e-09,1.1190909532388105e-08
1867,9.7056229719783e-09,6.79393608038481e-09
1868,3.951899252285784e-09,7.903798504571569e-09
1869,2.8324411260882698e-08,2.441759683335931e-09
1870,1.2614907340946502e-08,2.8670243956696595e-09
1871,1.4869648623516696e-08,4.248470908407853e-09
1872,2.7817760539505798e-08,7.256807155187062e-09
1873,1.3169209722718733e-08,3.591602570907071e-09
1874,8.364453130127458e-09,4.779687312606029e-09
1875,1.4875970677508121e-08,5.149374260327022e-09
1876,1.3905833817773328e-08,2.418405919968336e-09
1877,1.7317484335421796e-08,8.040260901509555e-09
1878,1.0870359723469392e-08,6.039088784604019e-09
1879,2.3826368433788048e-08,4.887460214320072e-09
1880,1.0268554007097919e-08,7.701415505323439e-09
1881,1.3945014920579979e-08,1.3945015142624584e-09
1882,1.7969540522244642e-08,1.2645231528551903e-08
1883,1.516641390253426e-08,4.423537092179686e-09
1884,3.9610181801208455e-09,9.242375753615306e-09
1885,5.80107206715752e-09,6.445635580831777e-09
1886,2.2587123282846733e-08,5.162771099520569e-09
1887,1.3710741875172516e-08,6.528924623161458e-10
1888,5.706553452000662e-09,1.9021844099853524e-09
1889,6.891650361495749e-09,4.385595886446936e-09
1890,9.831579994568074e-09,6.554386478008212e-10
1891,1.0836173736095134e-08,2.5496880162734215e-09
1892,1.8805536683430546e-08,5.014809900671935e-09
1893,9.23762488724833e-09,1.847525021858587e-09
1894,1.5753848003896564e-08,1.8904617871129403e-09
1895,6.018614495673091e-09,1.2037228991346183e-09
1896,1.4152869098893461e-08,1.7691086373616827e-09
1897,1.2236098356765979e-08,2.9133566670225264e-09
1898,1.0750873968845553e-08,5.092519295146758e-09
1899,3.8693048765026106e-09,3.3165470370022376e-09
1900,9.34389543516545e-09,1.0901211489056095e-08
1901,1.676621685930968e-08,5.588738916095792e-10
1902,1.0311596021495006e-08,4.910283846193408e-10
1903,1.296052865029651e-08,5.400220270956879e-09
1904,3.7622376325430196e-09,6.449550227216605e-09
1905,7.2250627702885595e-09,3.096455536422127e-09
1906,6.173021205313489e-09,1.0288369045596824e-09
1907,1.4399961223432456e-08,2.057137349353866e-09
1908,1.276961114626829e-08,1.964555629285769e-09
1909,8.801573692096554e-09,3.850688656825696e-09
1910,6.947395991829808e-09,3.740905363258662e-09
1911,9.576673676292558e-09,4.25629931299909e-09
1912,5.730363294986773e-09,5.209421227725386e-10
1913,9.015082902408267e-09,5.30298971401777e-10
1914,7.366418142140674e-09,0.0
1915,1.295883844676382e-08,0.0
1916,1.0987461607214755e-08,0.0
1917,2.1932848870420685e-09,6.57985488317081e-09
1918,4.594550517822427e-09,2.067547733020092e-08
1919,1.5653341733923298e-08,9.207848372660976e-10
1920,9.843901693784574e-09,7.572231730534895e-10
1921,2.2718242842501013e-09,3.7863738810983705e-09
1922,2.951174193910333e-09,2.2133805899215986e-09
1923,7.431163684401554e-09,2.1231896241147297e-09
1924,1.289162443462999e-09,0.0
1925,1.0998177923937646e-09,3.299453377181294e-09
1926,8.916910765321973e-09,1.1146138456652466e-09
1927,4.4596899506643695e-09,1.3379070296082318e-08
1928,7.998228745975666e-09,6.8556245125250825e-09
1929,6.684243825105796e-09,5.570202965543558e-09
1930,8.402882833991043e-09,3.1510811737689437e-09
1931,1.2545892325022123e-08,5.7026783295555106e-09
1932,4.383814644626227e-09,4.383814644626227e-09
1933,1.0323596200123575e-08,2.2941324395731044e-09
1934,3.5944740517379614e-09,2.3963160344919743e-09
1935,4.787313656606784e-09,1.196828414151696e-09
1936,3.6374143697059935e-09,0.0
1937,6.295559185076627e-09,6.295559185076627e-09
1938,1.2965214679638848e-08,5.186085783037697e-09
1939,6.117620188206274e-09,0.0
1940,1.0143131667916805e-08,0.0
1941,0.0,0.0
1942,1.8205270180260413e-08,0.0
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,2.2492303131116387e-08,3.2131861615880553e-09
1945,0.0,6.535512131478072e-09
1946,0.0,4.1763312808029696e-09
1947,2.3841741914054637e-09,1.1920870957027319e-09
1948,1.0871887834440486e-09,1.0871887834440486e-09
1949,1.9634016634739737e-09,2.945102384188658e-09
1950,7.444753258312176e-09,2.1270722960764488e-09
1951,6.396841278899501e-09,0.0
1952,2.1089607837865287e-09,4.2179215675730575e-09
1953,3.232148326759443e-09,0.0
1954,4.886268278880834e-09,3.9090144454689835e-09
1955,6.569925492527773e-09,7.508486277174597e-09
1956,1.744228317335228e-09,0.0
1957,5.301022731885041e-09,8.835037701437898e-10
1958,3.3088973783179654e-09,8.272243445794913e-10
1959,5.425523585955716e-09,7.750747821333448e-10
1960,2.076250060767393e-09,3.460416619915918e-09
1961,1.250668635321972e-08,1.3896318540318475e-09
1962,5.0735651235811474e-09,5.0735651235811474e-09
1963,0.0,8.405868889838075e-09
1964,5.475571551727398e-09,2.4335873316516654e-09
1965,2.73602163147757e-09,3.2832261354087677e-09
1966,5.539074976468328e-09,3.8773522170743036e-09
1967,5.423369309198733e-09,3.451234853457663e-09
1968,4.940557296606585e-09,2.245707841908029e-09
1969,5.450109252791435e-09,9.083515606356229e-10
1970,1.1496812390987543e-08,4.598724956395017e-09
1971,6.166076982339064e-09,4.624557625731995e-09
1972,5.643161493651405e-09,4.6171320100540925e-09
1973,4.410563025913916e-09,1.6539611902288698e-09
1974,7.313243344242437e-09,5.625571675160757e-10
1975,3.998036124386317e-09,5.140332159925265e-09
1976,4.570821499072508e-09,5.713526984862938e-09
1977,1.1753563677885381e-09,3.526069214387917e-09
1978,1.0099005187669263e-08,0.0
1979,4.681578680276743e-09,2.925986564150662e-09
1980,2.8425752862659692e-09,3.97960553399912e-09
1981,4.427884725544118e-09,1.8976649140967083e-09
1982,2.483000915987077e-09,3.1037510339615437e-09
1983,3.157658134966823e-09,1.89459470334441e-09
1984,4.639206796497319e-09,0.0
1985,1.142956040922627e-08,2.4062232206745193e-09
1986,2.3977941854269602e-09,2.997242676272549e-09
1987,4.888653482026939e-09,0.0
1988,1.1993107618124554e-09,1.798966087207532e-09
1989,4.939309850016116e-09,2.7440609784434855e-09
1990,1.6345953479657283e-09,5.44865097484859e-10
1991,2.9307325455363298e-09,1.7584396161396398e-09
1992,7.162927584403178e-09,1.65298330578878e-09
1993,3.877445031719162e-09,3.323524566667402e-09
1994,5.274926606624319e-10,1.0549853213248639e-09
1995,5.964695848348356e-09,2.1689803286761844e-09
1996,5.871901187504136e-09,3.736664311304594e-09
1997,2.3974471297094624e-09,1.438468344439059e-09
1998,5.2449422582867555e-09,4.291316191284977e-09
1999,1.8280804647829996e-09,1.3710603763428253e-09
2000,5.743440834038438e-09,3.092622158362701e-09
2001,3.5049694258049158e-09,2.6287270138425356e-09
2002,5.257465574004527e-09,4.38122149670761e-10
2003,6.250384210204629e-09,2.5001538617175356e-09
2004,6.607186797680242e-09,8.809582507929292e-10
2005,6.305249655724765e-09,4.5037495954858286e-10
2006,4.529678854225949e-09,3.706100981659688e-09
2007,5.592271090648637e-09,3.994479469415779e-10
2008,5.5346713878634546e-09,3.8316958494988285e-09
2009,8.582746957586096e-09,1.907277002999308e-09
2010,8.030448306328708e-09,2.3618964561933353e-09
2011,3.059177577924288e-09,3.823971805871906e-09
2012,5.7872298064864935e-09,4.425528388196653e-09
2013,4.741512515948898e-09,5.020424964641279e-09
2014,4.547434873103384e-09,2.815078836704288e-09
2015,4.43315073539452e-09,2.659890530054554e-09
2016,6.214019965256057e-09,3.5212781579474495e-09
2017,3.5218559180094644e-09,5.0312225496895735e-09
2018,4.3884935685412074e-09,3.0977600484760615e-09
2019,5.612172948588068e-09,3.06118530524202e-09
