year,seraient_VERB à_ADP,seraient_VERB a_ADP,seraient_VERB là_ADV
1800,3.584347609830729e-07,0.0,4.7162465932615305e-08
1801,5.857709197698568e-07,0.0,1.904946067554647e-08
1802,5.124653625898645e-07,4.475680270843441e-09,4.923248297927785e-08
1803,5.655983841279522e-07,3.900678446910888e-09,9.751696339321825e-09
1804,6.624560455747996e-07,2.4718509461507665e-09,2.9662210465630778e-08
1805,4.3211741740378784e-07,2.842877711017877e-09,8.528632911009026e-09
1806,4.725937401417468e-07,2.881669125542885e-09,0.0
1807,6.576466375918244e-07,5.693910232196231e-09,8.540865792383556e-09
1808,6.526292963826563e-07,0.0,6.798221985349073e-09
1809,5.873479267393122e-07,1.3554183553310395e-08,2.0331274441787173e-08
1810,6.271539518820646e-07,4.680253518074551e-09,4.212228077449254e-08
1811,7.345735184571822e-07,2.0056613703189896e-08,3.008491944456182e-08
1812,7.228134109027451e-07,8.00162469616339e-09,1.0668832928217853e-08
1813,8.05207662324392e-07,5.751483289628823e-09,2.5881675469463516e-08
1814,8.338694215126452e-07,0.0,2.2026739543434815e-08
1815,4.5043634600006044e-07,1.3486117778072071e-08,2.1577788444915313e-08
1816,6.605171165574575e-07,2.3176038865813098e-09,5.5622493277951435e-08
1817,7.472992251678079e-07,7.784366928831332e-09,6.07180652423267e-08
1818,7.784528861520812e-07,5.9605886892910576e-09,3.814776761146277e-08
1819,7.473458367712738e-07,2.0702100145264524e-08,5.3825459644940565e-08
1820,8.615065212325135e-07,5.933240565525466e-09,4.390598107306687e-08
1821,8.579494874538796e-07,4.930744257336528e-09,5.226588939422072e-08
1822,9.474206876802782e-07,1.0025615893027862e-09,3.107940926838637e-08
1823,7.115534685908642e-07,7.90614973489312e-09,5.6331316500290995e-08
1824,7.899003549027839e-07,8.421112696055388e-09,4.5474010335055937e-08
1825,7.6783464919572e-07,2.641632912414593e-09,3.9624492131906663e-08
1826,1.0322958132746862e-06,2.642395191543301e-09,2.6423952803611428e-08
1827,1.2295841997911339e-06,4.608636472447358e-09,6.544264152807955e-08
1828,8.906304742595239e-07,2.7516904310687096e-09,3.3020285172824515e-08
1829,1.0116348221345106e-06,5.143905745796928e-09,8.916103411138465e-08
1830,1.0989988368237391e-06,8.349468672008697e-09,9.288783786587373e-08
1831,1.0898253322011442e-06,4.677361609140007e-09,6.236482619215167e-08
1832,1.166283368547738e-06,1.4882966192786284e-08,8.38858085216998e-08
1833,1.1595211617532186e-06,1.2741991461950875e-08,8.340212787061319e-08
1834,1.3348379752642359e-06,1.0267983796552471e-08,6.534171603789218e-08
1835,1.2153882380516734e-06,8.31939672707449e-09,6.731148260996633e-08
1836,1.1418554777264944e-06,4.032449929525228e-09,7.123995260371885e-08
1837,1.0513373354115174e-06,1.6003149028165353e-08,8.279890550966229e-08
1838,1.1393452723496011e-06,4.418513555037862e-09,1.6159134474946768e-07
1839,1.2437834584488883e-06,1.3283802613450746e-08,1.363337673865317e-07
1840,1.142085125138692e-06,5.095750821304534e-09,1.3121558595230454e-07
1841,1.0696634262785665e-06,7.0626033910059505e-09,1.046549442662581e-07
1842,1.1108886610600166e-06,1.0733223643200063e-08,1.0666141747606162e-07
1843,1.1246759186178679e-06,8.860366773610906e-09,1.2463581811061886e-07
1844,1.3337204336494324e-06,8.781698035420504e-09,1.1471092875581235e-07
1845,1.2287662229937268e-06,1.562463758375543e-08,1.0490828827869336e-07
1846,1.1117698477391968e-06,1.0538102612756006e-08,1.2235908286584163e-07
1847,1.1536105830600718e-06,2.1033572217277197e-08,1.4022381833456166e-07
1848,1.1440305343057844e-06,1.4481399079890878e-08,1.0700144770225961e-07
1849,1.4094175639911555e-06,1.256912263158938e-08,9.636327291673297e-08
1850,1.3197808357290342e-06,1.0183494048021657e-08,9.504594800091581e-08
1851,1.1041439620385063e-06,1.6123596680017727e-08,1.1480000949859459e-07
1852,1.0859589565370698e-06,1.0416872697760482e-08,1.0221556578926538e-07
1853,1.0868916433537379e-06,1.3138249821409431e-08,1.5108987838630128e-07
1854,1.1378505178072373e-06,1.6626126086993764e-08,1.517134080586402e-07
1855,9.557793418935034e-07,1.1675261646360013e-08,1.0720012966203285e-07
1856,1.0162822263737326e-06,1.5013848553291353e-08,9.9919752472033e-08
