year,soit_VERB à_ADP,soit_VERB a_ADP,soit_VERB là_ADV
1800,5.150141532794805e-06,3.144164484325529e-08,7.545994549218449e-07
1801,5.0409635150572285e-06,4.7623651688866175e-09,7.50072501887189e-07
1802,5.2656378102255985e-06,2.9091921760482364e-08,5.012761903344654e-07
1803,5.336128197086509e-06,2.5354410126965377e-08,7.196751994342776e-07
1804,6.0758097788493615e-06,1.9774807791250737e-08,7.316678534152743e-07
1805,5.321866865415359e-06,1.7057266044062658e-08,5.5151826927613e-07
1806,5.6567164392618e-06,4.034336775760039e-08,4.3513205127965193e-07
1807,5.696757398254704e-06,1.7081731140677903e-08,4.3558412698985194e-07
1808,5.069207418273436e-06,3.85232588051565e-08,5.030684064877278e-07
1809,4.983421149518108e-06,1.5813214071513926e-08,5.015047577217047e-07
1810,5.63970570510719e-06,4.680253518074551e-09,6.271539518820646e-07
1811,5.074323325970909e-06,6.267691787797958e-08,5.114436589792604e-07
1812,5.470444193633739e-06,2.1337664968257286e-08,4.7476305553573184e-07
1813,5.228098416409921e-06,1.4378708224072057e-08,7.390656264760764e-07
1814,5.450044682220323e-06,6.608021863030444e-08,5.538151981454575e-07
1815,4.517849447438493e-06,2.697223555614414e-09,7.282503702299437e-07
1816,5.249372861726442e-06,2.0858434979231788e-08,9.177711604024807e-07
1817,5.467739356390666e-06,1.5568733968684967e-08,7.566404747194611e-07
1818,5.3454559747478925e-06,2.1458119281447807e-08,7.748765256110346e-07
1819,4.930205250275321e-06,1.8631890030818e-08,6.810990953454166e-07
1820,5.1144534154445864e-06,1.0679833017945839e-08,6.348567467284738e-07
1821,5.988881639495958e-06,2.4653720287481917e-08,7.287640073627699e-07
1822,5.537147444556467e-06,1.5038423839541792e-08,7.058033588691615e-07
1823,4.723924121208256e-06,7.906149623870817e-09,6.038321771484334e-07
1824,5.383617462939583e-06,1.9368559200927393e-08,6.551625801876071e-07
1825,5.087785211799201e-06,2.2013607603454943e-08,6.833024031038804e-07
1826,4.901643478660844e-06,1.409277539110576e-08,6.826188041486603e-07
1827,5.29993212694535e-06,9.217273055917019e-10,6.931389293640677e-07
1828,5.190605406824034e-06,1.375845176676549e-08,9.080578138309647e-07
1829,5.402815531851957e-06,1.2002446592163096e-08,7.398650723189348e-07
1830,5.432373200164875e-06,2.8179455879850934e-08,7.984179433151439e-07
1831,5.294773472996894e-06,4.677361609140007e-09,7.592917654619669e-07
1832,5.612231234408682e-06,1.3529969367098715e-08,8.48329079872201e-07
1833,5.369011887523811e-06,4.6334514003376626e-09,8.235959967350936e-07
1834,5.638056791212875e-06,6.534171648198139e-09,8.24239066332666e-07
1835,5.3743301577924285e-06,3.403389570166837e-08,8.478221502628003e-07
1836,6.520471742987866e-06,2.7555075554630548e-08,9.160382319350902e-07
1837,5.770874849986285e-06,2.2265250865238784e-08,7.994616453288472e-07
1838,5.397529548645252e-06,6.943378094703689e-09,8.300493163915235e-07
1839,7.977972018125001e-06,1.188550780018005e-08,8.669429121255234e-07
1840,5.484302164404653e-06,1.2102408408765086e-08,1.0057738109026104e-06
1841,5.53001837033662e-06,1.3483151928284087e-08,9.617981504561612e-07
1842,5.826128017361043e-06,1.2074877098200432e-08,9.99531494016992e-07
1843,5.7031224969250616e-06,1.0041748821354446e-08,1.1305827456453699e-06
1844,5.496794074133504e-06,1.4270259418580622e-08,9.626936616768944e-07
1845,5.532237992156297e-06,3.180729912788394e-08,1.0256459290758357e-06
1846,5.588707153947325e-06,1.2879902921980602e-08,9.273530281461717e-07
1847,5.594391041086055e-06,1.6718993300912643e-08,8.941964892983378e-07
1848,5.4779916354164016e-06,2.011305433313737e-08,1.0547286137807532e-06
1849,6.069210030545946e-06,1.7596771373362685e-08,7.985582328728924e-07
1850,5.448848241940141e-06,1.425689166723032e-08,9.457071428187191e-07
1851,5.6432591009070165e-06,2.3217978872835943e-08,9.745101579028415e-07
1852,5.699331268260721e-06,1.4323199959420663e-08,9.550969934934983e-07
1853,5.753359346272191e-06,1.5527022778627497e-08,9.985069482354447e-07
1854,5.628982762573287e-06,3.273268656123207e-08,1.0287415079801576e-06
1855,5.794113803858636e-06,1.3798036491152743e-08,8.947495757638535e-07
1856,5.636923560814466e-06,2.7439102989745834e-08,9.795242021937156e-07
1857,5.517569661606103e-06,1.8549734193129552e-08,9.167474104287976e-07
1858,5.824453182867728e-06,1.3212924976357954e-08,9.723734137878637e-07
1859,5.8621099014999345e-06,2.0368694064742954e-08,8.972409659691039e-07
1860,5.771828909928445e-06,1.6935580715582432e-08,9.158944749287912e-07
1861,6.418426437448943e-06,1.6034277017240584e-08,9.20084517019859e-07
1862,6.101088729337789e-06,1.5361153821169538e-08,9.157957947536488e-07
1863,6.00353405388887e-06,1.9479021395873986e-08,1.0034193564933958e-06
1864,5.983340997772757e-06,1.0068928801842958e-08,1.221217189595336e-06
1865,6.325057256617583e-06,1.6003270930653457e-08,1.1541181947904988e-06
1866,6.011951427353779e-06,2.4814626353730773e-08,1.038808363773569e-06
1867,6.090278475312516e-06,1.261730986357179e-08,8.521536756234127e-07
1868,6.331436452455819e-06,1.5807597231187742e-08,9.435159427084727e-07
1869,6.105375632614596e-06,2.637100249280877e-08,9.259152307095064e-07
1870,5.9399012570793275e-06,2.1789385851178622e-08,1.0195138884228072e-06
1871,6.0264560488576535e-06,2.4428708167434365e-08,9.357257226838556e-07
1872,5.928811333433259e-06,1.814201766592305e-08,9.524559345663874e-07
1873,6.309847321972484e-06,1.1373408770332105e-08,9.805074796531699e-07
1874,6.272742211876903e-06,1.9716210775122534e-08,8.824497967907519e-07
1875,6.571173798874952e-06,2.9179788363364878e-08,9.337532560493855e-07
1876,6.078663318476174e-06,1.209202915575247e-08,8.917871809899225e-07
1877,6.243571533559589e-06,9.277224211068358e-09,8.50412220643193e-07
1878,5.847649390489096e-06,2.174071972449454e-08,8.913694955481333e-07
1879,6.285273684625281e-06,1.8938908552534883e-08,8.23537050109735e-07
1880,6.018014573783148e-06,1.8611753915820373e-08,7.733504503448785e-07
1881,6.333825695037376e-06,1.7431268706236125e-08,8.631964192318264e-07
1882,6.292001216934295e-06,2.1297231977968067e-08,7.653692932763079e-07
1883,6.007163392496295e-06,1.327061183165057e-08,9.049293225871224e-07
1884,6.19041111349361e-06,2.772712726084592e-08,7.704180120526871e-07
1885,6.322523859125795e-06,3.6095559929893994e-08,8.308424526148883e-07
1886,6.043669145583408e-06,3.033128015417219e-08,6.918113513165736e-07
1887,6.0856104937556665e-06,1.3710741431083306e-08,8.911982263271057e-07
1888,6.114254574640654e-06,2.7264642987745447e-08,8.604214372098795e-07
1889,5.801516635983717e-06,2.3181005337491456e-08,8.075761002146464e-07
1890,6.195861715241335e-06,3.5393687092266646e-08,8.088113077064918e-07
1891,6.030012173141586e-06,4.716922941128132e-08,8.796423571766354e-07
1892,6.155052233225433e-06,2.507404972540428e-08,7.672659307900176e-07
1893,6.1565688156406395e-06,2.9560399572581275e-08,7.636436407665315e-07
1894,6.089807357056998e-06,3.5918773511056656e-08,7.706782412242319e-07
1895,6.041485448804451e-06,2.467631921021507e-08,8.739028203308408e-07
1896,6.26146538706962e-06,1.1794057730440954e-08,7.005670568105415e-07
1897,6.30566955805989e-06,2.5054868513230133e-08,7.720395274191105e-07
1898,6.315289738267893e-06,2.4330925718629715e-08,7.729312869741989e-07
1899,6.263851901167072e-06,2.984892333302014e-08,7.898909757386718e-07
1900,6.219400802365271e-06,2.491705508589348e-08,8.014986292437243e-07
1901,6.456670234911144e-06,3.129693815218104e-08,8.332809784405981e-07
1902,7.296681815205375e-06,2.7497589094593877e-08,7.694414989600773e-07
1903,6.3852203311398625e-06,1.6200661034915242e-08,7.706114502070704e-07
1904,6.539843980135629e-06,4.192207736508635e-08,7.787832032590813e-07
1905,6.36940876574954e-06,2.6835946798087207e-08,8.298500802084163e-07
1906,6.4863024817896076e-06,2.2634412066846465e-08,8.102090873762791e-07
1907,6.2716976572119165e-06,2.674278487546644e-08,8.269691988971317e-07
1908,6.136780484666815e-06,1.7189861534205875e-08,8.992753350867133e-07
