year,pouvant_VERB imiter_VERB,pouvant_VERB limiter_VERB
1800,6.288328968651058e-09,0.0
1801,2.8574191901498125e-08,0.0
1802,4.475680270843441e-09,0.0
1803,9.751696339321825e-09,0.0
1804,4.69651695311768e-08,2.4718509461507665e-09
1805,2.2743021688143017e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,2.4926814390369145e-08,0.0
1809,1.129515236897305e-08,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.4275012222574333e-08,2.697223555614414e-09
1816,6.952811659743929e-09,0.0
1817,2.0239355080775567e-08,0.0
1818,5.960588467246453e-09,0.0
1819,1.1386155129855524e-08,0.0
1820,2.0173018810965004e-08,0.0
1821,3.0570614484304315e-08,0.0
1822,7.017931125119503e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,2.6105450245950124e-08,0.0
1825,1.3208164340028361e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,1.474763688946723e-08,0.0
1828,2.7516904310687096e-09,0.0
1829,4.286587973467704e-09,2.571952872898464e-09
1830,2.5048406016026092e-08,3.1310507520032616e-09
1831,7.795603274018958e-09,0.0
1832,4.058990921151917e-09,0.0
1833,6.950177322551099e-09,0.0
1834,1.4935249481595747e-08,2.8003592777992026e-09
1835,9.075705520444899e-09,1.8151411040889798e-08
1836,1.8818100855355624e-08,0.0
1837,3.478945576063097e-09,0.0
1838,1.0730675015224733e-08,0.0
1839,2.1673573158409454e-08,0.0
1840,1.7835128929277744e-08,6.369688665408546e-10
1841,3.852329122366882e-09,0.0
1842,1.6770663080478698e-08,0.0
1843,9.451057714215949e-09,0.0
1844,3.841992946007622e-09,1.866110821424627e-08
1845,1.1718478631905782e-08,2.2320911785556063e-09
1846,2.9272506640865004e-09,2.3418005312692003e-09
1847,1.0786447290911383e-09,3.235934187273415e-09
1848,9.65426583121598e-09,0.0
1849,1.6758829879393033e-09,0.0
1850,6.1100964288129944e-09,0.0
1851,3.2247193804124663e-09,1.9348316282474798e-09
1852,1.0416872697760482e-08,9.765818376195057e-09
1853,1.3735443005202796e-08,2.388772735173461e-09
1854,7.79349651480743e-09,2.5978321716024766e-09
1855,1.0083180512765466e-08,2.653468555990912e-09
1856,4.141751386299575e-09,0.0
1857,1.9526036343364694e-09,0.0
1858,1.2723557318849998e-08,0.0
1859,6.110608019582742e-09,0.0
1860,1.373155145145688e-09,2.288591982591015e-09
