year,fut_VERB égale_ADJ,fut_VERB légale_ADJ
1800,1.6978488304175698e-07,6.288328968651058e-09
1801,1.3096504858367553e-07,0.0
1802,9.622712582313397e-08,0.0
1803,1.3652375230321923e-07,5.851017448321727e-09
1804,1.4831105943358125e-07,2.4718509461507665e-09
1805,2.3311596919484145e-07,0.0
1806,1.5849180101668026e-07,2.881669125542885e-09
1807,1.1672516109229036e-07,1.4234775136401367e-08
1808,1.6768947830314573e-07,2.2660739951163578e-09
1809,1.4909601020463015e-07,1.129515236897305e-08
1810,1.7316938283329364e-07,0.0
1811,1.278609147448151e-07,0.0
1812,1.8403736135041981e-07,0.0
1813,1.8117172828624462e-07,0.0
1814,8.496028414128887e-08,0.0
1815,1.9959453823048534e-07,0.0
1816,1.367386346373678e-07,0.0
1817,9.029865566390072e-08,0.0
1818,1.6093589749743842e-07,0.0
1819,1.8528379541749018e-07,1.0351049795076506e-08
1820,1.578242034838695e-07,9.493184904840746e-09
1821,1.6764529675583617e-07,1.97229765852569e-09
1822,1.303330066093622e-07,1.0025615893027862e-09
1823,1.650408734121811e-07,9.882686891060644e-10
1824,1.4989581131885643e-07,2.5263338088166165e-09
1825,1.7610885549856903e-07,4.4027217427355936e-09
1826,1.5502052974625258e-07,8.807984341885344e-10
1827,1.1705936486805513e-07,0.0
1828,1.201571393494305e-07,4.586150570418113e-09
1829,1.0630738245254179e-07,5.143905745796928e-09
1830,9.288783786587373e-08,3.1310507520032616e-09
1831,4.2096257146795324e-08,1.091384405071949e-08
1832,1.3665268738805025e-07,1.352996914505411e-08
1833,7.876867158529421e-08,9.266902800675325e-09
1834,8.214387037241977e-08,9.334530925997342e-10
1835,7.184933537018878e-08,0.0
1836,1.0349955203992067e-07,4.032449929525228e-09
1837,6.74915412446353e-08,6.957890930081589e-10
1838,9.973215497893761e-08,1.2624323808552163e-09
1839,1.132618976384947e-07,2.0974426639952526e-09
1840,1.248458971758737e-07,1.2739377330817092e-09
1841,7.57624718517036e-08,7.0626033910059505e-09
1842,1.3819025923567096e-07,4.024959032733477e-09
1843,1.0809647221776686e-07,2.953455480181333e-09
1844,1.350186096260586e-07,0.0
1845,8.537748641401777e-08,0.0
1846,1.0772282621474005e-07,4.0981511517657054e-09
1847,1.024712474873013e-07,0.0
1848,6.91889070481011e-08,8.045221711050488e-10
1849,9.049767868418712e-08,0.0
1850,9.436704573317911e-08,6.788996032014438e-10
1851,7.223371767395292e-08,6.449438760824933e-10
1852,6.575650957074686e-08,1.9531636308300904e-09
1853,8.121827477225452e-08,1.1346670270029335e-08
1854,6.078927583530458e-08,2.5978321716024766e-09
1855,1.0613874223963649e-07,0.0
1856,7.455152228885709e-08,6.212626857404757e-09
1857,6.931743001814539e-08,9.763018171682347e-10
1858,6.508589223130912e-08,1.468102750479261e-09
1859,1.059172092254812e-07,9.165912473463322e-09
1860,4.897586691754441e-08,5.034902272882391e-09
1861,6.272231445336729e-08,4.715963730639317e-10
1862,7.409497726484915e-08,2.710791813242963e-09
1863,6.842630284609186e-08,2.9967726078439227e-09
1864,4.027571520737183e-08,1.0068928801842958e-08
1865,6.495444893062086e-08,4.706844247692743e-09
1866,8.125573458528379e-08,3.4059290943133647e-09
1867,8.152723296461772e-08,0.0
1868,8.200191103924226e-08,1.4819622196071691e-09
1869,1.001121390231674e-07,1.4650557433881772e-09
1870,8.429051945313404e-08,1.1468097582678638e-09
1871,7.222400455475508e-08,0.0
1872,5.200711683528425e-08,0.0
1873,4.908523720814628e-08,1.7958012854535355e-09
1874,6.213593195525391e-08,0.0
1875,4.291145216939185e-08,0.0
1876,8.585340793842988e-08,1.209202959984168e-09
1877,5.071549225021954e-08,6.184815992682502e-10
1878,6.6429976186555e-08,1.0870359723469392e-08
1879,7.270097057698877e-08,5.498392852132383e-09
1880,6.417846520889725e-08,1.4119262203848848e-08
1881,4.671580100534811e-08,3.4862537301449947e-09
1882,4.725323421439498e-08,0.0
1883,4.92908434068795e-08,6.319338941018771e-10
1884,6.601696611596708e-08,6.601696966868076e-10
1885,4.1252068427866107e-08,4.511945039809007e-09
1886,4.323820945728585e-08,1.2906927748801422e-09
1887,3.982643903555072e-08,1.9586774424595887e-09
1888,4.5018364147608736e-08,6.340614699951175e-10
1889,4.0723389105323804e-08,6.265136742733546e-10
1890,3.1461055982617836e-08,6.554386478008212e-10
1891,6.119250883784844e-08,1.2748440081367107e-09
1892,2.5074049503359674e-08,1.2537024751679837e-09
1893,3.695049954899332e-08,6.158416554491453e-10
1894,3.465846631911518e-08,6.301539290376468e-09
1895,4.4537745935713247e-08,4.814891596538473e-09
1896,7.017464298542109e-08,1.179405795248556e-09
1897,4.777905004971217e-08,1.7480140668268973e-09
1898,4.187182511827814e-08,2.8291773368493978e-09
1899,3.4823742112166656e-08,7.185851913504848e-09
1900,4.671947806400567e-08,5.710158568206225e-09
1901,4.359216276839106e-08,3.353243460679778e-09
1902,2.7497589982772297e-08,2.455141867585553e-09
1903,3.67214987306852e-08,5.400220270956879e-10
1904,4.2997001514777367e-08,5.374625189347171e-10
1905,4.541468001661997e-08,3.6125313851442797e-09
1906,3.189394348623864e-08,2.0576738091193647e-09
1907,4.2685599055403145e-08,4.6285588695127444e-09
1908,4.174680867663483e-08,4.911389073214423e-10
1909,3.850688656825696e-08,1.1001967115120692e-09
1910,3.634022505139001e-08,5.878565634276356e-09
1911,4.5223181643905264e-08,2.6601871816467337e-09
1912,3.64659484830554e-08,2.6047106693738442e-09
1913,3.234823608977422e-08,6.363587878865928e-09
1914,4.620753202289052e-08,2.0090231700464756e-09
1915,7.304072369151982e-08,2.3561523843085297e-09
1916,2.4172416956957932e-08,1.0987461607214755e-08
1917,2.1932848426331475e-08,5.483212106582869e-09
1918,2.1824114071478107e-08,1.033773866510046e-08
1919,4.511845830279526e-08,1.8415696745321952e-09
1920,5.5277290300637105e-08,2.2716695191604686e-09
1921,2.574734203619755e-08,7.572747429129834e-10
1922,3.39385017866789e-08,5.164555005876537e-09
1923,3.1847843473542525e-08,1.0615948120573648e-09
1924,3.867487308184536e-08,1.289162443462999e-09
1925,5.27912540349007e-08,2.1996355847875293e-09
1926,2.7865345586519652e-08,4.458455382660986e-09
1927,4.4596898618465275e-08,2.2298449753321847e-09
1928,3.999114284169991e-08,2.2852082448565625e-09
1929,2.785101571589621e-08,2.2280812750352652e-09
1930,3.886333388436469e-08,4.201441416995522e-09
1931,4.1059283972799676e-08,3.4216069977333063e-09
1932,1.53433514782364e-08,2.1919073223131136e-09
1933,3.0970788600370724e-08,2.2941324395731044e-09
1934,3.4746584276490466e-08,1.1981580172459871e-09
1935,2.6330225111337313e-08,0.0
1936,3.758661648589623e-08,2.424942913137329e-09
1937,4.1550688223424004e-08,1.2591118148108649e-09
1938,2.852347158466273e-08,0.0
1939,3.211750509990452e-08,4.588215141154706e-09
1940,5.832300686847702e-08,2.5357829169792012e-09
1941,3.246652724442356e-08,2.9515025978810172e-09
1942,3.3376331032286544e-08,6.068423541449874e-09
1943,4.645176332473966e-08,2.9032352077962287e-09
1944,2.5705489292704442e-08,0.0
1945,1.742803235060819e-08,2.178504043826024e-09
1946,1.9489545977080525e-08,0.0
1947,2.7418003867296648e-08,1.1920870957027319e-09
1948,2.0656587551570738e-08,4.348755133776194e-09
1949,2.6505922789965553e-08,9.817008317369869e-10
1950,4.2541444145172136e-08,3.190608444114673e-09
1951,3.0918066329377325e-08,0.0
1952,2.741649041126948e-08,0.0
1953,3.016671712430252e-08,0.0
1954,1.8567819282111486e-08,0.0
1955,1.595553378308523e-08,9.385607846468247e-10
1956,2.703553825256222e-08,1.744228317335228e-09
1957,2.5621609722747962e-08,1.7670075402875796e-09
1958,3.1434524316864554e-08,8.272243445794913e-10
1959,6.975672928177801e-09,7.750747821333448e-10
1960,3.668041514970355e-08,6.920833350854139e-10
1961,2.501337270643944e-08,6.948159270159238e-10
1962,3.170978146727066e-08,3.170978146727066e-09
1963,2.4571003010009917e-08,3.2330267352165265e-09
1964,2.494427064902993e-08,2.4335873316516654e-09
1965,2.6265809083270142e-08,4.377634699181954e-09
1966,2.437192847537517e-08,0.0
1967,3.69775179365206e-08,1.4791006197611978e-09
1968,2.919420261093819e-08,8.982831700699023e-10
1969,2.4525492747784483e-08,0.0
1970,1.5175793066646293e-08,1.3796175313274261e-09
1971,2.5178147566862208e-08,1.0276794970565106e-09
1972,2.0007572487656944e-08,1.0260293725750103e-09
1973,1.7642252103655665e-08,2.205281512956958e-09
1974,1.6314157136321228e-08,5.625571675160757e-10
1975,1.3707552426467373e-08,2.8557400888473694e-09
1976,1.9997344224975677e-08,5.713526873840635e-10
1977,9.990529292736028e-09,5.876781838942691e-10
1978,3.089107636355948e-08,5.940591352171509e-10
1979,2.0481905949054635e-08,1.1703946700691858e-09
1980,1.9329512213062117e-08,1.7055452605774235e-09
1981,2.0874313833019187e-08,1.2651099057237047e-09
