year,soient_VERB en_PRON,soient_VERB lents_ADJ
1800,3.458580977167003e-08,2.2009151834367913e-08
1801,7.619784447854272e-08,4.7623651688866175e-09
1802,1.0741632650024258e-07,2.0140561218795483e-08
1803,8.776526527753958e-08,0.0
1804,6.179627121127851e-08,2.4718509461507665e-09
1805,1.0518647552970606e-07,0.0
1806,9.509508203109363e-08,0.0
1807,2.3629726797480544e-07,4.27043254092041e-08
1808,1.0197333155659294e-07,5.4385775882792586e-08
1809,8.584315747128812e-08,4.518061036407062e-09
1810,8.658468919620077e-08,0.0
1811,9.27618422075227e-08,0.0
1812,1.1468995619878797e-07,8.00162425207418e-09
1813,4.3136123117903935e-08,4.601186631703058e-08
1814,4.72001566720337e-08,0.0
1815,2.966945977789237e-08,8.091670444798638e-09
1816,9.038655512938476e-08,6.952811659743929e-09
1817,1.1987924608547473e-07,6.227493631882908e-09
1818,3.457141417584353e-08,8.344824387052086e-09
1819,6.314140499341647e-08,3.1053151161586356e-09
1820,1.4239777712532486e-07,0.0
1821,9.171183990019927e-08,1.972297702934611e-08
1822,9.825103575167304e-08,1.2030739071633434e-08
1823,9.388552868472289e-08,4.941343334508019e-09
1824,1.145271335545317e-07,1.6842225392110777e-08
1825,7.132409196586309e-08,7.044354433105582e-09
1826,6.60598833412962e-08,1.2331177856594877e-08
1827,9.032927295038462e-08,2.2121454890111636e-08
1828,7.979902250099258e-08,1.1923991571904935e-08
1829,9.17329860961047e-08,6.858540846366168e-09
1830,1.1584887715798686e-07,4.174734336004349e-09
1831,4.365537620287796e-08,5.14509785887185e-08
1832,8.659180217307494e-08,4.058990921151917e-09
1833,6.71850450828515e-08,6.950177322551099e-09
1834,8.681114027631054e-08,7.467624740797874e-09
1835,7.487457054367042e-08,1.2100940693926532e-08
1836,1.1492482521191505e-07,2.688300027031687e-09
1837,1.1758835682940116e-07,4.87052354003481e-09
1838,1.1235647789931136e-07,1.199310784016916e-08
1839,7.341049013120937e-08,9.788065469251706e-09
1840,1.1975014757581448e-07,1.0828470564661075e-08
1841,6.2921378329861e-08,5.1364388298225094e-09
1842,1.2745703870109537e-07,2.0124795163667386e-09
1843,9.628265074113074e-08,1.0041748765843295e-08
1844,6.531388185848641e-08,3.841992946007622e-09
1845,7.644912614068744e-08,3.348136878855712e-09
1846,7.669396495657566e-08,3.5127007969038004e-09
1847,6.741529734455298e-08,3.775256551818984e-09
1848,7.482056219032529e-08,3.218088684420195e-09
1849,6.535943786190046e-08,3.100383594301093e-08
1850,1.1269733324326126e-07,2.7155984128057753e-09
1851,1.025460747428042e-07,1.2898877521649865e-09
1852,1.1002822120076416e-07,1.3021090872200602e-09
1853,1.009256465067665e-07,2.388772735173461e-09
1854,5.8191442442456776e-08,4.676098175337984e-09
1855,7.16436545644683e-08,1.326734277995456e-08
1856,6.367942662066639e-08,7.248064815001953e-09
1857,5.906625899498863e-08,6.8341128311999455e-09
1858,9.738415052140681e-08,9.297984604472731e-09
1859,7.179964578440945e-08,3.055304009791371e-09
1860,9.01705232703165e-08,4.57718396518203e-09
1861,1.0186481791407687e-07,3.3011746669586728e-09
1862,8.132375495240041e-08,1.581295272501393e-08
1863,9.289994579164684e-08,9.989241434027463e-09
1864,5.561884375282489e-08,2.3973640850272204e-09
1865,1.1014016099153423e-07,6.589582213223366e-09
