year,eut_VERB eu_VERB,eut_VERB lu_VERB
1800,3.961647223604814e-07,1.1947824418712116e-07
1801,2.7383600809116615e-07,1.0953439755212457e-07
1802,3.110597788236191e-07,5.147032311469957e-08
1803,2.6134546260436764e-07,6.826187615160961e-08
1804,3.0898135605639254e-07,6.426812149129546e-08
1805,1.648869130121966e-07,1.5920115004064428e-07
1806,2.795219131712656e-07,1.0662175498055149e-07
1807,2.5053205376934784e-07,1.2526602688467392e-07
1808,2.923235342677799e-07,7.251436784372345e-08
1809,3.2530039106859476e-07,1.1521055398588942e-07
1810,2.2933242860290193e-07,1.0530570193623134e-07
1811,2.7577843297876825e-07,7.52123057168319e-08
1812,2.2937990706850542e-07,8.001624962616916e-08
1813,2.933256553205865e-07,1.2940837734731758e-07
1814,2.73760917934851e-07,5.664018942752591e-08
1815,2.400528842372296e-07,9.170560133497929e-08
1816,3.314173682156252e-07,1.9004352225238108e-07
1817,1.6814232139950036e-07,1.634717108345285e-07
1818,2.193496584368404e-07,9.417730240102173e-08
1819,2.794783426907088e-07,6.314140676977331e-08
1820,7.618280619681173e-07,1.0679833195581523e-07
1821,2.376618652988327e-07,1.1242096320529527e-07
1822,2.526455205043021e-07,1.523893615740235e-07
1823,3.053750390336063e-07,1.3341627891350072e-07
1824,7.309525926757487e-07,1.9873826317962084e-07
1825,4.2706398062364315e-07,1.0038205289220059e-07
1826,5.434526428871322e-07,1.0921900894800274e-07
1827,1.9540618723112857e-07,1.2074627875335864e-07
1828,2.302247565921789e-07,9.814362300630819e-08
1829,2.1175745246182487e-07,1.285976338749606e-07
1830,1.8995041273228708e-07,1.1584887715798686e-07
1831,2.2919073217053665e-07,9.666548095310645e-08
1832,1.6371262745451531e-07,6.494385473843067e-08
1833,1.8649642186119308e-07,8.224376557564028e-08
1834,1.698884659617761e-07,8.867804268675172e-08
1835,1.973965879642492e-07,1.3159773004645103e-07
1836,4.1198197209268983e-07,1.290383977448073e-07
1837,3.9938294094099547e-07,1.1271783506572319e-07
1838,3.023525607659394e-07,1.9504579995555105e-07
1839,3.083240471823956e-07,1.0696957275513341e-07
1840,1.9172762222297024e-07,1.1656530318759906e-07
1841,2.0995193494854902e-07,8.539329598988843e-08
1842,2.0661455835124798e-07,1.3886108263250208e-07
1843,2.2150916834107193e-07,1.334961865495643e-07
1844,1.8496452014460374e-07,1.1965063606567128e-07
1845,1.7856729073173483e-07,8.816760299623638e-08
1846,1.7329324464299134e-07,1.0245377524142896e-07
1847,1.65032645327301e-07,1.26740758332744e-07
1848,1.97107937083274e-07,8.769291781618449e-08
1849,1.7177801225898293e-07,7.54147322368226e-08
1850,2.0638547937323892e-07,7.400005586077896e-08
1851,1.9090339264948852e-07,7.416854685970975e-08
1852,1.490914911528307e-07,8.463709377792838e-08
1853,1.8632427156717313e-07,6.449686651421871e-08
1854,2.909572174303321e-07,9.352196173040284e-08
1855,2.0272500478313304e-07,8.703376863650192e-08
1856,1.9310915888581803e-07,7.040977578753882e-08
1857,2.499332651950681e-07,1.147154620184665e-07
1858,1.903639912370636e-07,9.983099147348184e-08
1859,1.9604867418365757e-07,6.161529597648041e-08
1860,1.835450689213758e-07,8.788192928932403e-08
1861,1.650587364565581e-07,1.0799556804386157e-07
1862,1.8297843951131654e-07,1.0526908056363027e-07
1863,1.6781926603925967e-07,8.740586565636477e-08
1864,2.1576275344159512e-07,1.2178608699286997e-07
1865,1.6426886872977775e-07,9.131277778351432e-08
1866,1.8051423467113636e-07,8.466166434573097e-08
1867,1.7712761746224714e-07,8.055667422013357e-08
1868,1.783294578672212e-07,7.854399797224687e-08
1869,1.919222967217138e-07,1.0255390492375227e-07
1870,2.2420130108002922e-07,7.568944226932217e-08
1871,1.8268424639700243e-07,4.354682658913589e-08
1872,1.608592299362499e-07,5.9868661139717e-08
1873,2.1370036051848729e-07,4.19020302899753e-08
1874,1.8640780297118908e-07,7.289023074008583e-08
1875,1.5219262650134624e-07,6.236464855646773e-08
1876,1.6989301343528496e-07,5.2600327649088285e-08
1877,1.7255636919344397e-07,7.916564470633602e-08
1878,1.437303041029736e-07,7.126124756950958e-08
1879,1.7778135941171058e-07,7.331190232662266e-08
1880,1.6622222176465584e-07,4.428314070992201e-08
1881,1.624594290206005e-07,5.856906426515707e-08
1882,1.6039477657159296e-07,8.452339272935205e-08
1883,1.7125408646734286e-07,6.003372021723408e-08
1884,1.3797546216665069e-07,3.895001299270007e-08
1885,1.3858117142717674e-07,4.7053141827291256e-08
1886,1.7811559871461213e-07,4.904632433522238e-08
1887,1.5995865965123812e-07,4.961982824625011e-08
1888,1.5217474924611452e-07,5.57974075832135e-08
1889,1.372064986071564e-07,4.0723389105323804e-08
1890,1.3567580481321784e-07,5.440140782297931e-08
1891,1.4405736692424398e-07,3.4420789774003424e-08
1892,1.629813226600163e-07,4.199903358426127e-08
1893,1.3856437419690337e-07,4.310891554837326e-08
1894,1.2729108789244492e-07,3.150769600779313e-08
1895,1.4384488622454228e-07,3.189865793729041e-08
1896,1.4565661388132867e-07,4.1868904787634165e-08
1897,1.0837687369757987e-07,1.4566784223291052e-08
1898,1.1599627214309294e-07,4.5266837389590364e-08
1899,1.2823981876408652e-07,2.8743407654019393e-08
1900,1.0018732865546554e-07,5.398695179792412e-08
1901,1.1345139938612192e-07,5.6446264551368586e-08
1902,1.0311595843859322e-07,3.2407871941586563e-08
1903,1.5174619250046817e-07,2.6461078661554893e-08
1904,1.1179220393842115e-07,2.6335662539622717e-08
1905,1.4604948717078514e-07,2.7868098939620722e-08
1906,1.1574415026416318e-07,3.343719967574543e-08
1907,1.1725683179975022e-07,3.599990350267035e-08
1908,1.2376700908589555e-07,4.469363901193901e-08
1909,1.402750768875194e-07,5.170924666231258e-08
1910,1.122271626741167e-07,4.11499598840237e-08
1911,1.2024045759062574e-07,3.032613093978398e-08
1912,1.0887690393701632e-07,3.959160110866833e-08
1913,1.177263726503952e-07,4.7726906871048413e-08
1914,1.2455943476652465e-07,2.678697441638178e-08
1915,1.060268601804637e-07,2.4739600590351074e-08
1916,1.0767713121140332e-07,3.955486249651585e-08
1917,1.3598366876976797e-07,3.180263163926611e-08
1918,1.3783650842924544e-07,8.270190932080368e-08
1919,1.3719693470193306e-07,2.4861190439651182e-08
1920,1.1888403861348706e-07,2.3473917920568965e-08
1921,1.075330118283091e-07,4.0892835784234194e-08
1922,1.0181550891275037e-07,4.500540740082215e-08
1923,9.342033990833443e-08,5.095655097875351e-08
1924,1.0828964747133796e-07,1.933743654092268e-08
1925,1.1218141793278846e-07,3.189471442510694e-08
1926,8.471064916193427e-08,4.124071395494866e-08
1927,1.0257286930936971e-07,4.9056588125040435e-08
1928,1.0511958237202634e-07,2.8565102283550914e-08
1929,8.355304714768863e-08,3.230717737778832e-08
1930,9.663315125862937e-08,5.146765857944047e-08
1931,9.352392282835353e-08,2.8513390759599133e-08
1932,6.13734059129456e-08,2.9590749406338546e-08
1933,8.602996359741155e-08,1.9500125958415992e-08
1934,8.02765853791243e-08,1.4377896206951846e-08
1935,8.018750463634206e-08,5.864459140525469e-08
1936,8.48730010716281e-08,2.66743711563322e-08
1937,5.666003133342201e-08,3.651424407280501e-08
1938,7.779128452511941e-08,2.7226949583791793e-08
1939,7.799965828780842e-08,3.211750509990452e-08
1940,7.86092684279538e-08,2.2822046474857416e-08
1941,3.836953510472085e-08,1.7709016475464523e-08
1942,9.406056733496371e-08,3.944475324146879e-08
1943,9.290352664947932e-08,2.6129116648121453e-08
1944,6.7476911169706e-08,3.855823393905666e-08
1945,4.357008265287732e-08,4.7927088075994106e-08
1946,7.378185529205439e-08,2.5057987684817817e-08
1947,5.8412268799656886e-08,5.1259746669529704e-08
1948,7.610321262063735e-08,2.6092530802657166e-08
1949,3.8286334103077024e-08,3.7304630495782476e-08
1950,4.679559140186029e-08,2.3397795700930146e-08
1951,5.863770979885885e-08,4.157946520422229e-08
1952,3.690681538159879e-08,4.007025466989944e-08
1953,4.5250075686453783e-08,2.5857186614075545e-08
1954,6.449873524161376e-08,3.127211556375187e-08
1955,3.754243138587299e-08,3.472674947602172e-08
1956,4.360570926564833e-08,3.314033847345854e-08
1957,3.975766915687018e-08,4.0641172205369e-08
1958,5.21151335419745e-08,2.9780077070995503e-08
1959,9.300897119146612e-08,3.1778064624177205e-08
1960,6.3671663497189e-08,2.145458388724819e-08
1961,5.072156383789661e-08,4.099414141478519e-08
1962,5.7711801559889864e-08,3.2343976386073336e-08
1963,5.1728427763464424e-08,5.496145405459174e-08
1964,5.4755716405452404e-08,3.711220841751128e-08
1965,1.0232721336933537e-07,3.0643441562006046e-08
1966,8.973301390824417e-08,2.7141465963609335e-08
1967,1.1684895184771449e-07,2.9582013283402375e-08
1968,7.859977557700404e-08,2.7397636159776084e-08
1969,6.540130925714038e-08,2.679637134406221e-08
1970,6.392227902551895e-08,1.9314645882673176e-08
1971,7.553444447694346e-08,2.1067430466814585e-08
1972,6.412683717371692e-08,2.3085661382538092e-08
