year,étant_VERB en_PRON
1800,4.7162465932615305e-08
1801,1.904946067554647e-08
1802,4.0281122437590966e-08
1803,1.3652374342143503e-08
1804,1.9774807569206132e-08
1805,8.528632911009026e-09
1806,8.645007376628655e-09
1807,1.9928686256776018e-08
1808,2.945896149242344e-08
1809,9.036122072814123e-09
1810,9.360507036149102e-09
1811,4.512738271955641e-08
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,1.5733386149463513e-08
1815,1.0788894222457657e-08
1816,2.5493642752394408e-08
1817,9.341240669868967e-09
1818,1.7881765401739358e-08
1819,2.3807414706311647e-08
1820,1.3053129244156025e-08
1821,3.747365440176509e-08
1822,2.5064039732569654e-08
1823,1.2847492847356534e-08
1824,1.0947446504872005e-08
1825,2.4655239627691117e-08
1826,1.9377566218281572e-08
1827,1.474763688946723e-08
1828,1.4675682002973645e-08
1829,2.4862210068476998e-08
1830,2.922314124020886e-08
1831,7.795603274018958e-09
1832,1.6235963684607668e-08
1833,1.50587169400751e-08
1834,1.8669062740173104e-08
1835,1.663879345414898e-08
1836,2.1506400216253496e-08
1837,1.3915782304252389e-08
1838,2.3354999711955315e-08
1839,4.194885150354821e-08
1840,3.248541347034006e-08
1841,2.6966304744746594e-08
1842,3.018719141323345e-08
1843,2.7171790151214736e-08
1844,2.25031016043431e-08
1845,4.073566373108406e-08
1846,1.2294452567118697e-08
1847,2.426950729272903e-08
1848,9.65426583121598e-09
1849,1.9272654583346593e-08
1850,1.425689166723032e-08
1851,2.5152811389261842e-08
1852,1.9531636752390114e-08
1853,1.3735443005202796e-08
1854,2.909572138776184e-08
1855,1.9104973603134567e-08
1856,2.0708757375587084e-08
1857,2.0990489346672803e-08
1858,2.6425849952715907e-08
1859,1.629495471888731e-08
1860,1.0527522853465143e-08
1861,2.4994607272788016e-08
1862,2.891511208247266e-08
1863,1.8480097452311384e-08
1864,2.828889478223573e-08
1865,7.530950973944073e-09
1866,1.5083399418358567e-08
1867,8.73506067478047e-09
1868,3.902500367303219e-08
1869,2.8324411260882698e-08
1870,2.695002976338401e-08
1871,2.6552942955504477e-08
1872,4.656451224605007e-08
1873,1.855661402316855e-08
1874,1.4339061493728877e-08
1875,3.318485752856759e-08
1876,2.1765654167893445e-08
1877,1.2988113695655557e-08
1878,1.69094480639842e-08
1879,2.3215436684154156e-08
1880,3.144744553651435e-08
1881,1.6036766581351003e-08
1882,2.3293848627758962e-08
1883,1.3902545781263598e-08
1884,2.9047466654219534e-08
1885,3.287274097374393e-08
1886,3.291266637006629e-08
1887,2.9380160526670807e-08
1888,2.4728397107764977e-08
1889,2.1301465480405568e-08
1890,3.342736931699619e-08
1891,2.42220359325529e-08
1892,3.13425623232888e-08
1893,3.695049954899332e-08
1894,3.7179081147087345e-08
1895,2.888934957923084e-08
1896,3.3023361822870356e-08
1897,4.836172351474488e-08
1898,3.3384292663640736e-08
1899,4.698441813388854e-08
1900,3.2703635355346705e-08
1901,4.191554126009578e-08
1902,6.236060556830125e-08
1903,4.212171944573129e-08
1904,3.439760121182189e-08
1905,3.767354073147544e-08
1906,3.343719967574543e-08
1907,4.6799875974556926e-08
1908,3.388858615949175e-08
1909,3.5206294768386215e-08
1910,2.8323999146095957e-08
1911,4.0966881442727754e-08
1912,3.2819354345292595e-08
1913,4.719660751106858e-08
1914,3.080502253283157e-08
1915,2.591767689352764e-08
1916,4.2851102222130066e-08
1917,2.631941953268324e-08
1918,3.445912710731136e-08
1919,3.222746869369075e-08
1920,2.5745588771997063e-08
1921,4.543648302046677e-08
1922,2.87739485571592e-08
1923,4.2463792482294593e-08
1924,3.2229060309418855e-08
1925,3.629398648286042e-08
1926,3.901148559748435e-08
1927,2.5643217327342427e-08
1928,1.9424270192303084e-08
1929,2.4508894469477127e-08
1930,4.7266215830177316e-08
1931,4.904303452235581e-08
1932,2.9590749406338546e-08
1933,3.555905436769535e-08
1934,3.1152108448395666e-08
1935,4.6676309040094566e-08
1936,4.607391446143083e-08
1937,4.658713592675667e-08
1938,5.963998717106733e-08
1939,3.364691281149135e-08
1940,5.325144059042941e-08
1941,3.836953510472085e-08
1942,2.730790527039062e-08
1943,4.645176332473966e-08
1944,3.534504600111177e-08
1945,7.406913482554955e-08
1946,3.6194869323935563e-08
1947,5.006765846360395e-08
1948,4.4574740343250596e-08
1949,5.006674186347482e-08
