year,ont_VERB assez_ADV,ont_VERB lassé_VERB
1800,2.4052858407230815e-06,2.2009151834367913e-08
1801,1.9382825939828763e-06,4.0480102825313224e-08
1802,1.962585884029977e-06,3.1329761895904085e-08
1803,1.928885467350483e-06,3.90067853572873e-08
1804,1.5226602272377932e-06,4.6965166644596934e-08
1805,1.7085694707930088e-06,1.9900143755080535e-08
1806,1.6973031051747967e-06,2.5935023018064385e-08
1807,1.5715191921117366e-06,5.693910276605152e-08
1808,1.611178618077247e-06,6.571614763473121e-08
1809,1.7123451243605814e-06,2.9367397402779716e-08
1810,1.394715582136996e-06,9.828532343547636e-08
1811,1.3463002233038424e-06,3.5099073869560016e-08
1812,1.6483346598761273e-06,3.200649700829672e-08
1813,1.4580010656572995e-06,4.888760796184499e-08
1814,1.645712131903565e-06,6.92268957713793e-08
1815,1.3216395018389449e-06,1.0788894222457657e-08
1816,1.9143408280797303e-06,3.476405652236281e-08
1817,1.5226221421471564e-06,2.490997452753163e-08
1818,1.6761175629653735e-06,4.6492591110336434e-08
1819,1.5599032394675305e-06,6.728182455617571e-08
1820,1.7538659449201077e-06,4.034603762193001e-08
1821,1.4555556617779075e-06,4.043210033444211e-08
1822,1.5078526303113904e-06,4.110502516141423e-08
1823,1.3074794651402044e-06,2.7671523739059012e-08
1824,1.4383260804606834e-06,4.21055617039201e-08
1825,1.2715059938273043e-06,5.8115923406987235e-08
1826,1.3247208698885515e-06,3.52319382557198e-08
1827,1.1917934443772538e-06,1.1060727445055818e-08
1828,1.1740545460270368e-06,4.586150714747106e-08
1829,1.2739739077005652e-06,4.458051511280203e-08
1830,1.346351837128168e-06,2.817945699007396e-08
1831,1.2020819895042223e-06,1.091384405071949e-08
1832,1.263699118680961e-06,1.488296597074168e-08
1833,1.2151226655987557e-06,2.4325620628928846e-08
1834,1.1266778301433078e-06,4.1071935186209885e-08
1835,1.2872375236838707e-06,3.100866052818674e-08
1836,1.3024813370066113e-06,1.747394939854985e-08
1837,1.2503329571700306e-06,2.6439986200443855e-08
1838,1.2580138673001784e-06,3.029837714052519e-08
1839,1.189949102808896e-06,2.516931019158619e-08
1840,1.059279270521074e-06,1.9109066329292546e-08
1841,1.1813809805971687e-06,2.3756029587929106e-08
1842,1.247066506948613e-06,2.884554062276834e-08
1843,1.2304095662329928e-06,2.9534556134080958e-08
1844,1.1509513342389255e-06,3.677336124496833e-08
1845,1.105443175219989e-06,4.296775557577348e-08
1846,1.2130526556575205e-06,2.6930706553685013e-08
1847,9.200839485856704e-07,1.88762818709165e-08
1848,1.1335716862959089e-06,1.045878850192139e-08
1849,9.560912985762116e-07,2.5976186757148412e-08
1850,1.1120375802420313e-06,1.425689166723032e-08
1851,1.0744764722403488e-06,1.4833709593986555e-08
1852,1.130230657508946e-06,4.166749123513114e-08
1853,1.2069274362147553e-06,3.881755716861335e-08
1854,1.2085115486115683e-06,3.688921879074769e-08
1855,1.0534270131756784e-06,2.2289135870323662e-08
1856,1.069607264980732e-06,3.93466376702456e-08
1857,1.125676021729305e-06,4.78387889302212e-08
1858,1.0359912039348274e-06,2.8872689128434104e-08
1859,1.006722641250235e-06,4.8884863268483514e-08
1860,1.1113402251794469e-06,3.753290753194527e-08
1861,1.062035039467446e-06,6.602348889828136e-08
1862,1.0653411663952284e-06,3.162590545002786e-08
1863,1.106807985706837e-06,2.946826249683454e-08
1864,1.0505249292691587e-06,4.6029388300894425e-08
1865,1.0246800457025529e-06,3.577201823645737e-08
1866,1.0057221970782848e-06,2.0435575009969398e-08
