year,serait_VERB à_ADP,serait_VERB a_ADP,serait_VERB las_ADJ
1800,4.549605819192948e-06,3.772997558826319e-08,0.0
1801,4.512341092777206e-06,3.095537337571841e-08,2.3811825844433088e-09
1802,4.786740191775607e-06,5.818384352096473e-08,2.2378401354217203e-09
1803,3.941635441151448e-06,1.0726865795618323e-07,1.950339223455444e-09
1804,5.522114861378213e-06,4.69651695311768e-08,0.0
1805,3.42851058121596e-06,4.8328920865259306e-08,0.0
1806,3.4464762848074315e-06,9.797675115663651e-08,0.0
1807,4.034135599795263e-06,3.4163461837266595e-08,0.0
1808,3.7299578252714127e-06,3.172503637571822e-08,0.0
1809,4.10014035878703e-06,4.292158006791169e-08,2.259030518203531e-09
1810,4.481342784856679e-06,7.254392997424475e-08,0.0
1811,4.595471637003357e-06,4.763445726752025e-08,2.5070767684098882e-09
1812,5.5211212384165265e-06,5.3344164641089264e-08,0.0
1813,6.01030023972271e-06,5.176335093892703e-08,2.8757416448144113e-09
1814,4.50918832939351e-06,2.8320093825584536e-08,0.0
1815,4.391079983179225e-06,5.66416948899473e-08,1.6183340889597275e-08
1816,3.895891950378427e-06,6.952811837379613e-08,4.6352077731626196e-09
1817,5.0364856178930495e-06,8.407116713904372e-08,7.784366928831332e-09
1818,6.078608294046717e-06,5.8413767822784735e-08,7.152706427149269e-09
1819,5.196226993575692e-06,7.142224289768961e-08,0.0
1820,6.120731086411979e-06,8.187872069242985e-08,0.0
1821,7.126897799025755e-06,1.0453177790026302e-07,2.6626018723163725e-08
1822,6.198838491400238e-06,9.524335098376469e-08,8.02049271442229e-09
1823,5.492797299666563e-06,9.388552379974158e-08,8.894418535021487e-09
1824,5.762567525380291e-06,6.400045471366411e-08,5.052667617633233e-09
1825,5.9824178606504574e-06,7.924899136924068e-08,8.805443041381977e-10
1826,5.953316758677829e-06,8.54374507808231e-08,4.403992281964975e-09
1827,7.699188245169353e-06,8.295545939063231e-08,1.1982455028203276e-08
1828,6.4646378632460255e-06,9.080577934028611e-08,0.0
1829,7.961050869198516e-06,6.429881826974793e-08,6.858540846366168e-09
1830,7.147144970076624e-06,1.262857118877747e-07,4.174734336004349e-09
1831,7.348135568463476e-06,9.978371995345015e-08,4.2096257146795324e-08
1832,7.664727490919176e-06,8.794480221840928e-08,4.058990921151917e-09
1833,6.927009962964803e-06,5.791814139399776e-08,4.6334514003376626e-09
1834,7.311738045245875e-06,1.0174638620519261e-07,2.8003592777992026e-09
1835,6.572323400177993e-06,7.487457054367042e-08,1.663879345414898e-08
1836,6.684458185191033e-06,9.140219769943059e-08,4.704525213838906e-09
1837,7.0671298999513965e-06,8.627784886527934e-08,8.349468672008697e-09
1838,6.741388915543212e-06,7.890202535776325e-08,1.199310784016916e-08
1839,6.811794264649507e-06,7.341049279574463e-08,6.9914749545318955e-09
1840,7.063347766234074e-06,8.662776718182386e-08,2.5478754661634184e-09
1841,7.179457497841213e-06,7.512041477752973e-08,3.2102742686390684e-09
1842,7.249621830851538e-06,8.586579536284944e-08,4.695785538189057e-09
1843,7.230649771372555e-06,8.328744405261546e-08,1.2404512972352677e-08
1844,7.092318810464349e-06,9.604982320610134e-08,1.3172547497219966e-08
1845,7.097492016328033e-06,1.0435025982191704e-07,9.48638767539478e-09
1846,7.156542324082693e-06,1.0889372581424084e-07,8.781752214304106e-09
1847,7.260896836669417e-06,1.1433633950730382e-07,5.393223645455691e-10
1848,7.462747817044146e-06,8.849743893257767e-08,4.82713291560799e-09
1849,7.053791705402546e-06,1.1814975309221154e-07,1.6758829879393033e-09
1850,6.337527793220943e-06,1.1269733324326126e-07,1.8330290174617403e-08
1851,6.584231869055657e-06,1.0641573955361139e-07,1.9348316282474798e-09
1852,6.3861939452181105e-06,1.3216407390714835e-07,1.3021090872200602e-09
1853,6.115855285315774e-06,9.85368719952362e-08,1.7915795513800958e-09
1854,6.181282060424564e-06,8.105236215527611e-08,3.63696517347023e-09
1855,6.206462785485201e-06,9.60555652795847e-08,1.1675261646360013e-08
1856,6.089927865104983e-06,8.801221662579906e-08,1.0354378465748937e-09
1857,6.059905444999458e-06,1.0007093376174225e-07,5.857811125054013e-09
1858,6.008455329720164e-06,8.808616724920171e-08,4.893676130990343e-09
1859,6.086674602556741e-06,9.827894809077975e-08,2.34239969643113e-08
