year,tout_ADV à_ADP,tout_ADV a_ADP,tout_ADV las_ADJ
1800,5.996550646614196e-05,8.174827748064217e-08,0.0
1801,5.755794586548291e-05,8.096020920334013e-08,2.3811825844433088e-09
1802,5.0000062287836045e-05,3.1329761895904085e-08,7.161088433349505e-08
1803,4.7473206336690055e-05,9.75169611727722e-09,7.801356893821776e-09
1804,5.224009714765998e-05,7.168367943677367e-08,9.887403562558461e-09
1805,6.225902257028793e-05,4.8328920421170096e-08,2.55858996212055e-08
1806,5.2717253765877103e-05,4.610670689686458e-08,0.0
1807,5.1236651870567584e-05,3.701041562109708e-08,2.8469551160981155e-09
1808,5.832194665345014e-05,6.798222029757994e-08,2.2660739951163578e-09
1809,6.22611394192063e-05,1.1295152724244417e-07,4.518061036407062e-09
1810,5.4461770105262985e-05,6.552355102940055e-08,2.3401267590372754e-09
1811,5.065799268777482e-05,4.0113227850469e-08,2.5070767684098882e-09
1812,6.114308212090691e-05,9.86867028096583e-08,2.400487453257938e-08
1813,6.606441456824541e-05,5.751483267424362e-08,2.8757416448144113e-09
1814,6.545403198288113e-05,3.776012524880912e-08,3.1466772298927026e-08
1815,5.926879180151445e-05,2.9669458667669346e-08,0.0
1816,5.627605673907965e-05,9.965696712299632e-08,4.6352077731626196e-09
1817,5.6000737231443054e-05,7.005930469095034e-08,3.113746815941454e-09
1818,6.268989727686858e-05,5.126106117359086e-08,4.768470951432846e-09
1819,6.34426196484128e-05,6.10711972104383e-08,1.3456364911235141e-08
1820,7.145164340727206e-05,7.119888589812717e-08,0.0
1821,6.968521756789414e-05,5.6210482601848355e-08,0.0
1822,6.240645120669797e-05,4.3110148340019805e-08,3.0076847679083585e-09
1823,6.226586697266612e-05,9.48737950423606e-08,3.9530747564242574e-09
1824,6.232381201698445e-05,8.25269044213428e-08,1.6842225392110777e-08
1825,6.582596643056604e-05,4.490776062127111e-08,1.144707595379657e-08
1826,5.659746670971799e-05,5.108630807271197e-08,3.6112734136395375e-08
1827,5.6680700481592794e-05,4.97732742799073e-08,0.0
1828,6.00272064730234e-05,5.961995791503583e-08,1.8344602503717056e-09
1829,6.177144928187772e-05,6.258418583371395e-08,0.0
1830,6.640228070864396e-05,5.114049561605327e-08,1.0436835840010872e-09
1831,6.531935923703713e-05,5.1450979254852314e-08,0.0
1832,6.401028622349259e-05,5.5472874960216245e-08,0.0
1833,7.239536080305697e-05,8.108539906181988e-08,1.1583628500844156e-09
1834,6.84099800309923e-05,6.160790455567167e-08,5.600718555598405e-09
1835,7.839216004867922e-05,5.596685070941021e-08,1.4369867074037757e-08
1836,8.290717596537434e-05,5.914260164940899e-08,1.4113575197427508e-08
1837,9.171613464786788e-05,5.844628414575226e-08,9.74104708006962e-09
1838,9.274585499952082e-05,8.521418370932565e-08,1.7042836475411605e-08
1839,9.779255879038828e-05,8.040196541880817e-08,2.0974426639952526e-09
1840,0.00010406223827885697,8.025807729516998e-08,2.5478754661634184e-09
1841,0.00010642315965014859,1.0080261336753438e-07,5.1364388298225094e-09
1842,0.00011586045684452984,1.200779422561027e-07,1.6770663080478698e-08
1843,0.00012344853439572034,1.2168236984688718e-07,1.1813822142769936e-09
1844,0.00012097996204829542,8.562155412450423e-08,1.2623690537338916e-08
1845,0.00013232841365606873,9.31898081479865e-08,6.696273757711424e-09
1846,0.00011852437728521181,1.1182097270356905e-07,2.9272506640865004e-09
1847,0.00011183873994013993,1.1002176414365294e-07,5.3932236454556914e-09
1848,0.00012545236177174957,9.332457018285112e-08,5.63165514222419e-09
1849,0.00013009125450480497,9.971503911465618e-08,8.379414939696517e-10
1850,0.00012350541419436922,1.5343131121170472e-07,1.425689166723032e-08
1851,0.00012202789821458282,9.80314658338699e-08,1.9348316282474798e-09
1852,0.00011970158493568306,1.4453410646098064e-07,1.3021090872200602e-09
1853,0.00013033382310823072,1.3735443404883085e-07,7.763511389313749e-09
1854,0.00012854229908043635,1.3456770964204168e-07,8.832629738719788e-09
1855,0.00013001359366171528,1.1675261646360013e-07,1.4328730202350926e-08
1856,0.0001332561955678102,1.4962076833047178e-07,9.318940286107136e-09
1857,0.00014055670726520475,1.513267823272102e-07,1.1715622250108026e-08
1858,0.0001448121965950122,1.3115051933354493e-07,6.361778659424999e-09
1859,0.00014625536550738616,1.4054398800311674e-07,9.675129364339341e-09
1860,0.00015165446711762343,1.4784304203097065e-07,7.323494255473406e-09
1861,0.0001457020548514265,1.5091083738205668e-07,9.431927239234028e-09
1862,0.0001443722539988812,1.5090074245716067e-07,6.325180851307621e-09
1863,0.00014179428853822174,1.2186874803754577e-07,2.9967726078439227e-09
1864,0.00014899808820700855,1.308960722035124e-07,7.1920918109924514e-09
1865,0.00014870568656988326,1.6332749636083221e-07,9.413688994985847e-09
1866,0.00014458412306339596,1.6007866254774683e-07,1.1677471434268227e-08
1867,0.00014644620114268037,1.4461378583519036e-07,6.308654931785895e-09
1868,0.0001453874083381379,1.4029242401125686e-07,1.6301584970790373e-08
1869,0.00014983906567067606,1.484589858824492e-07,1.1720446280172325e-08
1870,0.0001450955105610774,1.9381084337410925e-07,2.8670243956696595e-09
1871,0.00013902164846513188,1.2851624475729295e-07,4.248470908407853e-09
1872,0.00014662136345577892,1.6630182919641356e-07,6.047339518033823e-09
1873,0.00014542338885803474,2.0651715659791847e-07,1.1972009161809183e-08
1874,0.00014453058065555524,1.601195289135937e-07,8.961913322558246e-09
1875,0.00014738997560925782,1.630635239613376e-07,8.010138052849669e-09
1876,0.0001441116019123001,1.505457676298505e-07,9.673623679873344e-09
1877,0.00013781624875264242,1.3915836238886925e-07,2.4739263970730008e-09
1878,0.00013375131629800308,1.5580848744534137e-07,1.1474268646338714e-08
1879,0.00013544679586630082,1.6556271387191401e-07,3.665595160740054e-09
1880,0.0001329270753558376,1.6493865340194702e-07,9.626769603698904e-09
1881,0.000138992057145515,2.210284916759342e-07,7.669758383954672e-09
1882,0.00014284121061791666,1.7769878901674474e-07,5.989846618703609e-09
1883,0.00013893320101487916,1.9210790586088322e-07,6.319338829996468e-09
1884,0.00014087558611208806,1.802263289718553e-07,1.2543224237049344e-08
1885,0.00013081610904919216,2.0110383747162786e-07,5.80107206715752e-09
1886,0.00013135573317413218,2.2845262354076468e-07,1.2906927748801422e-09
1887,0.00013147817844583187,1.7758675180390426e-07,5.876032105334161e-09
1888,0.00013163432777218986,2.0226561381342378e-07,9.510921827882157e-09
1889,0.00013277516154630575,1.9421923952434028e-07,3.132568426877924e-09
1890,0.0001315537538175704,2.2022738027649424e-07,6.554386366985909e-09
1891,0.00012802430046576774,1.905891812148397e-07,1.0198752065093686e-08
1892,0.00012835468487537582,1.9557758612620546e-07,4.387958441043338e-09
1893,0.00012789860738848802,2.1184952769814913e-07,3.695050043717174e-09
1894,0.00012826090369344456,2.1425233187599702e-07,1.8904617871129403e-09
1895,0.00013051545556663768,2.2389246567833254e-07,1.8055843487019274e-09
