year,voulant_VERB imiter_VERB,voulant_VERB limiter_VERB
1800,8.174827570428533e-08,0.0
1801,7.381666211614402e-08,0.0
1802,4.923248297927785e-08,0.0
1803,1.618781624301846e-07,0.0
1804,3.707776485839531e-08,0.0
1805,3.9800287288116465e-08,0.0
1806,1.123850950079941e-07,0.0
1807,7.117387923472052e-08,0.0
1808,7.251436784372345e-08,4.5321479902327155e-09
1809,1.197286110254936e-07,4.518061036407062e-09
1810,3.7442028144596406e-08,0.0
1811,2.4067935555649456e-07,0.0
1812,2.1337665856435706e-08,0.0
1813,1.0352669832514039e-07,0.0
1814,1.2272041161054403e-07,0.0
1815,1.618334155573109e-08,1.0788894222457657e-08
1816,6.025770460382773e-08,0.0
1817,1.1053801396432306e-07,0.0
1818,1.0371424430388743e-07,0.0
1819,7.349245478849298e-08,2.070210003424222e-09
1820,5.57724622041178e-08,0.0
1821,1.1242096720209815e-07,7.88919063410276e-09
1822,1.4136118409169285e-07,1.0025615893027862e-09
1823,5.731958518939706e-08,9.882686891060644e-10
1824,1.0357968882601654e-07,4.210556348027694e-09
1825,1.109485818773237e-07,0.0
1826,1.0129181760021311e-07,1.7615968683770689e-09
1827,1.0968555086421361e-07,0.0
1828,7.613010177820456e-08,1.0089530988466322e-08
1829,1.294549640817877e-07,0.0
1830,1.3046044955444813e-07,4.174734336004349e-09
1831,4.989185953263586e-08,0.0
1832,9.20037932505835e-08,4.058990921151917e-09
1833,6.486831871654886e-08,1.853380560135065e-08
1834,7.00089834992923e-08,1.8669061851994684e-09
1835,8.092504089063368e-08,0.0
1836,5.511014888881505e-08,0.0
1837,6.540417363254392e-08,1.3915781860163179e-09
1838,9.278878199125984e-08,3.1560809521380406e-09
1839,8.459685219008861e-08,1.3982950353153e-09
1840,8.280595498177945e-08,1.9109065441114126e-09
1841,8.218302216533857e-08,1.4125206782011901e-08
1842,8.117000716012512e-08,0.0
1843,7.501777110618946e-08,1.1813822142769936e-09
1844,7.519329070504455e-08,2.7442805805577564e-09
1845,9.374782994342468e-08,1.1718478631905782e-08
1846,1.1943182975926447e-07,8.781752214304106e-09
1847,6.687597231547215e-08,3.775256551818984e-09
1848,1.2952807182387005e-07,8.84974404868899e-09
1849,6.871119984097618e-08,1.6758829879393033e-09
1850,6.38165618127573e-08,0.0
1851,6.320449852381671e-08,1.2898877521649865e-09
1852,5.208436526515925e-08,6.510545436100301e-09
1853,7.106598864936586e-08,8.360704129017904e-09
1854,7.845453442456574e-08,2.597832227113628e-09
1855,5.306937111981824e-08,0.0
1856,5.177189343896771e-08,4.1417513307884235e-09
1857,6.882927960916163e-08,4.393358121745905e-09
1858,7.92775489699693e-08,1.2234189661342043e-08
1859,1.0388033633290661e-07,2.036869339860914e-09
1860,6.13342634459002e-08,4.57718396518203e-09
1861,6.508029937180027e-08,3.772770984511453e-09
1862,7.635397047955905e-08,7.680577063240435e-09
1863,5.344244335958592e-08,1.1987089765241876e-08
1864,5.274200809424201e-08,7.671564716815737e-09
1865,6.777855710016212e-08,9.413688994985847e-09
1866,6.276640651670107e-08,3.8924903300596725e-09
1867,8.977701071444244e-08,4.85281148598915e-09
1868,5.6808552861831174e-08,1.0867722721741302e-08
1869,4.4928376907726886e-08,2.9301114867763545e-09
1870,6.594155887995612e-08,6.880858549607183e-09
1871,4.5671060711072187e-08,4.248470908407853e-09
1872,4.23313738506792e-08,3.0236697590169115e-09
1873,3.17258244120211e-08,1.616221201317103e-08
1874,2.927558390153351e-08,2.9873046258899194e-09
1875,5.149374526780548e-08,0.0
1876,4.897272098958183e-08,1.209202959984168e-09
1877,7.112538602527252e-08,5.566334504436554e-09
1878,5.978697936726007e-08,4.22736201599605e-09
1879,5.5594859826868515e-08,0.0
1880,5.904418554081303e-08,1.2835692508872398e-09
1881,5.717456247333885e-08,0.0
1882,4.5256618896871714e-08,3.9932310791357395e-09
1883,7.646400190797209e-08,1.2638677882037541e-09
1884,2.6406786979293884e-08,5.941527270181268e-09
1885,4.511945150831309e-08,1.2891271383708158e-09
1886,3.226731992711507e-08,1.2906927748801422e-09
1887,3.264462400398571e-08,9.793386657186431e-09
1888,5.389522428345117e-08,3.804368819970705e-09
1889,3.508476598135246e-08,2.5060546970934183e-09
1890,5.8989478746163115e-08,6.554386366985909e-09
1891,5.163118066420225e-08,1.9122659011827636e-09
1892,5.140180170393194e-08,2.5074049503359674e-09
1893,4.0645549592710495e-08,6.158416554491453e-10
