year,voulaient_VERB imiter_VERB,voulaient_VERB limiter_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,2.7304748684287006e-08,0.0
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,5.4751712497136396e-08,8.645007376628655e-09
1807,1.4234775136401367e-08,0.0
1808,1.1330369531492579e-08,0.0
1809,3.388545621874073e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,5.751483289628823e-09
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.0858434979231788e-08,0.0
1817,3.42512151974006e-08,3.113746815941454e-09
1818,8.344824387052086e-09,0.0
1819,2.794783426907088e-08,0.0
1820,5.6959109429044474e-08,4.746592452420373e-09
1821,8.875339574387908e-09,0.0
1822,1.804610860745015e-08,0.0
1823,2.569498569471307e-08,7.906149512848515e-09
1824,1.6842225392110777e-08,0.0
1825,1.3208164340028361e-08,8.805443041381977e-10
1826,9.688783109140786e-09,0.0
1827,1.935627302884768e-08,0.0
1828,2.4765213879618386e-08,0.0
1829,4.200856196234781e-08,0.0
1830,2.2961039292113128e-08,9.39315203396518e-09
1831,4.677361609140007e-09,0.0
1832,5.411987746839486e-09,0.0
1833,3.359252431778259e-08,2.3167257001688313e-09
1834,7.467624740797874e-09,8.401078055442213e-09
1835,9.832014313815307e-09,7.563087933704082e-10
1836,1.2769425516978572e-08,5.376600054063374e-09
1837,1.3219993100221927e-08,1.461157062010443e-08
1838,1.9567702125300457e-08,4.418513555037862e-09
1839,2.866504900111977e-08,4.894032734625853e-09
1840,1.6561189752906103e-08,3.821813088222825e-09
1841,1.733548060656176e-08,8.346713542550788e-09
1842,2.3478927246856074e-08,0.0
1843,2.8943864194275193e-08,2.953455480181333e-09
1844,1.4270259640625227e-08,5.488561161115513e-09
1845,2.1204865419122143e-08,0.0
1846,2.1076203893244383e-08,6.439951683034906e-09
1847,2.534815024546333e-08,0.0
1848,2.011305433313737e-08,1.287235473768078e-08
1849,1.6758828991214614e-08,1.4245005175439474e-08
1850,1.0862393651223101e-08,1.3577992064028876e-09
1851,1.096404567135778e-08,4.514607354622058e-09
1852,5.859490670445666e-09,1.4323200403509873e-08
1853,2.448492075757258e-08,0.0
1854,2.961528799971802e-08,3.117398783558656e-09
1855,2.5473298137512757e-08,5.306937111981824e-10
1856,1.501384794266869e-08,1.5531567143511893e-09
1857,1.0251168802710708e-08,3.4170564155999728e-09
1858,1.0766087576996597e-08,4.404308473482388e-09
1859,1.5276519604867644e-08,8.147477359443656e-09
1860,2.0139609091529564e-08,1.8308735638683515e-09
1861,1.9335450573976232e-08,4.2443675241088386e-09
1862,1.581295272501393e-08,9.035972525772706e-10
1863,2.6471489888990618e-08,2.1976331865403154e-08
1864,1.3904711160250827e-08,4.315255264231155e-09
1865,1.9298061815220535e-08,1.882737743486018e-09
