year,voudraient_VERB imiter_VERB,voudraient_VERB limiter_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,1.7057265822018053e-08,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,1.401186100480345e-08,0.0
1818,0.0,0.0
1819,1.1386155129855524e-08,3.1053151161586356e-09
1820,2.1359666035891678e-08,0.0
1821,1.676452932031225e-08,0.0
1822,5.012807946513931e-09,0.0
1823,6.917880934764753e-09,0.0
1824,1.7684335773537896e-08,0.0
1825,5.283265824829186e-09,0.0
1826,9.688783109140786e-09,0.0
1827,6.452091305675367e-09,0.0
1828,5.503380862137419e-09,0.0
1829,1.7146351893870815e-08,8.57317605795771e-10
1830,1.6698937344017395e-08,0.0
1831,1.870944643656003e-08,0.0
1832,1.3529969367098715e-09,0.0
1833,2.4325620628928846e-08,0.0
1834,1.5868701908061666e-08,0.0
1835,1.0588323107185715e-08,1.5126175867408165e-09
1836,1.344150035720304e-08,7.392825018825988e-09
1837,1.2524203896191466e-08,7.653680356156656e-09
1838,1.0730675015224733e-08,1.2624323808552163e-09
1839,1.3982950353153e-09,0.0
1840,1.52872523528913e-08,4.458782232319436e-09
1841,2.8250413564023802e-08,0.0
1842,1.2745703159566801e-08,4.695785538189057e-09
1843,8.860366662588604e-09,1.1813822142769936e-09
1844,1.756339607084101e-08,5.488561272137815e-10
1845,1.8414752389617206e-08,0.0
1846,1.2879903366069811e-08,0.0
1847,1.4022381478184798e-08,7.011190739092399e-09
1848,1.206783295515379e-08,9.65426583121598e-09
1849,1.0893239199560867e-08,0.0
1850,2.1045888587423178e-08,6.788996032014438e-10
1851,3.5471913406581734e-08,6.449438760824933e-10
1852,9.765818376195057e-09,0.0
1853,1.0152284346531815e-08,1.1943863675867306e-09
1854,5.195664343204953e-09,5.195664454227256e-10
1855,9.021793090369101e-09,0.0
1856,6.73034605824796e-09,5.177189232874468e-10
1857,1.9526035899275485e-08,2.4407544874094356e-09
1858,3.9149408159744326e-09,4.893676019968041e-10
1859,9.675129142294736e-09,0.0
1860,8.238931314963338e-09,4.577183909670879e-10
1861,1.1789909493131745e-08,0.0
1862,7.228778020618165e-09,6.776979422085105e-09
1863,3.995696662428827e-09,4.994620717013731e-09
1864,1.4863656971897399e-08,9.589455896019672e-10
1865,8.001635798393636e-09,6.118897832863013e-09
1866,1.1677471434268227e-08,1.9462451650298362e-09
1867,8.73506067478047e-09,5.82337378318698e-09
1868,1.1855697756857353e-08,1.4819622196071691e-09
1869,5.371870948067681e-09,0.0
1870,1.1468097582678638e-09,5.734048791339319e-10
1871,1.1683295220166201e-08,0.0
1872,1.0280476914203973e-08,2.4189357183956872e-09
1873,1.1972009161809183e-08,0.0
1874,2.3898436563030145e-09,0.0
1875,4.577221712764867e-09,0.0
1876,8.464420275799966e-09,1.209202959984168e-09
1877,6.184816214727107e-09,0.0
1878,9.058632954861423e-09,0.0
1879,2.443730195977878e-08,6.10932526790009e-10
1880,5.776061406947974e-09,0.0
1881,1.045876096839038e-08,6.972507571312292e-10
1882,8.652000893505374e-09,1.3310770263785798e-09
1883,1.0742875922176154e-08,0.0
1884,9.242375753615306e-09,6.601696966868076e-10
1885,6.445635580831777e-09,6.445635580831777e-09
1886,1.4197620856748472e-08,0.0
1887,7.1818169189441505e-09,1.9586774424595887e-09
1888,6.340614699951175e-09,0.0
1889,7.51816386923565e-09,1.2530273485467092e-09
1890,7.865263995654459e-09,3.9326319978272295e-09
1891,6.3742202627281586e-09,6.374220040683554e-10
1892,7.522214851007902e-09,5.014809900671935e-09
1893,8.005941687372342e-09,7.390100087434348e-09
1894,9.452309157609307e-09,6.301539290376468e-10
1895,1.2037228991346183e-08,2.4074457982692365e-09
1896,5.307326134129653e-09,5.897029087265082e-09
1897,9.905413378419325e-09,2.9133566670225264e-09
1898,2.2067583316243145e-08,5.6583546736987955e-09
1899,1.1055156790007459e-09,0.0
1900,1.5573159428683425e-09,1.038210628578895e-09
1901,3.912117296778206e-09,4.470991132876634e-09
1902,7.365425602756659e-09,6.38336894454028e-09
1903,6.480264325148255e-09,5.400220270956879e-09
1904,3.2247751136083025e-09,3.2247751136083025e-09
1905,1.3417973399043603e-08,5.160758931310738e-09
1906,1.0802787109298606e-08,4.115347618238729e-09
1907,1.0285686968813934e-08,0.0
1908,7.367083831866239e-09,3.437972351250096e-09
1909,6.0510818578052294e-09,4.400786846048277e-09
1910,8.01622590529405e-09,1.4429207162436342e-08
1911,4.788336838146279e-09,9.576673676292558e-09
1912,7.814131564032323e-09,3.125652625612929e-09
1913,6.893886794756554e-09,7.954484182448596e-09
1914,4.018046340092951e-09,4.68772043404897e-09
1915,9.424609537234119e-09,4.712304768617059e-09
1916,6.592477230782379e-09,6.592477230782379e-09
1917,5.483212106582869e-09,0.0
1918,0.0,1.1486376294556067e-09
1919,4.603924352863942e-09,0.0
1920,9.843901693784574e-09,6.057785384427916e-09
1921,1.2873671018098776e-08,0.0
1922,4.426761179843197e-09,1.2542490601674672e-08
1923,1.0615948120573648e-08,1.0615948120573648e-09
1924,5.156649773851996e-09,0.0
1925,4.399271169575059e-09,1.0998177923937646e-09
1926,3.343841648018042e-09,5.57306911730393e-09
1927,6.689535148041159e-09,1.1149224654616319e-08
1928,3.4278122562625413e-09,5.713020723163709e-09
1929,4.4561625500705304e-09,1.0026365515614089e-08
1930,6.302162347537887e-09,8.402882833991043e-09
1931,1.1405356659111021e-09,6.843213995466613e-09
1932,1.0959536611565568e-09,2.1919073223131136e-09
1933,1.1470662197865522e-09,1.1470662197865522e-09
1934,5.990790086229936e-09,2.3963160344919743e-09
1935,0.0,7.180970484910176e-09
1936,1.2124714565686645e-09,7.274828739411987e-09
1937,3.777335333410292e-09,6.295559185076627e-09
1938,6.482607339819424e-09,1.0372171566075394e-08
1939,7.647025235257843e-09,4.588215141154706e-09
1940,2.5357829169792012e-09,5.0715658339584024e-09
1941,0.0,2.9515025978810172e-09
1942,6.068423541449874e-09,1.2136847082899749e-08
1943,2.9032352077962287e-09,2.322588166236983e-08
1944,6.4263723231761105e-09,3.2131861615880553e-09
1945,0.0,4.357008087652048e-09
1946,2.7842208538686464e-09,1.3921104269343232e-09
1947,1.0728784083369192e-08,5.960435700558264e-09
1948,0.0,7.610321262063735e-09
1949,8.835307596655184e-09,1.0798709482173763e-08
1950,3.190608444114673e-09,3.190608444114673e-09
1951,6.396841278899501e-09,7.462981344019681e-09
1952,2.1089607837865287e-09,1.1599284199803606e-08
1953,5.386913581872932e-09,8.619061908632375e-09
1954,0.0,8.795282724349818e-09
1955,1.8771215692936494e-09,6.569925492527773e-09
1956,8.72114158667614e-10,4.360570571293465e-09
1957,5.301022731885041e-09,7.068030161150318e-09
1958,4.9633461784992505e-09,3.3088973783179654e-09
1959,8.525822714489095e-09,4.650448914844674e-09
1960,4.844583401109048e-09,1.038124963770315e-08
1961,3.47407969059077e-09,4.86371165564492e-09
1962,5.0735651235811474e-09,1.4586500007851555e-08
1963,4.526237162849611e-09,8.405868889838075e-09
1964,1.8251904432275978e-09,7.909158661334459e-09
1965,5.472043373977442e-10,9.302473458205895e-09
1966,3.3234448526542337e-09,4.985167390003653e-09
1967,8.381570104631919e-09,1.035370456037299e-08
1968,6.287982134978165e-09,9.431973424511852e-09
1969,3.6334062425424918e-09,6.358460868938209e-09
1970,5.058597540852361e-09,1.1496812390987543e-08
1971,8.735275613958038e-09,4.1107179882260425e-09
1972,6.669190977248718e-09,2.0520587451500205e-09
