year,pouvait_VERB imiter_VERB,pouvait_VERB limiter_VERB
1800,6.917161954334006e-08,3.144164484325529e-09
1801,5.2386017301842e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.755305234496518e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,8.528632911009026e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,6.798221985349073e-09,9.064295980465431e-09
1809,0.0,0.0
1810,3.2761775514700275e-08,2.574139479349924e-08
1811,2.5070767684098882e-09,3.008491944456182e-08
1812,6.13457871168066e-08,1.8670457180292033e-08
1813,6.039057609541487e-08,1.4378708002027452e-08
1814,1.0069366851439554e-07,0.0
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,3.269434145636296e-08,1.71256075987003e-08
1818,2.8610825708597076e-08,0.0
1819,2.070209959015301e-08,9.315945348475907e-09
1820,4.746592452420373e-09,0.0
1821,3.254291058851777e-08,6.903041693817613e-09
1822,2.90742860897808e-08,8.02049271442229e-09
1823,0.0,4.941343334508019e-09
1824,1.0105335235266466e-08,1.8526447931321854e-08
1825,1.937197424695114e-08,3.522177216552791e-09
1826,9.688783109140786e-09,8.807984341885344e-10
1827,2.027800150017356e-08,9.217273166939322e-09
1828,3.8523666034961934e-08,1.2841221419535032e-08
1829,3.086343269842473e-08,6.858540846366168e-09
1830,4.5922078584226256e-08,1.7742621594152297e-08
1831,3.1182413096075834e-08,0.0
1832,2.4353944638733083e-08,2.4353944638733083e-08
1833,1.50587169400751e-08,4.6334514003376626e-09
1834,5.1339920759119195e-08,2.9870498963191494e-08
1835,2.7983425354705105e-08,1.663879345414898e-08
1836,2.1506400216253496e-08,1.4113575197427508e-08
1837,1.3915782304252389e-08,1.2524203896191466e-08
1838,3.976661844262708e-08,8.837027110075724e-09
1839,2.7266752411492234e-08,1.8177836125232716e-08
1840,3.885510224677091e-08,2.0383003729307347e-08
