year,auront_VERB eu_VERB,auront_VERB lu_VERB
1800,6.005354293847631e-07,1.0375742931501009e-07
1801,3.881327472754492e-07,1.262026785298076e-07
1802,4.3637882640723547e-07,9.84649659585557e-08
1803,6.631153155467473e-07,1.3652375230321923e-07
1804,6.995338139859086e-07,8.404293083685843e-08
1805,4.918178433399589e-07,1.506725197941705e-07
1806,9.912942005030345e-07,8.35684019762084e-08
1807,1.0135159982382902e-06,6.263301344233696e-08
1808,8.089884317996621e-07,5.6651849433819734e-08
1809,5.489443992701126e-07,1.0165637576164954e-07
1810,7.605411838085274e-07,1.427477371862551e-07
1811,7.01981491602055e-07,1.7549537290051376e-07
1812,8.375033644369978e-07,1.0935553973467904e-07
1813,5.722725973100751e-07,8.91479885467561e-08
1814,5.066150379207102e-07,1.0069366851439554e-07
1815,5.36747506885149e-07,1.2676950689183286e-07
1816,6.929635674168821e-07,9.733936678912869e-08
1817,6.38318113033165e-07,7.7843672841027e-08
1818,7.832213668734767e-07,1.0252212234718172e-07
1819,6.728182597726118e-07,1.366338580055526e-07
1820,6.348567467284738e-07,1.5189095847745193e-07
1821,6.715673634971608e-07,1.1932401378089708e-07
1822,7.248520432767691e-07,1.1128433641260926e-07
1823,3.9728402612126956e-07,9.685032864581444e-08
1824,4.875824402006401e-07,1.19579794954916e-07
1825,5.697121423509088e-07,7.660735690251386e-08
1826,6.500292215605441e-07,8.367585024871005e-08
1827,9.927002793119755e-07,8.848581956044654e-08
1828,8.025763804653252e-07,1.3208114069129806e-07
1829,6.849967917332833e-07,8.401712392469562e-08
1830,6.658701181549986e-07,1.7220779113813478e-07
1831,6.111752668402914e-07,1.6526678336958867e-07
1832,6.318495593404805e-07,1.2853470821028168e-07
1833,5.096796371617529e-07,7.876867158529421e-08
1834,7.402283017654554e-07,9.147840529522e-08
1835,4.7042408368724864e-07,6.579886502322552e-08
1836,6.619939085794613e-07,6.85516496901073e-08
1837,6.199480822033365e-07,8.906100390504434e-08
1838,5.529453801500495e-07,6.880256364638626e-08
1839,5.607163302556728e-07,8.739343826391632e-08
1840,6.407906880667724e-07,6.942960339983983e-08
1841,5.05939226513874e-07,1.0722315835209884e-07
1842,5.554443305300083e-07,9.592819338877234e-08
1843,4.4951593736186624e-07,1.3526826592169527e-07
1844,4.2371692643428105e-07,8.946354768113451e-08
1845,4.519984599937743e-07,6.138250796539069e-08
