year,peut_VERB imiter_VERB,peut_VERB limiter_VERB
1800,3.1127228794503026e-07,7.231578535993322e-08
1801,2.1430643926123594e-07,4.7623650800687756e-08
1802,2.2378401354217203e-07,2.4616241489638924e-08
1803,3.725147905697668e-07,4.4857802805609026e-08
1804,2.5212878540514794e-07,5.9324420931261557e-08
1805,4.832892273043399e-07,7.675770063997334e-08
1806,4.0919701405073283e-07,8.645007376628655e-09
1807,4.241963154072437e-07,2.2775640928784924e-08
1808,3.08186059783111e-07,4.985362878073829e-08
1809,2.1460789412230952e-07,3.6144488291256494e-08
1810,2.4103306373035593e-07,6.084329839950442e-08
1811,2.6575014544505393e-07,2.5070768572277302e-08
1812,3.5473868820190546e-07,3.7340914360584065e-08
1813,2.530652523091703e-07,1.7254450312975678e-08
1814,2.5488085952929396e-07,5.349351184236184e-08
1815,2.265667831125029e-07,3.506390555685357e-08
1816,2.3871319854151807e-07,2.5493642752394408e-08
1817,2.553272508976079e-07,4.514932783195036e-08
1818,2.574974189428758e-07,3.457141417584353e-08
1819,1.9459973543689557e-07,4.140419918030602e-08
1820,3.4175465657426685e-07,2.4919611263385377e-08
1821,2.919000507972669e-07,1.7750679148775816e-08
1822,2.7971469762633205e-07,5.514088741165324e-08
1823,2.0852469617693714e-07,1.9765373338032077e-08
1824,2.3073849320098816e-07,2.5263338088166165e-08
1825,1.6994505358525203e-07,3.522177394188475e-08
1826,1.673517004974201e-07,4.580151724553616e-08
1827,1.6038055150602304e-07,5.899054755786892e-08
1828,1.6326696083979186e-07,8.071624790773058e-08
1829,2.511940522254008e-07,9.516225674133238e-08
1830,1.889067249294385e-07,5.635891398014792e-08
1831,1.5435294642429653e-07,2.6505050598757407e-08
1832,2.232444984429094e-07,7.170883975504694e-08
1833,1.8649642186119308e-07,3.359252431778259e-08
1834,1.9509170101628115e-07,4.667265329771908e-08
1835,1.883208824438043e-07,3.857174846189082e-08
1836,1.821323252215734e-07,3.427582484505365e-08
1837,1.8368831433690502e-07,3.896418832027848e-08
1838,1.912585076979667e-07,4.986607748946881e-08
1839,1.4192694663961447e-07,5.453350482298447e-08
1840,1.5478343584618415e-07,6.688173215252391e-08
1841,1.9582672905471554e-07,3.980740004294603e-08
1842,1.395319202401879e-07,5.500777433553594e-08
1843,1.3999378722928668e-07,7.147362168780091e-08
1844,1.2513919500634074e-07,7.79375710635577e-08
1845,1.166267651342423e-07,4.910600637231255e-08
1846,1.1416277345688286e-07,5.034871009002018e-08
1847,1.224261723109521e-07,7.5505127483666e-08
1848,1.126331028444838e-07,1.1665571264529717e-07
1849,9.887709495615127e-08,8.547003460535052e-08
1850,1.3781661323264416e-07,6.924776130290411e-08
1851,1.2834382800974709e-07,6.836405219701192e-08
1852,1.334661874352605e-07,3.971432604998881e-08
1853,1.4631233113959752e-07,4.001194398028929e-08
1854,1.3352857308746025e-07,3.4810952342922974e-08
1855,1.4647146429069835e-07,6.739810487488285e-08
1856,1.2735885945858172e-07,5.9537676122545236e-08
1857,1.1422731205357195e-07,5.9554409403972386e-08
1858,1.487677536715637e-07,4.257498176230001e-08
1859,1.492006731496076e-07,5.855999418713509e-08
1860,1.2999201715047093e-07,9.978261061860394e-08
1861,1.7449065126129426e-07,8.818852137437716e-08
1862,1.4050937124920893e-07,4.743885639868495e-08
1863,1.2436605345556018e-07,4.9446747141246306e-08
1864,1.1890925577517919e-07,6.520829742839851e-08
1865,1.1296426549733951e-07,6.165966226490127e-08
1866,1.1385534293140154e-07,7.444387506438943e-08
1867,1.252025327858064e-07,6.79393608038481e-08
1868,1.0571330477660013e-07,6.86642493974432e-08
1869,1.0548401263577034e-07,6.543915986867432e-08
1870,1.1984161574218888e-07,6.307453759291093e-08
1871,1.1258448040507574e-07,7.965883241922711e-08
1872,1.3364619633193797e-07,1.015952975080836e-07
1873,9.218447161174481e-08,6.9437653849036e-08
1874,7.408515045881359e-08,5.914862910572083e-08
1875,1.0699255881263525e-07,7.437985516389745e-08
1876,1.1003746891447008e-07,7.920279188056156e-08
1877,9.52461647329983e-08,7.174386240649255e-08
1878,1.050801401447643e-07,6.582606459915041e-08
1879,1.1118972054191545e-07,6.353698012162567e-08
1880,1.187301563732035e-07,9.241698251116759e-08
1881,8.645909588267386e-08,7.739483720570206e-08
1882,9.983077831066112e-08,8.186123778841647e-08
1883,1.5608766545938124e-07,8.973461262939963e-08
1884,1.194907213175611e-07,6.733731083841121e-08
1885,8.37932674357944e-08,7.090199005688191e-08
1886,1.0712749798358345e-07,6.130790808356323e-08
1887,7.377684596576728e-08,8.422312447464719e-08
1888,6.404020780337305e-08,1.2491011602833169e-07
1889,6.641045047217631e-08,8.332632006613494e-08
1890,5.767860145056147e-08,7.734175966334078e-08
1891,8.286485808639554e-08,8.286485808639554e-08
1892,9.653508925566712e-08,1.0092304592035362e-07
1893,9.237624709612646e-08,1.256317005982055e-07
1894,6.301539201558626e-08,9.137232126477102e-08
1895,7.643640742571733e-08,1.0833505825758039e-07
1896,5.838058569906934e-08,1.3445226443309366e-07
1897,6.933789364893528e-08,1.1245557374195414e-07
1898,6.563691812289107e-08,1.1373293062888479e-07
1899,9.286331703606265e-08,9.286331703606265e-08
1900,5.969710770159509e-08,9.395806443990296e-08
1901,4.806315345717849e-08,1.173635197915246e-07
1902,5.106695155632224e-08,1.4436234607728693e-07
1903,4.644189388613995e-08,1.1664475607631175e-07
1904,4.78341632970114e-08,1.0641758052543082e-07
1905,6.03808842924991e-08,1.4398517578229075e-07
1906,4.0639058340730116e-08,1.0648462023254979e-07
1907,7.765693510464189e-08,1.383424859113802e-07
1908,7.219741604558294e-08,1.2425815043570765e-07
1909,7.97642627503592e-08,1.2872301624611282e-07
1910,1.004700322937424e-07,1.1810573141701752e-07
1911,6.012022879531287e-08,1.181123039373233e-07
1912,8.803922213473925e-08,1.1043972847346595e-07
1913,8.484783364792747e-08,1.3257474051897589e-07
1914,6.763711013491047e-08,1.513464127356201e-07
1915,4.947920118070215e-08,1.284103063881048e-07
1916,9.229468389548856e-08,1.2965205087311915e-07
1917,6.031533672512523e-08,1.162441023438987e-07
1918,3.675640414257941e-08,1.6080926457107125e-07
1919,8.102906434714896e-08,1.4548400883995782e-07
1920,6.209229752585088e-08,1.166123695384158e-07
1921,8.55720472259236e-08,1.703868122149288e-07
1922,9.00108148016443e-08,1.2616270339549374e-07
1923,7.643483002084395e-08,1.624240013597955e-07
1924,6.574728672603669e-08,1.1731378180002139e-07
1925,9.678396395429445e-08,1.4847540796836256e-07
1926,6.018914433525424e-08,1.3040981627909787e-07
1927,8.919379723693055e-08,1.4048023899704276e-07
1928,4.913197670930458e-08,1.9881311175140581e-07
1929,5.904415445456834e-08,1.4482527888048935e-07
1930,9.348207186121726e-08,1.4389937064152036e-07
1931,6.50105320687544e-08,1.8248570654577634e-07
1932,4.274219378430644e-08,1.5343351833507768e-07
1933,6.423570653169008e-08,1.4108914569987974e-07
1934,6.350237669039416e-08,1.797236990341844e-07
1935,4.4282650435434334e-08,1.4960355088078359e-07
1936,7.517323297179246e-08,1.2488456491155375e-07
1937,4.280980192561401e-08,1.8131210310912138e-07
1938,7.130867629712156e-08,1.4780344770315423e-07
1939,4.5882153187903896e-08,1.452934839107911e-07
1940,5.5787225505810056e-08,8.114505334333444e-08
1941,3.246652724442356e-08,1.3576911328527785e-07
1942,7.58552971547033e-08,9.709477666319799e-08
1943,6.67744117777147e-08,1.2774235358392616e-07
1944,8.354284375400312e-08,1.767252371109862e-07
1945,7.84261473540937e-08,1.7863733603462606e-07
1946,8.352662916877307e-08,1.9767968240103073e-07
1947,6.794896734163558e-08,1.7166054533390707e-07
1948,7.175445659868274e-08,1.44596114637352e-07
1949,6.184715317658629e-08,1.7572445187852281e-07
1950,5.317680873417885e-08,2.21215515239237e-07
1951,1.0874629907675626e-07,1.6738400177018775e-07
1952,6.85412260281737e-08,2.1300503760812717e-07
1953,4.5250075686453783e-08,2.1116701987011766e-07
1954,7.231676590890856e-08,1.729738841049766e-07
1955,6.382213513234092e-08,1.9709776211129793e-07
1956,5.407107650512444e-08,2.2326122461890918e-07
1957,4.682570065028813e-08,2.3501200985265314e-07
1958,6.617794667818089e-08,2.3575893237648415e-07
1959,8.21579249077331e-08,2.317473644097845e-07
1960,7.612916874677467e-08,2.166220838262234e-07
1961,5.002674541287888e-08,2.0566551484080264e-07
1962,8.307962673370639e-08,2.0865036276518367e-07
1963,7.047997740983192e-08,1.888087552970319e-07
1964,7.422441683502257e-08,2.0320453586464282e-07
1965,8.426946607187347e-08,1.8276624302870914e-07
1966,6.813061759203265e-08,2.2599425619773683e-07
1967,8.825301023307475e-08,2.3961430883900903e-07
1968,9.207402484889826e-08,2.4702788437025447e-07
1969,6.403878671790153e-08,1.7712855537865835e-07
1970,7.08203629073978e-08,1.9820504348899703e-07
1971,6.936836882687203e-08,1.7676087793461193e-07
1972,8.054330891127393e-08,1.969976324289746e-07
1973,6.450448353234606e-08,2.100530593907024e-07
1974,4.7817358961310674e-08,2.1827217722147907e-07
1975,5.3687912782152125e-08,2.1760739343790192e-07
1976,7.941802238065065e-08,1.9997344224975677e-07
1977,5.465406971438824e-08,2.3507126911681553e-07
1978,6.831680110508387e-08,2.0019793112169282e-07
1979,6.729769097546523e-08,2.0130788414007839e-07
