year,furent_VERB en_PRON,furent_VERB lents_ADJ
1800,1.6349655140857067e-07,1.0061326349841693e-07
1801,1.4287095950749062e-07,4.0480102825313224e-08
1802,2.1259481286506343e-07,6.713520406265161e-08
1803,1.7553053055507917e-07,6.826187615160961e-08
1804,7.909923027682453e-08,9.39303390623536e-08
1805,1.7341554325867037e-07,1.3361525930122298e-07
1806,2.3341519295172475e-07,2.0171682990621775e-08
1807,1.537355700520493e-07,1.1387820109121094e-07
1808,1.3369836437959748e-07,2.4926814390369145e-08
1809,1.7394535234416253e-07,4.51806094758922e-08
1810,9.126494404654295e-08,7.488405628919281e-08
1811,2.1560860830049933e-07,3.008491944456182e-08
1812,9.868670503010435e-08,2.9339290108509886e-08
1813,1.8117172828624462e-07,5.176335093892703e-08
1814,2.7690759907272877e-07,0.0
1815,1.0519171667056071e-07,1.5104451733805035e-07
1816,1.1356259221884102e-07,6.025770460382773e-08
1817,2.1017791596023017e-07,6.07180652423267e-08
1818,2.0504424469436344e-07,8.344824387052086e-09
1819,1.8631889986409078e-07,4.968504185853817e-08
1820,3.263282337684359e-07,9.374520004712394e-08
1821,1.85395975904612e-07,5.226588939422072e-08
1822,1.6542266223495972e-07,4.210758675071702e-08
1823,2.174191138237802e-07,4.348382276475604e-08
1824,3.0147583629513974e-07,4.6316120716483056e-08
1825,4.966269671058399e-07,5.899646993157148e-08
1826,3.5320016422701883e-07,2.6423952803611428e-08
1827,2.1844937236892292e-07,7.005127855563842e-08
1828,2.1004569816795993e-07,5.228211819030548e-08
1829,2.280464883597233e-07,4.6295149047637096e-08
1830,1.3672254794983019e-07,5.844628248041772e-08
1831,1.886535869743966e-07,5.456922025359745e-08
1832,1.3800568865462992e-07,5.411987658021644e-08
1833,1.7259606011066353e-07,5.21263281427764e-08
1834,2.735017687882646e-07,3.9205030333278046e-08
1835,3.5622144878288964e-07,5.142899794918776e-08
1836,2.4665152409397706e-07,5.1749776019960336e-08
1837,2.5952934379347425e-07,2.852735292435682e-08
1838,3.118207985153276e-07,4.039783618736692e-08
1839,2.391084592545667e-07,4.61437359433603e-08
1840,2.4332211978617124e-07,5.223144583510475e-08
1841,2.41412635659799e-07,7.255219713897532e-08
